Totals,PlayerID,Year,Position Estimate,+/- Per 100 Poss.,Turnovers,Fouls Committed,Fouls Drawn,Misc.,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
Arron Afflalo,afflaar01,2010,SG,24,DEN,82,2221,,92%,7%,,,3.6,-1.5,20,19,121,11,47,9,297,12,50
Alexis Ajinca,ajincal01,2010,C,21,CHA,6,30,,,,,100%,10.6,9.1,0,0,2,1,1,2,0,1,1
LaMarcus Aldridge,aldrila01,2010,PF,24,POR,78,2922,,,,88%,12%,4.9,3.6,31,27,129,30,144,12,370,38,42
Joe Alexander,alexajo01,2010,SF,23,CHI,8,29,,,86%,14%,,-18.9,-17.5,0,0,5,0,0,0,4,0,0
Malik Allen,allenma01,2010,PF,31,DEN,51,456,,,,50%,50%,-12.9,-19.2,8,7,37,4,6,2,40,1,4
Ray Allen,allenra02,2010,SG,34,BOS,80,2819,,83%,17%,,,7.3,11.5,62,35,104,19,72,14,452,18,41
Tony Allen,allento01,2010,SG,28,BOS,54,889,9%,83%,9%,,,1.4,-3.5,29,19,42,9,58,9,155,13,19
Rafer Alston,alstora01,2010,PG,33,TOT,52,1421,100%,,,,,-4.7,-0.7,59,29,55,3,39,9,384,10,26
Rafer Alston,alstora01,2010,PG,33,NJN,27,766,100%,,,,,-12.3,-2.6,38,19,25,2,25,5,223,7,15
Rafer Alston,alstora01,2010,PG,33,MIA,25,655,100%,,,,,4.2,1.5,21,10,30,1,14,4,161,3,11
Lou Amundson,amundlo01,2010,PF,27,PHO,79,1168,,,14%,80%,6%,4.8,-0.9,18,14,97,11,58,13,69,13,31
Chris Andersen,anderch01,2010,PF,31,DEN,76,1695,,,,55%,45%,10.7,11.4,24,17,116,9,92,20,74,14,17
David Andersen,anderda03,2010,C,29,HOU,63,891,,,,,100%,1.9,3.1,12,10,51,8,27,7,100,5,20
Antonio Anderson,anderan02,2010,SF,24,OKC,1,15,,,100%,,,-9.2,-13.5,1,0,1,0,0,0,0,0,0
