Totals,PlayerID,Year,Position Estimate,+/- Per 100 Poss.,Turnovers,Fouls Committed,Fouls Drawn,Misc.,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
Shareef Abdur-Rahim,abdursh01,2008,PF,31,SAC,6,51,,,,69%,32%,-3.3,-1.0,0,0,5,0,1,1,9,0,3
Arron Afflalo,afflaar01,2008,SG,22,DET,75,970,,95%,5%,,,8.7,0.2,10,8,32,6,33,2,113,7,31
Maurice Ager,agerma01,2008,SG,23,TOT,26,165,,55%,35%,10%,,-11.8,-11.4,2,1,9,3,6,3,17,2,7
Maurice Ager,agerma01,2008,SG,23,DAL,12,77,,68%,31%,1%,,-8.7,-14.2,1,0,5,2,2,0,8,0,3
Maurice Ager,agerma01,2008,SG,23,NJN,14,88,,44%,39%,18%,,-14.4,-8.9,1,1,4,1,4,3,9,2,4
Blake Ahearn,ahearbl01,2008,PG,23,MIA,12,177,57%,43%,,,,-23.9,-15.1,11,5,9,0,8,2,43,2,3
LaMarcus Aldridge,aldrila01,2008,PF,22,POR,76,2649,,,,73%,27%,-0.3,2.9,22,46,123,37,144,13,294,29,46
Malik Allen,allenma01,2008,PF,29,TOT,73,1096,,,,79%,20%,-1.6,0.8,12,16,90,7,10,10,105,3,11
Malik Allen,allenma01,2008,PF,29,NJN,48,763,,,,76%,24%,-6.8,-1.3,9,12,48,4,7,6,70,3,7
Malik Allen,allenma01,2008,PF,29,DAL,25,333,,,1%,88%,12%,10.5,5.8,3,4,42,3,3,4,35,0,4
Ray Allen,allenra02,2008,SG,32,BOS,73,2624,,85%,14%,,,12.6,3.3,59,42,80,13,71,13,501,11,45
Tony Allen,allento01,2008,SG,26,BOS,75,1373,5%,89%,6%,,,9.8,-2.7,34,40,74,16,79,8,266,13,32
Lance Allred,allrela01,2008,C,26,CLE,3,10,,,,,100%,-91.3,-91.3,0,0,0,0,1,0,0,0,0
Morris Almond,almonmo01,2008,SG,22,UTA,9,39,,95%,5%,,,-14.2,-21.9,1,1,1,0,2,1,7,0,2
Rafer Alston,alstora01,2008,PG,31,HOU,74,2526,96%,4%,,,,7.2,4.7,111,26,47,8,55,3,866,8,33
Lou Amundson,amundlo01,2008,PF,25,PHI,16,64,,,,62%,38%,-3.6,-3.8,1,1,8,0,4,1,0,1,2
Chris Andersen,anderch01,2008,C,29,NOH,5,34,,,,,100%,6.1,0.0,0,0,2,1,3,0,0,2,1
Derek Anderson,anderde01,2008,SG,33,CHA,28,396,15%,75%,10%,,,-13.8,-9.8,15,6,30,2,14,3,94,2,3
Carmelo Anthony,anthoca01,2008,SF,23,DEN,77,2806,,16%,82%,2%,,2.6,-3.3,68,63,77,55,224,12,567,43,94
Joel Anthony,anthojo01,2008,PF,25,MIA,24,498,,,,43%,57%,-13.6,-4.7,2,8,37,4,20,4,9,4,9
Gilbert Arenas,arenagi01,2008,PG,26,WAS,13,425,100%,,,,,0.3,0.9,26,15,9,4,40,0,147,11,6
Trevor Ariza,arizatr01,2008,SF,22,TOT,35,546,,3%,94%,3%,,2.7,-5.2,13,2,22,3,31,4,103,5,6
Trevor Ariza,arizatr01,2008,SF,22,ORL,11,115,,6%,93%,1%,,6.2,0.4,1,1,5,1,7,3,20,1,1
Trevor Ariza,arizatr01,2008,SF,22,LAL,24,431,,2%,95%,3%,,1.8,-6.6,12,1,17,2,24,1,83,4,5
Darrell Armstrong,armstda01,2008,PG,39,NJN,50,549,100%,,,,,-9.2,-4.0,28,7,8,3,5,11,163,1,6
Hilton Armstrong,armsthi01,2008,C,23,NOH,65,732,,,,5%,95%,-1.8,-9.6,7,21,65,18,34,5,50,5,23
Carlos Arroyo,arroyca01,2008,PG,28,ORL,62,1269,100%,,,,,5.1,-1.2,41,15,38,8,41,14,541,11,14
Chucky Atkins,atkinch01,2008,SG,33,DEN,24,352,89%,11%,,,,-3.6,-7.8,9,0,10,1,4,1,104,1,3
James Augustine,augusja01,2008,PF,23,ORL,25,149,,,,80%,20%,1.0,-5.1,3,1,10,0,4,0,5,2,3
Kelenna Azubuike,azubuke01,2008,SG,24,GSW,81,1732,,48%,51%,1%,,-0.1,-3.6,19,19,81,10,58,9,182,14,44
Renaldo Balkman,balkmre01,2008,SF,23,NYK,65,952,,10%,64%,26%,,-3.3,5.3,11,7,77,10,43,9,95,5,19
Marcus Banks,banksma01,2008,PG,26,TOT,36,569,89%,11%,1%,,,-7.6,-7.0,19,6,24,1,10,7,141,4,8
Marcus Banks,banksma01,2008,PG,26,PHO,24,310,100%,,,,,-8.6,-15.5,8,1,12,1,5,4,62,1,3
Marcus Banks,banksma01,2008,PG,26,MIA,12,259,75%,24%,1%,,,-6.5,3.2,11,5,12,0,5,3,79,3,5
