Totals,PlayerID,Year,Position Estimate,+/- Per 100 Poss.,Turnovers,Fouls Committed,Fouls Drawn,Misc.,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
Mahmoud Abdul-Rauf,abdulma02,2001,PG,31,VAN,41,486,100%,,,,,-1.5,5.2,15,7,23,1,8,,162,0,6
Tariq Abdul-Wahad,abdulta01,2001,SG,26,DEN,29,420,,96%,4%,,,-9.9,-8.5,13,12,23,7,13,,45,2,10
Shareef Abdur-Rahim,abdursh01,2001,SF,24,VAN,81,3241,,2%,78%,21%,,-7.0,-5.1,70,81,93,41,198,,556,48,151
Cory Alexander,alexaco01,2001,PG,27,ORL,26,227,74%,26%,,,,-8.6,-10.2,21,3,15,0,6,,80,2,2
Courtney Alexander,alexaco02,2001,PG,23,TOT,65,1382,16%,72%,13%,,,-10.3,-8.3,25,31,54,9,58,,131,15,35
Courtney Alexander,alexaco02,2001,PG,23,DAL,38,472,39%,49%,13%,,,-11.2,-17.9,8,5,23,4,20,,46,5,12
Courtney Alexander,alexaco02,2001,PG,23,WAS,27,910,4%,83%,13%,,,-9.8,-3.4,17,26,31,5,38,,85,10,23
Ray Allen,allenra02,2001,SG,25,MIL,82,3129,,90%,10%,,,5.4,6.3,96,76,100,17,139,,846,32,54
Rafer Alston,alstora01,2001,PG,24,MIL,37,288,46%,54%,,,,-5.8,-10.7,13,3,12,2,7,,155,3,3
John Amaechi,amaecjo01,2001,C,30,ORL,82,1710,,,,25%,76%,-5.8,-11.9,52,40,109,18,121,,171,25,65
Derek Anderson,anderde01,2001,SG,26,SAS,82,2859,,76%,24%,,,11.7,10.3,86,41,74,20,133,,674,19,53
Kenny Anderson,anderke01,2001,PG,30,BOS,33,849,100%,,,,,-4.9,-3.1,25,13,21,6,27,,322,6,13
Nick Anderson,anderni01,2001,SG,33,SAC,21,169,,21%,79%,,,1.5,-4.9,7,0,6,0,0,,28,0,2
Shandon Anderson,andersh01,2001,SG,27,HOU,82,2396,,22%,76%,2%,,0.1,-6.3,70,32,97,16,90,,423,22,39
Greg Anthony,anthogr01,2001,PG,33,POR,58,856,94%,6%,,,,0.3,-5.5,25,11,20,1,10,,172,1,4
Darrell Armstrong,armstda01,2001,PG,32,ORL,75,2767,100%,1%,,,,3.9,9.4,141,35,42,7,55,,1149,9,41
Chucky Atkins,atkinch01,2001,PG,26,DET,81,2363,100%,,,,,-1.9,-0.3,94,39,44,8,36,,711,8,29
Stacey Augmon,augmost01,2001,SG,32,POR,66,1182,1%,58%,41%,,,2.5,-2.9,13,21,44,11,38,,217,8,13
Isaac Austin,austiis01,2001,C,31,VAN,52,845,,,,1%,99%,-5.6,0.6,27,12,46,10,16,,127,4,12
