Totals,PlayerID,Year,Position Estimate,+/- Per 100 Poss.,Turnovers,Fouls Committed,Fouls Drawn,Misc.,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
Tariq Abdul-Wahad,abdulta01,1999,SG,24,SAC,49,1205,,96%,4%,,,-3.3,-6.0,24,21,58,13,61,,102,17,31
Shareef Abdur-Rahim,abdursh01,1999,SF,22,VAN,50,2021,,1%,95%,4%,,-9.3,0.6,75,58,63,13,184,,364,49,106
Cory Alexander,alexaco01,1999,PG,25,DEN,36,778,54%,46%,,,,-0.9,8.2,48,10,36,5,11,,263,3,14
Ray Allen,allenra02,1999,SG,23,MIL,50,1719,,78%,22%,,,5.8,6.5,52,37,52,11,79,,391,18,29
Peter Aluma,alumape01,1999,C,25,SAC,2,5,,,,100%,,-50.0,-49.9,0,1,3,1,0,,0,0,0
Derek Anderson,anderde01,1999,SG,24,CLE,38,978,32%,68%,,,,-3.7,3.7,39,18,21,7,56,,302,10,11
Kenny Anderson,anderke01,1999,PG,28,BOS,34,1010,99%,1%,,,,-6.8,-6.9,40,22,33,6,34,,422,10,26
Nick Anderson,anderni01,1999,SF,31,ORL,47,1581,,65%,35%,,,2.3,2.3,44,20,29,9,67,,197,10,28
Shandon Anderson,andersh01,1999,SG,25,UTA,50,1072,,84%,16%,,,2.2,-8.9,25,13,40,8,58,,116,13,37
Chris Anstey,anstech01,1999,C,24,DAL,41,470,,,,21%,80%,-6.0,-3.7,12,5,35,3,20,,62,3,7
Greg Anthony,anthogr01,1999,PG,31,POR,50,806,91%,9%,,,,11.9,8.2,35,6,17,6,22,,211,3,10
B.J. Armstrong,armstbj01,1999,PG,31,TOT,32,358,76%,24%,,,,-2.5,-4.1,14,5,12,1,6,,128,0,2
B.J. Armstrong,armstbj01,1999,PG,31,CHH,10,178,62%,38%,,,,-3.8,-5.5,5,1,6,1,2,,58,0,1
B.J. Armstrong,armstbj01,1999,PG,31,ORL,22,180,91%,10%,,,,-1.1,-2.8,9,4,6,0,4,,70,0,1
Darrell Armstrong,armstda01,1999,PG,30,ORL,50,1502,100%,,,,,3.7,6.2,97,31,26,7,44,,719,10,27
Keith Askins,askinke01,1999,SF,31,MIA,33,415,,7%,92%,1%,,10.4,3.6,9,2,31,1,3,,24,0,3
Stacey Augmon,augmost01,1999,SF,30,POR,48,874,,7%,92%,1%,,8.9,4.0,10,9,35,5,33,,132,6,13
Isaac Austin,austiis01,1999,C,29,ORL,49,1259,,,,1%,99%,-1.5,-6.0,54,13,52,17,70,,197,9,29
Anthony Avent,aventan01,1999,PF,29,UTA,5,44,,,,100%,,5.8,-1.5,3,0,4,0,1,,2,0,3
Thurl Bailey,baileth01,1999,PF,37,UTA,43,543,,,,67%,33%,2.0,-6.7,17,2,49,5,9,,56,2,12
Toby Bailey,baileto01,1999,SG,23,PHO,27,249,2%,94%,4%,,,-10.1,-12.1,6,3,7,1,6,,27,1,6
Mark Baker,bakerla01,1999,PG,29,TOR,1,2,100%,,,,,-60.0,-58.6,1,0,0,0,0,,0,0,0
Vin Baker,bakervi01,1999,PF,27,SEA,34,1162,,,1%,66%,33%,4.6,9.3,16,17,55,23,71,,129,15,33
Charles Barkley,barklch01,1999,PF,35,HOU,42,1526,,,12%,88%,1%,4.6,5.3,54,19,29,10,122,,460,19,54
Dana Barros,barroda01,1999,PG,31,BOS,50,1156,100%,,,,,-0.7,4.0,50,23,35,3,19,,460,1,10
Brent Barry,barrybr01,1999,SG,27,CHI,37,1181,15%,73%,12%,,,-12.3,-2.1,42,13,54,6,36,,251,9,12
Drew Barry,barrydr01,1999,SG,25,SEA,17,183,13%,85%,1%,,,1.7,2.2,7,2,12,0,2,,61,0,3
Jon Barry,barryjo01,1999,SG,29,SAC,43,736,1%,77%,22%,,,5.8,8.7,25,11,28,4,18,,252,3,1
Tony Battie,battito01,1999,C,22,BOS,50,1121,,,,27%,73%,1.4,7.9,21,9,102,6,25,,128,4,8
Corey Beck,beckco01,1999,PG,27,TOT,24,180,98%,2%,,,,6.6,5.6,7,4,8,1,5,,42,1,2
Corey Beck,beckco01,1999,PG,27,DET,8,30,93%,7%,,,,-20.1,-23.0,1,1,4,0,1,,0,0,0
Corey Beck,beckco01,1999,PG,27,CHH,16,150,99%,1%,,,,11.9,11.4,6,3,4,1,4,,42,1,2
Benoit Benjamin,benjabe01,1999,C,34,PHI,6,33,,,,,100%,-0.1,-2.7,0,0,2,3,0,,2,0,0
Corey Benjamin,benjaco01,1999,PG,20,CHI,31,320,30%,64%,7%,,,-16.8,-6.5,7,4,20,2,15,,21,2,11
Mario Bennett,bennema01,1999,PF,25,CHI,3,19,,,,100%,,-38.1,-27.1,0,1,1,0,1,,0,0,2
Travis Best,besttr01,1999,PG,26,IND,49,1043,100%,,,,,1.6,-5.1,27,19,44,9,24,,381,7,18
Mike Bibby,bibbymi01,1999,PG,20,VAN,50,1758,98%,2%,,,,-9.3,0.0,90,33,54,4,53,,688,11,25
Chauncey Billups,billuch01,1999,SG,22,DEN,45,1488,12%,86%,2%,,,-6.3,0.6,51,21,47,13,62,,387,8,40
Mookie Blaylock,blaylmo01,1999,PG,31,ATL,48,1763,100%,,,,,6.8,11.3,80,20,34,3,24,,592,7,24
Corie Blount,blounco01,1999,PF,30,TOT,34,530,,,,96%,4%,1.0,4.8,8,4,36,4,20,,27,3,11
Corie Blount,blounco01,1999,PF,30,LAL,14,162,,,,100%,,-0.7,-4.4,5,1,16,0,6,,4,2,3
Corie Blount,blounco01,1999,PF,30,CLE,20,368,,,,94%,6%,1.7,8.9,3,3,20,4,14,,23,1,8
Muggsy Bogues,boguemu01,1999,PG,34,GSW,36,714,100%,,,,,-1.7,1.4,34,6,12,1,4,,294,1,3
Etdrick Bohannon,bohanet01,1999,SF,25,WAS,2,4,,,89%,11%,,-22.2,-19.6,0,0,0,0,0,,0,0,0
Keith Booth,boothke01,1999,SF,24,CHI,39,432,,15%,80%,5%,,-19.0,-9.5,18,5,23,10,17,,82,2,25
Bruce Bowen,bowenbr01,1999,SF,27,BOS,30,494,,39%,61%,,,-5.3,-3.2,5,5,19,2,9,,60,4,10
Earl Boykins,boykiea01,1999,PG,22,TOT,22,221,100%,,,,,-11.9,-7.0,9,7,6,0,1,,68,1,2
Earl Boykins,boykiea01,1999,PG,22,NJN,5,51,100%,,,,,-8.2,-4.6,3,3,0,0,0,,12,0,1
Earl Boykins,boykiea01,1999,PG,22,CLE,17,170,100%,,,,,-13.0,-7.7,6,4,6,0,1,,56,1,1
