Totals,PlayerID,Year,Position Estimate,+/- Per 100 Poss.,Turnovers,Fouls Committed,Fouls Drawn,Misc.,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
Shareef Abdur-Rahim,abdursh01,2005,PF,28,POR,54,1867,,,23%,64%,13%,-5.9,-2.4,36,39,71,26,103,,247,23,62
Cory Alexander,alexaco01,2005,SG,31,CHA,16,201,83%,17%,,,,-14.5,-8.6,13,4,12,2,3,,80,0,4
Malik Allen,allenma01,2005,PF,26,TOT,36,519,,,,70%,30%,-5.9,-6.5,6,8,38,2,10,,41,2,7
Malik Allen,allenma01,2005,PF,26,MIA,14,248,,,,87%,13%,-3.1,-11.1,3,4,19,2,4,,24,0,4
Malik Allen,allenma01,2005,PF,26,CHA,22,271,,,1%,54%,46%,-8.4,-2.2,3,4,19,0,6,,17,2,3
Ray Allen,allenra02,2005,SG,29,SEA,78,3064,,75%,25%,,,4.1,6.3,79,56,70,25,141,,678,21,71
Tony Allen,allento01,2005,SG,23,BOS,77,1262,4%,93%,4%,,,7.0,8.8,31,25,77,13,68,,143,11,31
Rafer Alston,alstora01,2005,PG,28,TOR,80,2717,100%,,,,,-1.5,0.1,115,29,86,17,85,,1172,18,42
Chris Andersen,anderch01,2005,C,26,NOH,67,1430,,,,3%,97%,-2.1,9.5,23,17,81,14,85,,148,18,24
Derek Anderson,anderde01,2005,SG,30,POR,47,1239,,91%,9%,,,-5.7,-1.5,41,16,35,6,31,,318,7,10
Kenny Anderson,anderke01,2005,PG,34,TOT,43,743,100%,,,,,-12.0,-2.0,35,9,37,5,12,,223,4,14
Kenny Anderson,anderke01,2005,PG,34,ATL,39,717,100%,,,,,-12.0,-1.6,33,9,35,4,12,,213,4,14
Kenny Anderson,anderke01,2005,PG,34,LAC,4,26,100%,,,,,-11.1,-10.4,2,0,2,1,0,,10,0,0
Shandon Anderson,andersh01,2005,SF-SG,31,TOT,66,1171,,10%,77%,13%,,9.3,3.2,30,12,71,7,28,,156,4,11
Shandon Anderson,andersh01,2005,SG,31,NYK,1,20,,67%,33%,,,-23.4,-20.6,1,0,1,0,0,,0,0,0
Shandon Anderson,andersh01,2005,SF,31,MIA,65,1151,,9%,77%,14%,,9.9,3.7,29,12,70,7,28,,156,4,11
Carmelo Anthony,anthoca01,2005,SF,20,DEN,75,2608,,3%,86%,12%,,2.7,1.8,65,60,85,58,203,,402,40,120
Rafael Araujo,araujra01,2005,C,24,TOR,59,736,,,,1%,99%,-2.1,-0.6,10,11,81,17,24,,34,4,12
Gilbert Arenas,arenagi01,2005,PG,23,WAS,80,3274,88%,12%,,,,1.3,9.3,112,65,96,43,254,,903,59,69
Trevor Ariza,arizatr01,2005,SF,19,NYK,80,1382,,19%,80%,1%,,-0.6,3.5,27,21,36,16,77,,188,12,32
Darrell Armstrong,armstda01,2005,PG,36,TOT,66,988,100%,,,,,-2.4,-3.0,42,17,27,3,13,,398,0,17
Darrell Armstrong,armstda01,2005,PG,36,NOH,14,412,100%,,,,,-7.8,0.6,17,8,6,1,4,,140,0,4
Darrell Armstrong,armstda01,2005,PG,36,DAL,52,576,100%,,,,,1.4,-5.6,25,9,21,2,9,,258,0,13
Carlos Arroyo,arroyca01,2005,PG,25,TOT,70,1448,94%,6%,,,,-7.5,-8.8,55,25,48,14,49,,592,7,32
Carlos Arroyo,arroyca01,2005,PG,25,UTA,30,742,93%,6%,,,,-11.0,-7.3,30,12,24,5,22,,317,4,17
Carlos Arroyo,arroyca01,2005,PG,25,DET,40,706,94%,6%,,,,-3.9,-10.3,25,13,24,9,27,,275,3,15
Chucky Atkins,atkinch01,2005,PG,30,LAL,82,2903,100%,,,,,-3.1,1.8,98,27,47,22,52,,804,9,33
Stacey Augmon,augmost01,2005,SF,36,ORL,55,663,,44%,54%,1%,,-5.3,-3.1,11,6,42,11,31,,78,3,12
Maurice Baker,bakerma01,2005,PG,25,TOT,5,19,85%,15%,,,,20.2,24.7,1,0,0,0,0,,3,0,0
Maurice Baker,bakerma01,2005,PG,25,LAC,1,1,,100%,,,,50.0,50.8,0,0,0,0,0,,0,0,0
Maurice Baker,bakerma01,2005,PG,25,POR,4,18,90%,10%,,,,18.5,23.3,1,0,0,0,0,,3,0,0
Vin Baker,bakervi01,2005,PF-C,33,TOT,27,204,,,1%,39%,61%,-19.1,-17.5,3,6,19,4,5,,22,1,4
Vin Baker,bakervi01,2005,PF,33,NYK,24,191,,,1%,42%,58%,-19.0,-17.0,3,5,14,3,5,,19,1,2
Vin Baker,bakervi01,2005,C,33,HOU,3,13,,,,,100%,-20.5,-25.4,0,1,5,1,0,,3,0,2
Marcus Banks,banksma01,2005,PG,23,BOS,81,1145,100%,,,,,1.6,0.9,30,23,43,12,54,,335,10,19
Leandro Barbosa,barbole01,2005,PG,22,PHO,63,1087,98%,2%,,,,-1.3,-12.1,47,23,45,8,30,,298,9,15
Matt Barnes,barnema02,2005,SF,24,SAC,43,715,,15%,82%,4%,,4.4,2.3,26,9,37,2,27,,122,4,12
Andre Barrett,barrean01,2005,PG,22,TOT,38,483,100%,,,,,2.7,0.5,18,9,13,0,4,,153,1,8
Andre Barrett,barrean01,2005,PG,22,HOU,27,314,100%,,,,,3.4,-1.6,12,4,11,0,1,,96,0,5
Andre Barrett,barrean01,2005,PG,22,ORL,11,169,100%,,,,,1.3,4.2,6,5,2,0,3,,57,1,3
Brent Barry,barrybr01,2005,SG,33,SAS,81,1742,1%,96%,4%,,,7.1,-3.4,42,11,66,8,42,,398,13,16
Jon Barry,barryjo01,2005,SG,35,TOT,69,1505,4%,73%,22%,,,7.9,8.9,49,16,43,0,16,,362,1,8
Jon Barry,barryjo01,2005,SG,35,ATL,16,275,16%,83%,2%,,,-16.1,-5.8,10,4,16,0,3,,61,0,2
Jon Barry,barryjo01,2005,SG,35,HOU,53,1230,1%,71%,27%,,,13.3,12.3,39,12,27,0,13,,301,1,6
Tony Battie,battito01,2005,C,28,ORL,81,1894,,,,13%,87%,-3.8,-2.1,34,18,162,14,34,,90,6,20
Shane Battier,battish01,2005,SG,26,MEM,80,2516,,59%,39%,1%,,6.8,10.8,29,18,119,14,84,,293,11,51
Lonny Baxter,baxtelo01,2005,PF,26,NOH,4,36,,,50%,50%,,-30.1,-22.0,1,1,5,2,1,,0,0,2
Raja Bell,bellra01,2005,SG,28,UTA,63,1790,,97%,3%,,,-6.3,-2.2,42,15,91,16,43,,189,7,25
Jonathan Bender,bendejo01,2005,SF,24,IND,7,93,,,38%,62%,1%,-18.5,-19.8,2,6,5,1,3,,9,0,5
Travis Best,besttr01,2005,PG,32,NJN,76,1461,100%,,,,,-6.8,-8.0,40,17,68,3,48,,322,6,21
Mike Bibby,bibbymi01,2005,PG,26,SAC,80,3084,98%,2%,,,,2.8,1.6,122,60,76,15,145,,1184,30,29
Andris Biedrins,biedran01,2005,C,18,GSW,30,384,,,,,100%,6.1,9.5,3,6,56,1,16,,31,2,15
Chauncey Billups,billuch01,2005,PG,28,DET,80,2866,92%,8%,,,,6.6,7.0,117,37,68,23,126,,1010,18,36
Steve Blake,blakest01,2005,PG,24,WAS,44,648,100%,,,,,-7.2,-8.3,21,15,17,2,7,,153,1,7
Mark Blount,blounma01,2005,C,29,BOS,82,2130,,,,,100%,-0.5,-3.2,50,52,125,17,74,,277,16,31
Tony Bobbitt,bobbito01,2005,SG,25,LAL,2,12,5%,95%,,,,-14.4,-10.9,0,0,1,0,0,,0,0,0
Keith Bogans,boganke01,2005,SG,24,CHA,74,1791,7%,89%,4%,,,-6.5,-0.2,63,32,58,13,84,,282,23,57
Matt Bonner,bonnema01,2005,C,24,TOR,82,1553,,,2%,16%,82%,-1.6,-0.1,6,15,115,14,30,,118,8,18
Calvin Booth,boothca01,2005,C,28,TOT,51,451,,,1%,25%,75%,-7.2,-10.1,9,3,47,1,12,,22,0,6
Calvin Booth,boothca01,2005,C,28,DAL,34,262,,,2%,42%,56%,-3.9,-10.9,3,2,32,1,6,,11,0,5
Calvin Booth,boothca01,2005,C,28,MIL,17,189,,,,,100%,-11.8,-8.9,6,1,15,0,6,,11,0,1
Carlos Boozer,boozeca01,2005,PF,23,UTA,51,1772,,,,90%,11%,-3.2,3.5,54,42,81,30,123,,309,26,67
Curtis Borchardt,borchcu01,2005,C,24,UTA,67,859,,,,,100%,-9.3,-5.3,10,14,79,18,27,,108,7,22
Chris Bosh,boshch01,2005,PF,20,TOR,81,3017,,,3%,69%,29%,-0.3,5.4,61,71,135,24,235,,373,45,76
Bruce Bowen,bowenbr01,2005,SF,33,SAS,82,2627,,2%,91%,7%,,9.1,0.4,31,15,62,7,43,,296,4,34
Ryan Bowen,bowenry01,2005,SF,29,HOU,66,604,,21%,78%,2%,,10.5,6.7,6,1,24,0,11,,43,3,12
Earl Boykins,boykiea01,2005,PG,28,DEN,82,2162,100%,,,,,1.3,-1.8,62,41,40,3,68,,824,8,45
Michael Bradley,bradlmi01,2005,PF,25,TOT,18,119,,,,56%,44%,2.1,2.5,3,1,7,1,2,,12,0,1
Michael Bradley,bradlmi01,2005,PF,25,ORL,8,55,,,,59%,42%,12.1,15.0,1,0,2,0,0,,5,0,0
Michael Bradley,bradlmi01,2005,PF,25,SAC,8,48,,,,70%,30%,-12.8,-15.4,2,0,5,1,1,,5,0,1
Michael Bradley,bradlmi01,2005,PF,25,PHI,2,16,,,,5%,95%,12.3,13.2,0,1,0,0,1,,2,0,0
Shawn Bradley,bradlsh01,2005,C,32,DAL,77,885,,,,,100%,12.8,8.5,9,9,88,9,22,,38,5,9
Torraye Braggs,braggto01,2005,PF,28,HOU,7,24,,,32%,68%,,-17.0,-21.9,1,1,2,0,0,,0,0,1
Elton Brand,brandel01,2005,PF,25,LAC,81,3001,,,2%,94%,4%,2.4,13.0,34,63,127,36,225,,441,70,81
Jamison Brewer,breweja01,2005,PG,24,NYK,18,185,63%,37%,,,,-20.0,-18.0,9,3,7,0,2,,26,1,3
Primoz Brezec,brezepr01,2005,C,25,CHA,72,2276,,,,,100%,-8.0,-3.9,41,35,116,10,87,,186,23,51
Damone Brown,brownda02,2005,SF,25,WAS,14,152,,,62%,38%,,-0.6,-0.4,7,7,7,0,3,,31,1,4
