Totals,PlayerID,Year,Position Estimate,+/- Per 100 Poss.,Turnovers,Fouls Committed,Fouls Drawn,Misc.,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
Shareef Abdur-Rahim,abdursh01,2004,PF,27,TOT,85,2684,,,6%,93%,1%,-2.5,2.3,56,72,95,29,185,,390,31,94
Shareef Abdur-Rahim,abdursh01,2004,PF,27,ATL,53,1956,,,3%,97%,1%,-3.6,2.2,40,52,62,17,137,,286,22,71
Shareef Abdur-Rahim,abdursh01,2004,PF,27,POR,32,728,,,15%,83%,2%,0.5,2.5,16,20,33,12,48,,104,9,23
Malik Allen,allenma01,2004,PF,25,MIA,45,616,,,,44%,56%,-4.2,-5.7,3,12,48,8,14,,39,1,10
Ray Allen,allenra02,2004,SG,28,SEA,56,2152,,68%,32%,,,1.9,5.5,74,56,58,18,105,,623,28,46
Rafer Alston,alstora01,2004,PG,27,MIA,82,2581,99%,1%,,,,1.4,2.2,89,30,84,4,35,,841,3,16
Chris Andersen,anderch01,2004,PF,25,DEN,71,1029,,,,87%,13%,0.5,-0.6,27,11,69,7,39,,72,3,18
Derek Anderson,anderde01,2004,SG,29,POR,51,1810,1%,98%,1%,,,2.2,7.1,53,25,34,5,64,,506,11,14
Kenny Anderson,anderke01,2004,PG,33,IND,44,905,100%,,,,,4.4,-3.0,30,16,29,1,21,,277,4,15
Shandon Anderson,andersh01,2004,SG,30,NYK,80,1974,,62%,37%,,,-4.6,-6.0,51,47,101,13,75,,270,15,39
Carmelo Anthony,anthoca01,2004,SF,19,DEN,82,2995,,4%,88%,8%,,0.8,-0.8,66,68,67,51,213,,490,40,138
Robert Archibald,archiro01,2004,C-PF,23,TOT,32,256,,,1%,2%,97%,-4.4,-1.1,2,1,19,5,10,,29,0,2
Robert Archibald,archiro01,2004,PF,23,PHO,1,6,,,,75%,25%,20.5,24.6,1,0,0,0,0,,2,0,0
