"Player","Year","RPG","APG","SBPG","PPG","TS","WS48","Perc","allstarFlag","allNBAFlag"
Dirk Nowitzki,"2015",5.9,1.9,0.9,17.3,0.56,0.152,0.61,1,0
Kevin Durant,"2015",6.6,4.1,1.8,25.4,0.633,0.252,0.549,1,0
Russell Westbrook,"2015",7.3,8.6,2.3,28.1,0.536,0.222,0.549,1,1
Anthony Davis,"2015",10.2,2.2,4.4,24.4,0.591,0.274,0.549,1,1
John Wall,"2015",4.6,10.0,2.3,17.6,0.523,0.132,0.561,1,0
Chris Bosh,"2015",7.0,2.2,1.5,21.1,0.548,0.111,0.451,1,0
Dwyane Wade,"2015",3.5,4.8,1.5,21.5,0.534,0.086,0.451,1,0
DeMarcus Cousins,"2015",12.7,3.6,3.3,24.1,0.545,0.144,0.354,1,1
Kobe Bryant,"2015",5.7,5.6,1.5,22.3,0.477,0.006,0.256,1,0
Carmelo Anthony,"2015",6.6,3.1,1.4,24.2,0.531,0.097,0.207,1,0
Kawhi Leonard,"2016",6.8,2.6,2.8,21.2,0.616,0.277,0.817,1,1
LaMarcus Aldridge,"2016",8.5,1.5,1.6,18.0,0.565,0.215,0.817,1,1
Draymond Green,"2016",9.5,7.4,2.9,14.0,0.587,0.19,0.89,1,1
Klay Thompson,"2016",3.8,2.1,1.4,22.1,0.597,0.144,0.89,1,1
Stephen Curry,"2016",5.4,6.7,2.3,30.1,0.669,0.318,0.89,1,1
Kevin Durant,"2016",8.2,5.0,2.1,28.2,0.634,0.27,0.671,1,1
Russell Westbrook,"2016",7.8,10.4,2.3,23.5,0.554,0.245,0.671,1,1
LeBron James,"2016",7.4,6.8,2.0,25.3,0.588,0.242,0.695,1,1
DeMar DeRozan,"2016",4.5,4.0,1.3,23.5,0.55,0.169,0.683,1,0
Kyle Lowry,"2016",4.7,6.4,2.5,21.2,0.578,0.196,0.683,1,1
Chris Paul,"2016",4.2,10.0,2.2,19.5,0.575,0.253,0.646,1,1
DeAndre Jordan,"2016",13.8,1.2,3.0,12.7,0.628,0.213,0.646,0,1
Al Horford,"2016",7.3,3.2,2.3,15.2,0.565,0.172,0.585,1,0
Paul Millsap,"2016",9.0,3.3,3.5,17.1,0.556,0.183,0.585,1,0
Isaiah Thomas,"2016",3.0,6.2,1.2,22.2,0.562,0.177,0.585,1,0
Chris Bosh,"2016",7.4,2.4,1.3,19.1,0.571,0.172,0.585,1,0
Dwyane Wade,"2016",4.1,4.6,1.6,19.0,0.517,0.105,0.585,1,0
Paul George,"2016",7.0,4.1,2.2,23.1,0.557,0.157,0.549,1,1
Damian Lillard,"2016",4.0,6.8,1.2,25.1,0.56,0.165,0.537,0,1
Andre Drummond,"2016",14.8,0.8,2.9,16.2,0.499,0.133,0.537,1,1
James Harden,"2016",6.1,7.5,2.3,29.0,0.598,0.204,0.5,1,0
John Wall,"2016",4.9,10.2,2.6,19.9,0.51,0.098,0.5,1,0
Jimmy Butler,"2016",5.3,4.8,2.3,20.9,0.562,0.177,0.512,1,0
Pau Gasol,"2016",11.0,4.1,2.6,16.5,0.529,0.149,0.512,1,0
DeMarcus Cousins,"2016",11.5,3.3,3.0,26.9,0.538,0.122,0.402,1,1
Carmelo Anthony,"2016",7.7,4.2,1.4,21.8,0.53,0.121,0.39,1,0
Anthony Davis,"2016",10.3,1.9,3.3,24.3,0.559,0.16,0.366,1,0
Kobe Bryant,"2016",3.7,2.8,1.1,17.6,0.469,-0.01,0.207,1,0
Draymond Green,"2017",7.9,7.0,3.4,10.2,0.522,0.16,0.817,1,1
Kevin Durant,"2017",8.3,4.8,2.7,25.1,0.651,0.278,0.817,1,1
Klay Thompson,"2017",3.7,2.1,1.4,22.3,0.592,0.129,0.817,1,0
Stephen Curry,"2017",4.5,6.6,2.0,25.3,0.624,0.229,0.817,1,1
Kawhi Leonard,"2017",5.8,3.5,2.5,25.5,0.61,0.264,0.744,1,1
James Harden,"2017",8.1,11.2,2.0,29.1,0.613,0.245,0.671,1,1
DeMar DeRozan,"2017",5.2,3.9,1.2,27.3,0.552,0.166,0.622,1,1
Kyle Lowry,"2017",4.8,7.0,1.8,22.4,0.623,0.216,0.622,1,0
DeAndre Jordan,"2017",13.8,1.2,2.3,12.7,0.673,0.221,0.622,1,1
Kevin Love,"2017",11.1,1.9,1.2,19.0,0.573,0.163,0.622,1,0
Kyrie Irving,"2017",3.2,5.8,1.5,25.2,0.58,0.17,0.622,1,0
LeBron James,"2017",8.6,8.7,1.8,26.4,0.619,0.221,0.622,1,1
Isaiah Thomas,"2017",2.7,5.9,1.1,28.9,0.625,0.234,0.646,1,1
John Wall,"2017",4.2,10.7,2.6,23.1,0.541,0.149,0.598,1,1
Russell Westbrook,"2017",10.7,10.4,2.0,31.6,0.554,0.224,0.573,1,1
Marc Gasol,"2017",6.3,4.6,2.2,19.5,0.554,0.145,0.524,1,0
Jimmy Butler,"2017",6.2,5.5,2.3,23.9,0.586,0.236,0.5,1,1
Kemba Walker,"2017",3.9,5.5,1.4,23.2,0.569,0.142,0.439,1,0
Paul George,"2017",6.6,3.3,1.9,23.7,0.587,0.126,0.512,1,0
Giannis Antetokounmpo,"2017",8.8,5.4,3.5,22.9,0.599,0.21,0.512,1,1
Paul Millsap,"2017",7.7,3.7,2.2,18.1,0.542,0.132,0.524,1,0
Anthony Davis,"2017",11.8,2.1,3.5,28.0,0.58,0.195,0.415,1,1
Carmelo Anthony,"2017",5.9,2.9,1.3,22.4,0.535,0.089,0.378,1,0
James Harden,"2018",5.4,8.8,2.4,30.4,0.619,0.289,0.793,1,1
DeMar DeRozan,"2018",3.9,5.2,1.3,23.0,0.555,0.17,0.72,1,1
Kyle Lowry,"2018",5.6,6.9,1.3,16.2,0.598,0.194,0.72,1,0
Draymond Green,"2018",7.6,7.3,2.7,11.0,0.556,0.127,0.707,1,0
Kevin Durant,"2018",6.8,5.4,2.5,26.4,0.64,0.215,0.707,1,1
Klay Thompson,"2018",3.8,2.5,1.2,20.0,0.598,0.094,0.707,1,0
Stephen Curry,"2018",5.1,6.1,1.7,26.4,0.675,0.267,0.707,1,1
Joel Embiid,"2018",11.0,3.2,2.4,22.9,0.573,0.155,0.634,1,1
Al Horford,"2018",7.4,4.7,1.7,12.9,0.575,0.165,0.671,1,0
Kyrie Irving,"2018",3.8,5.1,1.4,24.4,0.61,0.222,0.671,1,0
Paul George,"2018",5.7,3.3,2.5,21.9,0.57,0.147,0.585,1,1
Russell Westbrook,"2018",10.1,10.3,2.1,25.4,0.524,0.166,0.585,1,1
LaMarcus Aldridge,"2018",8.5,2.0,1.8,23.1,0.57,0.209,0.573,1,1
Damian Lillard,"2018",4.5,6.6,1.4,26.9,0.594,0.227,0.598,1,1
Jimmy Butler,"2018",5.3,4.9,2.4,22.2,0.59,0.198,0.573,1,1
Karl-Anthony Towns,"2018",12.3,2.4,2.2,21.3,0.646,0.23,0.573,1,1
Victor Oladipo,"2018",5.2,4.3,3.1,23.1,0.577,0.155,0.585,1,1
Anthony Davis,"2018",11.1,2.3,4.1,28.1,0.612,0.241,0.585,1,1
DeMarcus Cousins,"2018",12.9,5.4,3.2,25.2,0.583,0.13,0.585,1,0
Kevin Love,"2018",9.3,1.7,1.1,17.6,0.614,0.185,0.61,1,0
LeBron James,"2018",8.6,9.1,2.3,27.5,0.621,0.221,0.61,1,1
Bradley Beal,"2018",4.4,4.5,1.6,22.6,0.564,0.111,0.524,1,0
John Wall,"2018",3.7,9.6,2.5,19.4,0.515,0.092,0.524,1,0
Goran Dragic,"2018",4.1,4.8,1.0,17.3,0.543,0.106,0.537,1,0
Kemba Walker,"2018",3.1,5.6,1.4,22.1,0.572,0.15,0.439,1,0
Andre Drummond,"2018",16.0,3.0,3.1,15.0,0.555,0.189,0.476,1,0
Giannis Antetokounmpo,"2018",10.0,4.8,2.9,26.9,0.598,0.207,0.537,1,1
Kristaps Porzingis,"2018",6.6,1.2,3.1,22.7,0.539,0.099,0.354,1,0
Giannis Antetokounmpo,"2019",12.5,5.9,2.8,27.7,0.644,0.292,0.732,1,1
Khris Middleton,"2019",6.0,4.3,1.1,18.3,0.558,0.123,0.732,1,0
Kevin Durant,"2019",6.4,5.9,1.8,26.0,0.631,0.204,0.695,1,1
Klay Thompson,"2019",3.8,2.4,1.7,21.5,0.571,0.095,0.695,1,0
Stephen Curry,"2019",5.3,5.2,1.7,27.3,0.641,0.199,0.695,1,1
Kawhi Leonard,"2019",7.3,3.3,2.2,26.6,0.606,0.224,0.707,1,1
Kyle Lowry,"2019",4.8,8.7,1.9,14.2,0.562,0.144,0.707,1,0
James Harden,"2019",6.6,7.5,2.8,36.1,0.616,0.254,0.646,1,1
Kyrie Irving,"2019",5.0,6.9,2.0,23.8,0.592,0.197,0.598,1,1
Damian Lillard,"2019",4.6,6.9,1.5,25.8,0.588,0.205,0.646,1,1
Nikola Jokic,"2019",10.8,7.3,2.0,20.1,0.589,0.226,0.659,1,1
Victor Oladipo,"2019",5.6,5.2,2.0,18.8,0.519,0.097,0.585,1,0
Paul George,"2019",8.2,4.1,2.6,28.0,0.583,0.201,0.598,1,1
Russell Westbrook,"2019",11.1,10.7,2.4,22.9,0.501,0.124,0.598,1,1
Ben Simmons,"2019",8.8,7.7,2.2,16.9,0.582,0.146,0.622,1,0
Joel Embiid,"2019",13.6,3.7,2.6,27.5,0.593,0.194,0.622,1,1
LaMarcus Aldridge,"2019",9.2,2.4,1.9,21.3,0.576,0.167,0.585,1,0
Nikola Vucevic,"2019",12.0,3.8,2.1,20.8,0.573,0.193,0.512,1,0
Blake Griffin,"2019",7.5,5.4,1.1,24.5,0.581,0.147,0.5,1,1
Dwyane Wade,"2019",4.0,4.2,1.3,15.0,0.51,0.061,0.476,1,0
Kemba Walker,"2019",4.4,5.9,1.7,25.6,0.558,0.123,0.476,1,1
Anthony Davis,"2019",12.0,3.9,4.0,25.9,0.597,0.247,0.402,1,0
Dirk Nowitzki,"2019",3.1,0.7,0.5,7.3,0.469,0.016,0.402,1,0
Karl-Anthony Towns,"2019",12.4,3.4,2.5,24.4,0.622,0.197,0.439,1,0
LeBron James,"2019",8.5,8.3,1.9,27.4,0.588,0.179,0.451,1,1
Bradley Beal,"2019",5.0,5.5,2.2,25.6,0.581,0.12,0.39,1,0
Giannis Antetokounmpo,"2020",13.6,5.6,2.0,29.5,0.613,0.279,0.767,1,1
Khris Middleton,"2020",6.2,4.3,1.0,20.9,0.619,0.205,0.767,1,0
Jayson Tatum,"2020",7.0,3.0,2.3,23.4,0.567,0.146,0.667,1,1
Kemba Walker,"2020",3.9,4.8,1.4,20.4,0.575,0.162,0.667,1,0
Kawhi Leonard,"2020",7.1,4.9,2.4,27.1,0.589,0.226,0.681,1,1
Kyle Lowry,"2020",5.0,7.5,1.9,19.4,0.59,0.171,0.736,1,0
Pascal Siakam,"2020",7.3,3.5,1.9,22.9,0.554,0.123,0.736,1,1
Anthony Davis,"2020",9.3,3.2,3.8,26.1,0.61,0.25,0.732,1,1
LeBron James,"2020",7.8,10.2,1.7,25.3,0.577,0.204,0.732,1,1
Luka Doncic,"2020",9.4,8.8,1.2,28.8,0.585,0.207,0.573,1,1
Bam Adebayo,"2020",10.2,5.1,2.4,15.9,0.598,0.168,0.603,1,0
Jimmy Butler,"2020",6.7,6.0,2.3,19.9,0.585,0.221,0.603,1,1
James Harden,"2020",6.6,7.5,2.7,34.3,0.626,0.254,0.611,1,1
Russell Westbrook,"2020",7.9,7.0,2.0,27.2,0.536,0.098,0.611,1,1
Ben Simmons,"2020",7.8,8.0,2.7,16.4,0.602,0.165,0.589,1,1
Joel Embiid,"2020",11.6,3.0,2.2,23.0,0.59,0.192,0.589,1,0
Nikola Jokic,"2020",9.7,7.0,1.8,19.9,0.605,0.202,0.63,1,1
Domantas Sabonis,"2020",12.4,5.0,1.2,18.5,0.586,0.168,0.616,1,0
Chris Paul,"2020",5.0,6.7,1.7,17.6,0.61,0.193,0.611,1,1
Devin Booker,"2020",4.2,6.5,1.0,26.6,0.618,0.143,0.466,1,0
Damian Lillard,"2020",4.3,8.0,1.4,30.0,0.627,0.225,0.473,1,1
Brandon Ingram,"2020",6.1,4.2,1.6,23.8,0.587,0.115,0.417,1,0
Trae Young,"2020",4.3,9.3,1.2,29.6,0.595,0.133,0.299,1,0
Kawhi Leonard,"2021",6.5,5.2,2.0,24.8,0.622,0.238,0.653,1,1
Paul George,"2021",6.6,5.2,1.6,23.3,0.598,0.139,0.653,1,1
Chris Paul,"2021",4.5,8.9,1.7,16.4,0.599,0.201,0.708,1,1
Devin Booker,"2021",4.2,4.3,1.0,25.6,0.587,0.104,0.708,1,0
Giannis Antetokounmpo,"2021",11.0,5.9,2.4,28.1,0.633,0.244,0.639,1,1
Ben Simmons,"2021",7.2,6.9,2.2,14.3,0.584,0.153,0.681,1,0
Joel Embiid,"2021",10.6,2.8,2.3,28.5,0.636,0.266,0.681,1,1
Nikola Jokic,"2021",10.8,8.3,2.0,26.4,0.647,0.301,0.653,1,1
Anthony Davis,"2021",7.9,3.1,2.9,21.8,0.556,0.152,0.583,1,0
LeBron James,"2021",7.7,7.8,1.6,25.0,0.602,0.179,0.583,1,1
Luka Doncic,"2021",8.0,8.6,1.5,27.7,0.587,0.163,0.583,1,1
Julius Randle,"2021",10.2,6.0,1.2,24.1,0.567,0.14,0.569,1,1
Damian Lillard,"2021",4.2,7.5,1.2,28.8,0.623,0.209,0.583,1,1
Jaylen Brown,"2021",6.0,3.4,1.8,24.7,0.586,0.115,0.5,1,0
Jayson Tatum,"2021",7.4,4.3,1.7,26.4,0.576,0.137,0.5,1,0
Stephen Curry,"2021",5.5,5.8,1.3,32.0,0.655,0.201,0.542,1,1
Jimmy Butler,"2021",6.9,7.1,2.4,21.5,0.607,0.255,0.556,0,1
Domantas Sabonis,"2021",12.0,6.7,1.8,20.3,0.601,0.149,0.472,1,0
Zion Williamson,"2021",7.2,3.7,1.6,27.0,0.649,0.205,0.431,1,0
Zach LaVine,"2021",5.0,4.9,1.3,27.4,0.634,0.138,0.431,1,0
Bradley Beal,"2021",4.7,4.4,1.5,31.3,0.593,0.132,0.472,1,1
