"Player","Year","Age","RPG","APG","SPG","BPG","TOPG","PPG","TS","3PAr","FTr","WS48","Perc","allstarFlag","allNBAFlag"
Larry Bird,"1985",28,10.5,6.6,1.6,1.2,3.1,28.7,0.585,0.074,0.26,0.238,0.768,1,1
Moses Malone,"1985",29,13.1,1.6,0.8,1.6,3.6,24.6,0.577,0.002,0.704,0.193,0.707,1,1
Isiah Thomas,"1985",23,4.5,13.9,2.3,0.3,3.7,21.2,0.529,0.08,0.35,0.173,0.561,1,1
Ralph Sampson,"1985",24,10.4,2.7,1.0,2.0,4.0,22.1,0.533,0.004,0.299,0.096,0.585,1,1
Michael Jordan,"1985",21,6.5,5.9,2.4,0.8,3.5,28.2,0.592,0.032,0.459,0.213,0.463,1,1
Bernard King,"1985",28,5.8,3.7,1.3,0.3,3.7,32.9,0.585,0.008,0.424,0.166,0.293,1,1
Larry Bird,"1986",29,9.8,6.8,2.0,0.6,3.2,25.8,0.58,0.121,0.306,0.244,0.817,1,1
Sidney Moncrief,"1986",28,4.6,4.9,1.4,0.2,2.4,20.2,0.604,0.107,0.603,0.219,0.695,1,1
Kareem Abdul-Jabbar,"1986",38,6.1,3.5,0.8,1.6,2.6,23.4,0.603,0.001,0.328,0.197,0.756,1,1
Magic Johnson,"1986",26,5.9,12.6,1.6,0.2,3.8,18.8,0.61,0.047,0.473,0.226,0.756,1,1
Hakeem Olajuwon,"1986",23,11.5,2.0,2.0,3.4,2.9,23.5,0.56,0.0,0.453,0.186,0.622,1,1
Dominique Wilkins,"1986",26,7.9,2.6,1.8,0.6,3.2,30.3,0.536,0.037,0.372,0.17,0.61,1,1
Alex English,"1986",32,5.0,4.0,0.9,0.4,3.1,29.8,0.562,0.003,0.314,0.156,0.573,1,1
Isiah Thomas,"1986",24,3.6,10.8,2.2,0.3,3.8,20.9,0.554,0.067,0.37,0.151,0.561,1,1
Alvin Robertson,"1986",23,6.3,5.5,3.7,0.5,3.1,17.0,0.563,0.027,0.299,0.143,0.427,1,1
Magic Johnson,"1987",27,6.3,12.2,1.7,0.5,3.8,23.9,0.602,0.03,0.482,0.263,0.793,1,1
Dominique Wilkins,"1987",27,6.3,3.3,1.5,0.6,2.7,29.0,0.543,0.059,0.415,0.197,0.695,1,1
Kevin McHale,"1987",29,9.9,2.6,0.5,2.2,2.6,26.1,0.655,0.003,0.392,0.232,0.72,1,1
Larry Bird,"1987",30,9.2,7.6,1.8,0.9,3.2,28.1,0.612,0.15,0.304,0.243,0.72,1,1
Isiah Thomas,"1987",25,3.9,10.0,1.9,0.2,4.2,20.6,0.528,0.072,0.385,0.121,0.634,1,1
