"Player","MP","G","MPG","Year","RPG","APG","SBPG","PPG","TS","WS48","Perc","allLeague"
Dominique Wilkins,2888,80,36.1,"1990",6.5,2.5,2.2,26.7,0.556,0.184,0.5,1
Reggie Miller,3192,82,38.9,"1990",3.6,3.8,1.6,24.6,0.645,0.182,0.512,1
Rolando Blackman,2934,80,36.7,"1990",3.5,3.6,1.2,19.4,0.552,0.111,0.573,1
Chris Mullin,2830,78,36.3,"1990",5.9,4.1,2.2,25.1,0.643,0.174,0.451,1
Michael Jordan,3034,82,37.0,"1991",6.0,5.5,3.7,31.5,0.605,0.321,0.744,1
Clyde Drexler,2852,82,34.8,"1991",6.7,6.0,2.5,21.5,0.563,0.209,0.768,1
Kevin Duckworth,2511,81,31.0,"1991",6.6,1.1,0.8,15.8,0.525,0.082,0.768,1
Terry Porter,2665,81,32.9,"1991",3.5,8.0,2.1,17.0,0.632,0.235,0.768,1
James Worthy,3008,78,38.6,"1991",4.6,3.5,1.8,21.4,0.531,0.143,0.707,1
Magic Johnson,2933,79,37.1,"1991",7.0,12.5,1.5,19.4,0.623,0.251,0.707,1
Kevin Johnson,2772,77,36.0,"1991",3.5,10.1,2.3,22.2,0.604,0.22,0.671,1
Tom Chambers,2475,76,32.6,"1991",6.4,2.6,1.5,19.9,0.513,0.105,0.671,1
Kevin McHale,2067,68,30.4,"1991",7.1,1.9,2.5,18.4,0.606,0.182,0.683,1
Larry Bird,2277,60,38.0,"1991",8.5,7.2,2.8,19.4,0.53,0.14,0.683,1
Robert Parish,2441,81,30.1,"1991",10.6,0.8,2.1,14.9,0.637,0.198,0.683,1
David Robinson,3095,82,37.7,"1991",13.0,2.5,5.5,25.6,0.615,0.264,0.671,1
Isiah Thomas,1657,48,34.5,"1991",3.3,9.3,1.8,16.2,0.507,0.098,0.61,1
Joe Dumars,3046,80,38.1,"1991",2.3,5.5,1.2,20.4,0.552,0.155,0.61,1
John Stockton,3103,82,37.8,"1991",2.9,14.2,3.0,17.2,0.604,0.217,0.659,1
Karl Malone,3302,82,40.3,"1991",11.8,3.3,2.0,29.0,0.596,0.225,0.659,1
Hakeem Olajuwon,2062,56,36.8,"1991",13.8,2.3,6.1,21.2,0.549,0.201,0.634,1
Alvin Robertson,2598,81,32.1,"1991",5.7,5.5,3.2,13.6,0.538,0.142,0.585,1
Chris Mullin,3315,82,40.4,"1991",5.4,4.0,2.9,25.7,0.618,0.176,0.537,1
Tim Hardaway,3215,82,39.2,"1991",4.0,9.7,2.8,22.9,0.547,0.148,0.537,1
Dominique Wilkins,3078,81,38.0,"1991",9.0,3.3,2.3,25.9,0.555,0.177,0.524,1
Patrick Ewing,3104,81,38.3,"1991",11.2,3.0,4.2,26.6,0.561,0.155,0.476,1
Charles Barkley,2498,67,37.3,"1991",10.1,4.2,2.1,27.6,0.635,0.258,0.537,1
Hersey Hawkins,3110,80,38.9,"1991",3.9,3.7,2.7,22.1,0.592,0.151,0.537,1
Brad Daugherty,2946,76,38.8,"1991",10.9,3.3,1.6,21.6,0.583,0.147,0.402,1
Bernard King,2401,64,37.5,"1991",5.0,4.6,1.1,28.4,0.527,0.07,0.366,1
Michael Jordan,3102,80,38.8,"1992",6.4,6.1,3.2,30.1,0.579,0.274,0.817,1
Scottie Pippen,3164,82,38.6,"1992",7.7,7.0,3.0,21.0,0.555,0.192,0.817,1
Clyde Drexler,2751,76,36.2,"1992",6.6,6.7,2.7,25.0,0.56,0.223,0.695,1
John Stockton,3002,82,36.6,"1992",3.3,13.7,3.2,15.8,0.59,0.215,0.671,1
Karl Malone,3054,81,37.7,"1992",11.2,3.0,2.0,28.0,0.599,0.237,0.671,1
Dan Majerle,2853,82,34.8,"1992",5.9,3.3,2.1,17.3,0.551,0.165,0.646,1
Jeff Hornacek,3078,81,38.0,"1992",5.0,5.1,2.3,20.1,0.592,0.181,0.646,1
Kevin Johnson,2899,78,37.2,"1992",3.7,10.7,1.8,19.7,0.561,0.165,0.646,1
Brad Daugherty,2643,73,36.2,"1992",10.4,3.6,2.0,21.5,0.629,0.213,0.695,1
Mark Price,2138,72,29.7,"1992",2.4,7.4,1.5,17.3,0.61,0.205,0.695,1
Patrick Ewing,3150,82,38.4,"1992",11.2,1.9,4.1,24.0,0.563,0.198,0.622,1
Larry Bird,1662,45,36.9,"1992",9.6,6.8,1.7,20.2,0.547,0.159,0.622,1
Reggie Lewis,3070,82,37.4,"1992",4.8,2.3,2.8,20.8,0.55,0.143,0.622,1
Chris Mullin,3346,81,41.3,"1992",5.6,3.5,2.9,25.6,0.586,0.155,0.671,1
Tim Hardaway,3332,81,41.1,"1992",3.8,10.0,2.2,23.4,0.537,0.132,0.671,1
David Robinson,2564,68,37.7,"1992",12.2,2.7,6.8,23.2,0.597,0.26,0.573,1
Dennis Rodman,3301,82,40.3,"1992",18.7,2.3,1.7,9.8,0.574,0.183,0.585,1
Isiah Thomas,2918,78,37.4,"1992",3.2,7.2,1.7,18.5,0.505,0.095,0.585,1
Joe Dumars,3192,82,38.9,"1992",2.3,4.6,1.0,19.9,0.538,0.123,0.585,1
James Worthy,2108,54,39.0,"1992",5.6,4.7,1.8,19.9,0.49,0.07,0.524,1
Charles Barkley,2881,75,38.4,"1992",11.1,4.1,2.4,23.1,0.612,0.205,0.427,1
Dominique Wilkins,1601,42,38.1,"1992",7.0,3.8,1.8,28.1,0.552,0.152,0.463,1
Kevin Willis,2962,81,36.6,"1992",15.5,2.1,1.6,18.3,0.535,0.143,0.463,1
Hakeem Olajuwon,2636,70,37.7,"1992",12.1,2.2,6.2,21.6,0.553,0.178,0.512,1
Otis Thorpe,3056,82,37.3,"1992",10.5,3.0,1.1,17.3,0.619,0.14,0.512,1
Michael Adams,2795,78,35.8,"1992",4.0,7.6,2.0,18.1,0.506,0.09,0.305,1
Dikembe Mutombo,2716,71,38.3,"1992",12.3,2.2,3.6,16.6,0.54,0.086,0.293,1
Shawn Kemp,2582,78,33.1,"1993",10.7,2.0,3.4,17.8,0.547,0.169,0.671,1
Michael Jordan,3067,78,39.3,"1993",6.7,5.5,3.6,32.6,0.564,0.27,0.695,1
Scottie Pippen,3123,81,38.6,"1993",7.7,6.3,3.0,18.6,0.51,0.132,0.695,1
Brad Daugherty,2691,71,37.9,"1993",10.2,4.4,1.5,20.2,0.635,0.226,0.659,1
Larry Nance,2753,77,35.8,"1993",8.7,2.9,3.3,16.5,0.587,0.187,0.659,1
Mark Price,2380,75,31.7,"1993",2.7,8.0,1.3,18.2,0.609,0.197,0.659,1
Charles Barkley,2859,76,37.6,"1993",12.2,5.1,2.5,25.6,0.596,0.242,0.756,1
Dan Majerle,3199,82,39.0,"1993",4.7,3.8,2.1,16.9,0.573,0.147,0.756,1
Patrick Ewing,3003,81,37.1,"1993",12.1,1.9,2.9,24.2,0.546,0.17,0.732,1
Hakeem Olajuwon,3242,82,39.5,"1993",13.0,3.5,6.0,26.1,0.577,0.234,0.671,1
Clyde Drexler,1671,49,34.1,"1993",6.3,5.7,2.7,19.9,0.517,0.171,0.622,1
Terry Porter,2883,81,35.6,"1993",3.9,5.2,1.4,18.2,0.577,0.147,0.622,1
David Robinson,3211,82,39.2,"1993",11.7,3.7,4.8,23.4,0.569,0.197,0.598,1
Sean Elliott,2604,70,37.2,"1993",4.6,3.8,1.4,17.2,0.566,0.113,0.598,1
John Stockton,2863,82,34.9,"1993",2.9,12.0,2.7,15.1,0.584,0.177,0.573,1
Karl Malone,3099,82,37.8,"1993",11.2,3.8,2.5,27.0,0.612,0.238,0.573,1
Detlef Schrempf,3098,82,37.8,"1993",9.5,6.0,1.3,19.1,0.571,0.161,0.5,1
Shaquille O'Neal,3071,81,37.9,"1993",13.9,1.9,4.3,23.4,0.584,0.163,0.5,1
Derrick Coleman,2759,76,36.3,"1993",11.2,3.6,2.9,20.7,0.54,0.165,0.524,1
Danny Manning,2761,79,34.9,"1993",6.6,2.6,2.6,22.8,0.565,0.137,0.5,1
Dominique Wilkins,2647,71,37.3,"1993",6.8,3.2,1.4,29.9,0.57,0.191,0.524,1
Chris Mullin,1902,46,41.3,"1993",5.0,3.6,2.4,25.9,0.578,0.122,0.415,1
Tim Hardaway,2609,66,39.5,"1993",4.0,10.6,1.9,21.5,0.534,0.138,0.415,1
Isiah Thomas,2922,79,37.0,"1993",2.9,8.5,1.8,17.6,0.488,0.061,0.488,1
Joe Dumars,3094,77,40.2,"1993",1.9,4.0,1.1,23.5,0.555,0.141,0.488,1
Mitch Richmond,1728,45,38.4,"1993",3.4,4.9,1.4,21.9,0.558,0.087,0.305,1
Gary Payton,2881,82,35.1,"1994",3.3,6.0,2.5,16.5,0.526,0.155,0.768,1
Shawn Kemp,2597,79,32.9,"1994",10.8,2.6,3.9,18.1,0.593,0.216,0.768,1
Charles Oakley,2932,82,35.8,"1994",11.8,2.7,1.6,11.8,0.54,0.172,0.695,1
John Starks,2057,59,34.9,"1994",3.1,5.9,1.7,19.0,0.516,0.135,0.695,1
Patrick Ewing,2972,79,37.6,"1994",11.2,2.3,3.9,24.5,0.551,0.211,0.695,1
David Robinson,3241,80,40.5,"1994",10.7,4.8,5.1,29.8,0.577,0.296,0.671,1
Mookie Blaylock,2915,81,36.0,"1994",5.2,9.7,3.2,13.8,0.487,0.168,0.695,1
Charles Barkley,2298,65,35.4,"1994",11.2,4.6,2.1,21.6,0.563,0.185,0.683,1
Kevin Johnson,2449,67,36.6,"1994",2.5,9.5,2.0,20.0,0.566,0.17,0.683,1
John Stockton,2969,82,36.2,"1994",3.1,12.6,2.7,15.1,0.608,0.214,0.646,1
Karl Malone,3329,82,40.6,"1994",11.5,4.0,3.1,25.2,0.55,0.193,0.646,1
Hakeem Olajuwon,3277,80,41.0,"1994",11.9,3.6,5.3,27.3,0.565,0.21,0.707,1
Mark Price,2386,76,31.4,"1994",3.0,7.8,1.5,17.3,0.586,0.201,0.573,1
Shaquille O'Neal,3224,81,39.8,"1994",13.2,2.4,3.8,29.3,0.605,0.252,0.61,1
Horace Grant,2570,70,36.7,"1994",11.0,3.4,2.3,15.1,0.54,0.188,0.671,1
Scottie Pippen,2759,72,38.3,"1994",8.7,5.6,3.7,22.0,0.544,0.194,0.671,1
Clifford Robinson,2853,82,34.8,"1994",6.7,1.9,2.8,20.1,0.513,0.126,0.573,1
Clyde Drexler,2334,68,34.3,"1994",6.5,4.9,1.9,19.2,0.514,0.14,0.573,1
Derrick Coleman,2778,77,36.1,"1994",11.3,3.4,2.7,20.2,0.534,0.171,0.549,1
Kenny Anderson,3135,82,38.2,"1994",3.9,9.6,2.1,18.8,0.491,0.114,0.549,1
Latrell Sprewell,3533,82,43.1,"1994",4.9,4.7,3.1,21.0,0.532,0.108,0.61,1
Mitch Richmond,2897,78,37.1,"1994",3.7,4.0,1.5,23.4,0.551,0.106,0.341,1
John Stockton,2867,82,35.0,"1995",3.1,12.3,2.6,14.7,0.651,0.233,0.732,1
Karl Malone,3126,82,38.1,"1995",10.6,3.5,2.6,26.7,0.59,0.212,0.732,1
Detlef Schrempf,2886,82,35.2,"1995",6.2,3.8,1.6,19.2,0.641,0.215,0.695,1
Gary Payton,3015,82,36.8,"1995",3.4,7.1,2.6,20.6,0.564,0.187,0.695,1
Shawn Kemp,2679,82,32.7,"1995",10.9,1.8,2.7,18.7,0.61,0.19,0.695,1
Anfernee Hardaway,2901,77,37.7,"1995",4.4,7.2,2.0,20.9,0.599,0.177,0.695,1
Shaquille O'Neal,2923,79,37.0,"1995",11.4,2.7,3.4,29.3,0.588,0.23,0.695,1
David Robinson,3074,81,38.0,"1995",10.8,2.9,4.9,27.6,0.602,0.273,0.756,1
Dennis Rodman,1568,49,32.0,"1995",16.8,2.0,1.1,7.1,0.604,0.178,0.756,1
Scottie Pippen,3014,79,38.2,"1995",8.1,5.2,4.1,21.4,0.559,0.188,0.573,1
Charles Barkley,2382,68,35.0,"1995",11.1,4.1,2.3,23.0,0.572,0.214,0.72,1
Dan Majerle,3091,82,37.7,"1995",4.6,4.1,1.6,15.6,0.555,0.12,0.72,1
Reggie Miller,2665,81,32.9,"1995",2.6,3.0,1.4,19.6,0.62,0.204,0.634,1
Patrick Ewing,2920,79,37.0,"1995",11.0,2.7,2.9,23.9,0.555,0.157,0.671,1
Hakeem Olajuwon,2853,72,39.6,"1995",10.8,3.5,5.2,27.8,0.563,0.181,0.573,1
Dikembe Mutombo,3100,82,37.8,"1995",12.5,1.4,4.4,11.5,0.595,0.135,0.5,1
Tyrone Hill,2397,70,34.2,"1995",10.9,0.8,1.4,13.8,0.554,0.138,0.524,1
Cedric Ceballos,2029,58,35.0,"1995",8.0,1.8,1.4,21.7,0.57,0.123,0.585,1
Mitch Richmond,3172,82,38.7,"1995",4.4,3.8,1.5,22.8,0.551,0.12,0.476,1
Vin Baker,3361,82,41.0,"1995",10.3,3.6,2.5,17.7,0.511,0.083,0.415,1
Latrell Sprewell,2771,69,40.2,"1995",3.7,4.0,2.3,20.6,0.519,0.034,0.317,1
Dana Barros,3318,82,40.5,"1995",3.3,7.5,1.9,20.6,0.632,0.183,0.293,1
Grant Hill,2678,70,38.3,"1995",6.4,5.0,2.7,19.9,0.541,0.097,0.341,1
Joe Dumars,2544,67,38.0,"1995",2.4,5.5,1.2,18.1,0.541,0.032,0.341,1
Michael Jordan,3090,82,37.7,"1996",6.6,4.3,2.7,30.4,0.582,0.317,0.878,1
Scottie Pippen,2825,77,36.7,"1996",6.4,5.9,2.5,19.4,0.551,0.209,0.878,1
Gary Payton,3162,81,39.0,"1996",4.2,7.5,3.1,19.3,0.554,0.174,0.78,1
Shawn Kemp,2631,79,33.3,"1996",11.4,2.2,2.8,19.6,0.631,0.205,0.78,1
John Stockton,2915,82,35.5,"1996",2.8,11.2,1.9,14.7,0.642,0.214,0.671,1
Karl Malone,3113,82,38.0,"1996",9.8,4.2,2.4,25.7,0.575,0.233,0.671,1
David Robinson,3019,82,36.8,"1996",12.2,3.0,4.7,25.0,0.589,0.29,0.72,1
Sean Elliott,2901,77,37.7,"1996",5.1,2.7,1.3,20.0,0.585,0.128,0.72,1
Anfernee Hardaway,3015,82,36.8,"1996",4.3,7.1,2.5,21.7,0.605,0.229,0.732,1
Shaquille O'Neal,1946,54,36.0,"1996",11.0,2.9,2.8,26.6,0.57,0.171,0.732,1
Reggie Miller,2621,76,34.5,"1996",2.8,3.3,1.2,21.1,0.625,0.188,0.634,1
Terrell Brandon,2570,75,34.3,"1996",3.3,6.5,2.2,19.3,0.573,0.237,0.573,1
Grant Hill,3260,80,40.8,"1996",9.8,6.9,1.9,20.2,0.537,0.172,0.561,1
Patrick Ewing,2783,76,36.6,"1996",10.6,2.1,3.3,22.5,0.516,0.116,0.573,1
Clyde Drexler,1997,52,38.4,"1996",7.2,5.8,2.5,19.3,0.551,0.161,0.585,1
Hakeem Olajuwon,2797,72,38.8,"1996",10.9,3.6,4.4,26.9,0.558,0.166,0.585,1
Alonzo Mourning,2671,70,38.2,"1996",10.4,2.3,3.7,23.2,0.584,0.178,0.512,1
Juwan Howard,3294,81,40.7,"1996",8.1,4.4,1.3,22.1,0.53,0.082,0.476,1
Charles Barkley,2632,71,37.1,"1996",11.6,3.7,2.4,23.2,0.585,0.191,0.5,1
Dikembe Mutombo,2713,74,36.7,"1996",11.8,1.5,5.0,11.0,0.562,0.134,0.427,1
Mitch Richmond,2946,81,36.4,"1996",3.3,3.1,1.8,23.1,0.591,0.151,0.476,1
Jason Kidd,3034,81,37.5,"1996",6.8,9.7,2.5,16.6,0.468,0.068,0.317,1
Vin Baker,3319,82,40.5,"1996",9.9,2.6,1.9,21.1,0.527,0.089,0.305,1
Michael Jordan,3106,82,37.9,"1997",5.9,4.3,2.2,29.6,0.567,0.283,0.841,1
Scottie Pippen,3095,82,37.7,"1997",6.5,5.7,2.4,20.2,0.554,0.203,0.841,1
John Stockton,2896,82,35.3,"1997",2.8,10.5,2.2,14.4,0.656,0.226,0.78,1
Karl Malone,2998,82,36.6,"1997",9.9,4.5,2.0,27.4,0.6,0.268,0.78,1
Detlef Schrempf,2192,61,35.9,"1997",6.5,4.4,1.3,16.8,0.592,0.174,0.695,1
Gary Payton,3213,82,39.2,"1997",4.6,7.1,2.6,21.8,0.545,0.193,0.695,1
Shawn Kemp,2750,81,34.0,"1997",10.0,1.9,2.5,18.7,0.583,0.174,0.695,1
Christian Laettner,3140,82,38.3,"1997",8.8,2.7,2.0,18.1,0.562,0.177,0.683,1
Dikembe Mutombo,2973,80,37.2,"1997",11.6,1.4,3.9,13.3,0.584,0.183,0.683,1
Alonzo Mourning,2320,66,35.2,"1997",9.9,1.6,3.7,19.8,0.578,0.174,0.744,1
Tim Hardaway,3136,81,38.7,"1997",3.4,8.6,2.0,20.3,0.532,0.198,0.744,1
Grant Hill,3147,80,39.3,"1997",9.0,7.3,2.4,21.4,0.556,0.223,0.659,1
Joe Dumars,2923,79,37.0,"1997",2.4,4.0,0.7,14.7,0.586,0.144,0.659,1
Charles Barkley,2009,53,37.9,"1997",13.5,4.7,1.8,19.2,0.581,0.224,0.695,1
Clyde Drexler,2271,62,36.6,"1997",6.0,5.7,2.5,18.0,0.548,0.172,0.695,1
Hakeem Olajuwon,2852,78,36.6,"1997",9.2,3.0,3.7,23.2,0.558,0.154,0.695,1
Eddie Jones,2998,80,37.5,"1997",4.1,3.4,3.0,17.2,0.559,0.154,0.683,1
Shaquille O'Neal,1941,51,38.1,"1997",12.5,3.1,3.8,26.2,0.556,0.197,0.683,1
Patrick Ewing,2887,78,37.0,"1997",10.7,2.0,3.3,22.4,0.548,0.163,0.695,1
Terrell Brandon,2868,78,36.8,"1997",3.9,6.3,2.2,19.5,0.526,0.181,0.512,1
Chris Webber,2806,72,39.0,"1997",10.3,4.6,3.6,20.1,0.554,0.159,0.537,1
Anfernee Hardaway,2221,59,37.6,"1997",4.5,5.6,2.2,20.5,0.554,0.175,0.549,1
Kevin Garnett,2995,77,38.9,"1997",8.0,3.1,3.5,17.0,0.537,0.116,0.488,1
Tom Gugliotta,3131,81,38.7,"1997",8.7,4.1,2.7,20.6,0.526,0.103,0.488,1
Vin Baker,3159,78,40.5,"1997",10.3,2.7,2.5,21.0,0.553,0.127,0.402,1
Mitch Richmond,3125,81,38.6,"1997",3.9,4.2,1.8,25.9,0.578,0.166,0.415,1
Latrell Sprewell,3353,80,41.9,"1997",4.6,6.3,2.2,24.2,0.57,0.115,0.366,1
Eddie Jones,2910,80,36.4,"1998",3.8,3.1,2.7,16.9,0.592,0.166,0.744,1
Kobe Bryant,2056,79,26.0,"1998",3.1,2.5,1.4,15.4,0.548,0.147,0.744,1
Nick Van Exel,2053,64,32.1,"1998",3.0,6.9,1.1,13.8,0.538,0.166,0.744,1
Shaquille O'Neal,2175,60,36.3,"1998",11.4,2.4,3.1,28.3,0.587,0.224,0.744,1
Gary Payton,3145,82,38.4,"1998",4.6,8.3,2.5,19.2,0.544,0.19,0.744,1
Vin Baker,2944,82,35.9,"1998",8.0,1.9,2.2,19.2,0.564,0.169,0.744,1
Michael Jordan,3181,82,38.8,"1998",5.8,3.5,2.3,28.7,0.533,0.238,0.756,1
Scottie Pippen,1652,44,37.5,"1998",5.2,5.8,2.8,19.1,0.533,0.193,0.756,1
Karl Malone,3030,81,37.4,"1998",10.3,3.9,2.0,27.0,0.597,0.259,0.756,1
Reggie Miller,2795,81,34.5,"1998",2.9,2.1,1.1,19.5,0.619,0.206,0.707,1
Rik Smits,2085,73,28.6,"1998",6.9,1.4,1.8,16.7,0.532,0.141,0.707,1
Jason Kidd,3118,82,38.0,"1998",6.2,9.1,2.3,11.6,0.502,0.123,0.683,1
Tim Hardaway,3031,81,37.4,"1998",3.7,8.3,1.9,18.9,0.53,0.185,0.671,1
David Robinson,2457,73,33.7,"1998",10.6,2.7,3.5,21.6,0.581,0.269,0.683,1
Tim Duncan,3204,82,39.1,"1998",11.9,2.7,3.2,21.1,0.577,0.192,0.683,1
Dikembe Mutombo,2917,82,35.6,"1998",11.4,1.0,3.8,13.4,0.584,0.177,0.61,1
Steve Smith,2857,73,39.1,"1998",4.2,4.0,1.4,20.1,0.563,0.171,0.61,1
Shawn Kemp,2769,80,34.6,"1998",9.3,2.5,2.5,18.0,0.512,0.118,0.573,1
Grant Hill,3294,81,40.7,"1998",7.7,6.8,2.4,21.1,0.52,0.149,0.451,1
Jayson Williams,2343,65,36.0,"1998",13.6,1.0,1.4,12.9,0.541,0.172,0.524,1
Rod Strickland,3020,76,39.7,"1998",5.3,10.5,2.0,17.8,0.501,0.129,0.512,1
Kevin Garnett,3222,82,39.3,"1998",9.6,4.2,3.5,18.5,0.527,0.143,0.549,1
Antoine Walker,3268,82,39.9,"1998",10.2,3.3,2.5,22.4,0.481,0.07,0.439,1
Mitch Richmond,2569,70,36.7,"1998",3.3,4.0,1.5,23.2,0.569,0.148,0.329,1
Tim Duncan,1963,50,39.3,"1999",11.4,2.4,3.4,21.7,0.541,0.213,0.74,1
John Stockton,1410,50,28.2,"1999",2.9,7.5,1.9,11.1,0.571,0.217,0.74,1
Karl Malone,1832,49,37.4,"1999",9.4,4.1,1.8,23.8,0.577,0.252,0.74,1
Alonzo Mourning,1753,46,38.1,"1999",11.0,1.6,4.7,20.1,0.563,0.216,0.66,1
Tim Hardaway,1772,48,36.9,"1999",3.2,7.3,1.3,17.4,0.511,0.146,0.66,1
Grant Hill,1852,50,37.0,"1999",7.1,6.0,2.1,21.1,0.543,0.189,0.58,1
Kobe Bryant,1896,50,37.9,"1999",5.3,3.8,2.4,19.9,0.549,0.13,0.62,1
Shaquille O'Neal,1705,49,34.8,"1999",10.7,2.3,2.4,26.3,0.584,0.255,0.62,1
Hakeem Olajuwon,1784,50,35.7,"1999",9.6,1.8,4.1,18.9,0.559,0.175,0.62,1
Jason Kidd,2060,50,41.2,"1999",6.8,10.8,2.7,16.9,0.527,0.188,0.54,1
Allen Iverson,1990,48,41.5,"1999",4.9,4.6,2.4,26.8,0.508,0.173,0.56,1
Kevin Garnett,1780,47,37.9,"1999",10.4,4.3,3.4,20.8,0.493,0.146,0.5,1
Chris Webber,1719,42,40.9,"1999",13.0,4.1,3.5,20.0,0.491,0.102,0.54,1
Gary Payton,2008,50,40.2,"1999",4.9,8.7,2.4,21.7,0.519,0.172,0.5,1
Antonio McDyess,1937,50,38.7,"1999",10.7,1.6,3.8,21.2,0.515,0.105,0.28,1
Kobe Bryant,2524,66,38.2,"2000",6.3,4.9,2.5,22.5,0.546,0.202,0.817,1
Shaquille O'Neal,3163,79,40.0,"2000",13.6,3.8,3.5,29.7,0.578,0.283,0.817,1
Rasheed Wallace,2845,81,35.1,"2000",7.0,1.8,2.4,16.4,0.556,0.156,0.72,1
David Robinson,2557,80,32.0,"2000",9.6,1.8,3.5,17.8,0.568,0.238,0.646,1
Tim Duncan,2875,74,38.9,"2000",12.4,3.2,3.1,23.2,0.555,0.218,0.646,1
Jason Kidd,2616,67,39.0,"2000",7.2,10.1,2.4,14.3,0.498,0.156,0.646,1
John Stockton,2432,82,29.7,"2000",2.6,8.6,1.9,12.1,0.591,0.222,0.671,1
Karl Malone,2947,82,35.9,"2000",9.5,3.7,1.8,25.5,0.582,0.249,0.671,1
Dale Davis,2127,74,28.7,"2000",9.9,0.9,2.0,10.0,0.537,0.161,0.683,1
Reggie Miller,2987,81,36.9,"2000",3.0,2.3,1.4,18.1,0.603,0.162,0.683,1
Alonzo Mourning,2748,79,34.8,"2000",9.5,1.6,4.2,21.7,0.596,0.226,0.634,1
Chris Webber,2880,75,38.4,"2000",10.5,4.6,3.3,24.5,0.53,0.179,0.537,1
Kevin Garnett,3243,81,40.0,"2000",11.8,5.0,3.0,22.9,0.545,0.172,0.61,1
Allan Houston,3169,82,38.6,"2000",3.3,2.7,1.0,19.7,0.569,0.13,0.61,1
Grant Hill,2776,74,37.5,"2000",6.6,5.2,2.0,25.8,0.565,0.185,0.512,1
Jerry Stackhouse,3148,82,38.4,"2000",3.8,4.5,1.7,23.6,0.545,0.111,0.512,1
Allen Iverson,2853,70,40.8,"2000",3.8,4.7,2.1,28.4,0.496,0.116,0.598,1
Gary Payton,3425,82,41.8,"2000",6.5,8.9,2.1,24.2,0.535,0.195,0.549,1
Glenn Robinson,2909,81,35.9,"2000",6.0,2.4,1.5,20.9,0.534,0.08,0.512,1
Ray Allen,3070,82,37.4,"2000",4.4,3.8,1.6,22.1,0.57,0.157,0.512,1
Vince Carter,3126,82,38.1,"2000",5.8,3.9,2.5,25.7,0.543,0.182,0.549,1
Michael Finley,3464,82,42.2,"2000",6.3,5.3,1.7,22.6,0.522,0.114,0.488,1
Stephon Marbury,2881,74,38.9,"2000",3.2,8.4,1.7,22.2,0.528,0.123,0.378,1
Dikembe Mutombo,2984,82,36.4,"2000",14.1,1.3,3.6,11.5,0.621,0.16,0.341,1
David Robinson,2371,80,29.6,"2001",8.6,1.5,3.5,14.4,0.559,0.246,0.707,1
Tim Duncan,3174,82,38.7,"2001",12.2,3.0,3.2,22.2,0.536,0.2,0.707,1
Chris Webber,2836,70,40.5,"2001",11.1,4.2,3.0,27.1,0.516,0.186,0.671,1
Vlade Divac,2420,81,29.9,"2001",8.3,2.9,2.2,12.0,0.536,0.147,0.671,1
Karl Malone,2895,81,35.7,"2001",8.3,4.5,1.9,23.2,0.572,0.217,0.646,1
Allen Iverson,2979,71,42.0,"2001",3.8,4.6,2.8,31.1,0.518,0.19,0.683,1
Theo Ratliff,1800,50,36.0,"2001",8.3,1.2,4.3,12.4,0.562,0.138,0.683,1
Rasheed Wallace,2940,77,38.2,"2001",7.8,2.8,2.9,19.2,0.56,0.18,0.61,1
Dirk Nowitzki,3125,82,38.1,"2001",9.2,2.1,2.2,21.8,0.601,0.224,0.646,1
Michael Finley,3443,82,42.0,"2001",5.2,4.4,1.8,21.5,0.521,0.119,0.646,1
Glenn Robinson,2813,76,37.0,"2001",6.9,3.3,1.9,22.0,0.525,0.114,0.634,1
Ray Allen,3129,82,38.2,"2001",5.2,4.6,1.8,22.0,0.61,0.211,0.634,1
Kobe Bryant,2783,68,40.9,"2001",5.9,5.0,2.3,28.5,0.552,0.196,0.683,1
Shaquille O'Neal,2924,74,39.5,"2001",12.7,3.7,3.4,28.7,0.574,0.245,0.683,1
Allan Houston,2858,78,36.6,"2001",3.6,2.2,0.8,18.7,0.543,0.126,0.585,1
Latrell Sprewell,3017,77,39.2,"2001",4.5,3.5,1.7,17.7,0.497,0.082,0.585,1
Alonzo Mourning,306,13,23.5,"2001",7.8,0.9,2.7,13.6,0.536,0.148,0.61,1
Anthony Mason,3254,80,40.7,"2001",9.6,3.1,1.3,16.1,0.555,0.171,0.61,1
Antonio Davis,2729,78,35.0,"2001",10.1,1.4,2.2,13.7,0.508,0.127,0.573,1
Vince Carter,2979,75,39.7,"2001",5.5,3.9,2.6,27.6,0.551,0.208,0.573,1
Jason Kidd,3065,77,39.8,"2001",6.4,9.8,2.5,16.9,0.51,0.15,0.622,1
Kevin Garnett,3202,81,39.5,"2001",11.4,5.0,3.2,22.0,0.531,0.176,0.573,1
Grant Hill,133,4,33.3,"2001",6.3,6.3,1.8,13.8,0.505,0.126,0.524,1
Tracy McGrady,3087,77,40.1,"2001",7.5,4.6,3.0,26.8,0.521,0.189,0.524,1
Gary Payton,3244,79,41.1,"2001",4.6,8.1,1.9,23.1,0.522,0.16,0.537,1
Jerry Stackhouse,3215,80,40.2,"2001",3.9,5.1,1.9,29.8,0.521,0.137,0.39,1
Antonio McDyess,2555,70,36.5,"2001",12.1,2.1,2.1,20.8,0.538,0.146,0.488,1
Stephon Marbury,2557,67,38.2,"2001",3.1,7.6,1.3,23.9,0.54,0.147,0.317,1
Chris Webber,2071,54,38.4,"2002",10.1,4.8,3.1,24.5,0.54,0.2,0.744,1
