"Player","Year","RPG","APG","SBPG","PPG","TS","WS48","Perc","allLeague"
Jeff Grayer,"1990",3.1,1.5,0.8,7.7,0.495,0.05,0.537,0
A.C. Green,"1990",8.7,1.1,1.4,12.9,0.548,0.137,0.768,0
Sidney Green,"1990",8.1,1.4,1.0,10.4,0.501,0.044,0.22,0
Bob Hansen,"1990",2.8,1.8,0.8,7.6,0.517,0.062,0.671,0
Bill Hanzlik,"1990",2.6,2.3,1.3,6.2,0.525,0.086,0.524,0
Tim Hardaway,"1990",3.9,8.7,2.2,14.7,0.525,0.06,0.451,0
Derek Harper,"1990",3.0,7.4,2.6,18.0,0.567,0.158,0.573,0
Hersey Hawkins,"1990",3.7,3.2,1.9,18.5,0.57,0.135,0.646,0
Rod Higgins,"1990",5.1,1.6,1.2,11.1,0.6,0.121,0.451,0
Dennis Hopson,"1990",3.5,1.9,1.9,15.8,0.503,0.059,0.207,0
Jeff Hornacek,"1990",4.7,5.0,2.0,17.6,0.596,0.182,0.659,0
Jay Humphries,"1990",3.3,5.8,2.1,15.3,0.547,0.13,0.537,0
Mark Jackson,"1990",3.9,7.4,1.4,9.9,0.492,0.074,0.549,0
Buck Johnson,"1990",4.6,3.1,2.0,14.8,0.534,0.104,0.5,0
Dennis Johnson,"1990",2.7,6.5,1.3,7.1,0.495,0.089,0.634,0
Eddie Johnson,"1990",3.8,1.7,0.7,16.9,0.542,0.104,0.659,0
Kevin Johnson,"1990",3.6,11.4,1.5,22.5,0.585,0.2,0.659,1
Magic Johnson,"1990",6.6,11.5,2.1,22.3,0.622,0.27,0.768,1
Vinnie Johnson,"1990",3.1,3.1,1.0,9.8,0.467,0.079,0.72,0
Charles Jones,"1990",6.2,1.7,3.0,3.2,0.554,0.082,0.378,0
Michael Jordan,"1990",6.9,6.3,3.4,33.6,0.606,0.285,0.671,1
Steve Kerr,"1990",1.3,3.2,0.7,6.7,0.56,0.093,0.512,0
Jerome Kersey,"1990",8.4,2.3,2.2,16.0,0.521,0.148,0.72,0
Bernard King,"1990",4.9,4.6,0.7,22.4,0.545,0.099,0.378,0
Stacey King,"1990",4.7,1.1,1.2,8.9,0.562,0.098,0.671,0
Greg Kite,"1990",5.3,1.1,1.2,3.2,0.446,0.026,0.28,0
Bill Laimbeer,"1990",9.6,2.1,1.7,12.1,0.564,0.182,0.72,0
Fat Lever,"1990",9.3,6.5,2.3,18.3,0.504,0.149,0.524,1
Cliff Levingston,"1990",4.3,1.1,1.3,6.9,0.54,0.096,0.5,0
Reggie Lewis,"1990",4.4,2.8,1.9,17.0,0.545,0.128,0.634,0
Grant Long,"1990",5.0,1.2,1.6,8.5,0.538,0.07,0.22,0
Sidney Lowe,"1990",2.0,4.2,1.0,2.3,0.37,0.04,0.268,0
Rick Mahorn,"1990",7.6,1.3,2.0,10.8,0.546,0.113,0.646,0
Dan Majerle,"1990",5.9,2.6,1.8,11.1,0.498,0.118,0.659,0
Jeff Malone,"1990",2.7,3.2,0.7,24.3,0.529,0.098,0.378,0
Karl Malone,"1990",11.1,2.8,2.1,31.0,0.626,0.245,0.671,1
Moses Malone,"1990",10.0,1.6,1.6,18.9,0.564,0.134,0.5,0
Danny Manning,"1990",5.9,2.6,1.8,16.3,0.584,0.112,0.366,0
Sarunas Marciulionis,"1990",2.9,1.6,1.3,12.1,0.616,0.107,0.451,0
Rodney McCray,"1990",8.2,4.6,1.6,16.6,0.568,0.118,0.28,0
Xavier McDaniel,"1990",6.5,2.5,1.6,21.3,0.533,0.106,0.5,0
Kevin McHale,"1990",8.3,2.1,2.3,20.9,0.623,0.195,0.634,1
Derrick McKey,"1990",6.1,2.3,2.1,15.7,0.557,0.11,0.5,0
Nate McMillan,"1990",4.9,7.3,2.2,6.4,0.517,0.101,0.5,0
Reggie Miller,"1990",3.6,3.8,1.6,24.6,0.645,0.182,0.512,1
Sam Mitchell,"1990",5.8,1.1,1.5,12.7,0.512,0.102,0.268,0
Chris Morris,"1990",5.3,1.8,2.6,14.8,0.493,0.062,0.207,0
Chris Mullin,"1990",5.9,4.1,2.2,25.1,0.643,0.174,0.451,1
Tod Murphy,"1990",6.9,1.3,1.7,8.3,0.53,0.117,0.268,0
Larry Nance,"1990",8.3,2.6,2.8,16.3,0.554,0.152,0.512,0
Johnny Newman,"1990",2.4,2.3,1.5,12.9,0.562,0.095,0.549,0
Ken Norman,"1990",6.7,2.3,2.0,16.1,0.534,0.061,0.366,0
Charles Oakley,"1990",11.9,2.4,1.3,14.6,0.58,0.131,0.549,0
Hakeem Olajuwon,"1990",14.0,2.9,6.7,24.3,0.541,0.173,0.5,1
Robert Parish,"1990",10.1,1.3,1.4,15.7,0.616,0.157,0.634,1
John Paxson,"1990",1.5,4.1,1.1,10.0,0.555,0.097,0.671,0
Sam Perkins,"1990",7.5,2.3,2.0,15.9,0.564,0.146,0.573,0
Chuck Person,"1990",5.8,3.0,0.9,19.7,0.557,0.096,0.512,0
Ricky Pierce,"1990",2.8,2.3,1.0,23.0,0.592,0.163,0.537,0
Scottie Pippen,"1990",6.7,5.4,3.8,16.5,0.528,0.087,0.671,1
Terry Porter,"1990",3.4,9.1,1.9,17.6,0.597,0.202,0.72,0
Paul Pressey,"1990",3.0,4.3,1.6,11.0,0.533,0.102,0.537,0
Harold Pressley,"1990",4.3,2.1,1.3,8.8,0.506,0.069,0.28,0
Mark Price,"1990",3.4,9.1,1.6,19.6,0.589,0.179,0.512,0
Blair Rasmussen,"1990",7.3,1.0,1.8,12.4,0.525,0.125,0.524,0
Jerry Reynolds,"1990",4.8,2.7,2.3,12.8,0.486,0.035,0.22,0
Glen Rice,"1990",4.6,1.8,1.2,13.6,0.466,0.029,0.22,0
Pooh Richardson,"1990",2.6,6.8,1.9,11.4,0.482,0.082,0.268,0
Mitch Richmond,"1990",4.6,2.9,1.6,22.1,0.576,0.09,0.451,0
Doc Rivers,"1990",4.2,5.5,2.9,12.5,0.539,0.126,0.5,0
Fred Roberts,"1990",3.8,1.8,1.0,10.5,0.553,0.075,0.537,0
Alvin Robertson,"1990",6.9,5.5,2.8,14.2,0.542,0.138,0.537,0
Clifford Robinson,"1990",3.8,0.9,1.3,9.1,0.433,0.01,0.72,0
David Robinson,"1990",12.0,2.0,5.6,24.3,0.597,0.241,0.683,1
Dennis Rodman,"1990",9.7,0.9,1.4,8.8,0.608,0.189,0.72,1
John Salley,"1990",5.4,0.8,2.5,7.2,0.575,0.152,0.72,0
Mike Sanders,"1990",2.8,1.1,0.8,6.2,0.498,0.031,0.512,0
Danny Schayes,"1990",6.5,1.2,1.6,10.4,0.617,0.183,0.524,0
Detlef Schrempf,"1990",7.9,3.2,1.0,16.2,0.611,0.151,0.512,0
Byron Scott,"1990",3.1,3.6,1.4,15.5,0.546,0.111,0.768,0
Rony Seikaly,"1990",10.4,1.1,2.7,16.6,0.53,0.063,0.22,0
Charles Shackleford,"1990",6.8,0.8,1.1,8.2,0.489,0.046,0.207,0
Purvis Short,"1990",3.0,1.8,1.0,13.1,0.508,0.071,0.207,0
Jack Sikma,"1990",6.9,3.2,1.7,13.9,0.524,0.107,0.537,0
Scott Skiles,"1990",2.3,4.8,0.6,7.7,0.519,0.065,0.22,0
Charles Smith,"1990",6.7,1.5,2.6,21.1,0.589,0.165,0.366,0
Otis Smith,"1990",4.6,2.3,2.0,13.5,0.543,0.097,0.22,0
Rik Smits,"1990",6.2,1.7,2.6,15.5,0.579,0.132,0.512,0
Rory Sparrow,"1990",1.7,3.6,0.6,5.9,0.448,0.019,0.22,0
John Stockton,"1990",2.6,14.5,2.9,17.2,0.607,0.238,0.671,1
Roy Tarpley,"1990",13.1,1.5,3.3,16.8,0.491,0.103,0.573,0
Terry Teagle,"1990",4.5,1.9,1.3,16.1,0.529,0.054,0.451,0
Reggie Theus,"1990",2.9,5.4,0.9,18.9,0.524,0.052,0.22,0
Isiah Thomas,"1990",3.8,9.4,2.0,18.4,0.501,0.107,0.72,1
Billy Thompson,"1990",7.0,2.1,1.8,11.0,0.536,0.081,0.22,0
LaSalle Thompson,"1990",7.7,1.3,1.7,6.8,0.523,0.055,0.512,0
Mychal Thompson,"1990",6.8,0.6,1.5,10.1,0.542,0.119,0.768,0
Otis Thorpe,"1990",9.0,3.2,1.1,17.1,0.587,0.138,0.5,0
Sedale Threatt,"1990",1.8,3.3,1.1,11.4,0.557,0.149,0.5,0
Wayman Tisdale,"1990",7.5,1.4,1.4,22.3,0.565,0.114,0.28,0
Trent Tucker,"1990",2.1,2.1,1.0,8.2,0.518,0.091,0.549,0
Sam Vincent,"1990",3.1,5.6,1.3,11.2,0.536,0.07,0.22,0
Darrell Walker,"1990",8.8,8.0,2.1,9.5,0.492,0.105,0.378,0
Kenny Walker,"1990",5.0,0.7,1.3,7.9,0.581,0.121,0.549,0
Spud Webb,"1990",2.5,5.8,1.4,9.2,0.538,0.099,0.5,0
Mark West,"1990",8.9,0.5,2.7,10.5,0.656,0.163,0.659,0
Mitchell Wiggins,"1990",4.3,1.6,1.3,15.5,0.535,0.139,0.5,0
Dominique Wilkins,"1990",6.5,2.5,2.2,26.7,0.556,0.184,0.5,1
Gerald Wilkins,"1990",4.5,4.0,1.4,14.5,0.52,0.082,0.549,0
Buck Williams,"1990",9.8,1.4,1.3,13.6,0.597,0.149,0.72,0
Herb Williams,"1990",4.8,1.5,1.9,8.6,0.476,0.048,0.573,0
Hot Rod Williams,"1990",8.1,2.0,3.1,16.8,0.546,0.15,0.512,0
Kevin Willis,"1990",8.0,0.7,1.4,12.4,0.551,0.098,0.5,0
David Wingate,"1990",2.5,2.7,1.4,6.8,0.488,0.05,0.683,0
Orlando Woolridge,"1990",3.0,1.5,1.4,12.7,0.601,0.161,0.768,0
James Worthy,"1990",6.0,3.6,1.9,21.1,0.586,0.172,0.768,1
Mahmoud Abdul-Rauf,"1991",1.8,3.1,0.9,14.1,0.448,-0.031,0.244,0
Michael Adams,"1991",3.9,10.5,2.3,26.5,0.53,0.128,0.244,0
Mark Aguirre,"1991",4.8,1.8,0.9,14.2,0.526,0.132,0.61,0
Danny Ainge,"1991",2.6,3.6,1.0,11.1,0.574,0.175,0.768,0
Nick Anderson,"1991",5.5,1.5,1.7,14.1,0.51,0.075,0.378,0
Ron Anderson,"1991",4.5,1.4,1.0,14.6,0.524,0.085,0.537,0
Willie Anderson,"1991",4.7,4.8,1.7,14.4,0.499,0.089,0.671,0
B.J. Armstrong,"1991",1.8,3.7,0.9,8.8,0.529,0.114,0.744,0
Thurl Bailey,"1991",5.0,1.5,1.8,12.4,0.513,0.072,0.659,0
Charles Barkley,"1991",10.1,4.2,2.1,27.6,0.635,0.258,0.537,1
John Battle,"1991",2.0,2.7,0.6,13.6,0.538,0.102,0.524,0
Larry Bird,"1991",8.5,7.2,2.8,19.4,0.53,0.14,0.683,1
Rolando Blackman,"1991",3.2,3.8,1.1,19.9,0.545,0.089,0.341,0
Mookie Blaylock,"1991",3.5,6.1,2.9,14.1,0.455,0.04,0.317,0
Manute Bol,"1991",4.3,0.2,3.2,1.9,0.426,0.042,0.537,0
Sam Bowie,"1991",7.7,2.4,2.1,12.9,0.486,0.066,0.317,0
Randy Breuer,"1991",4.7,1.0,1.6,5.9,0.457,0.031,0.354,0
Frank Brickowski,"1991",5.7,1.7,1.7,12.6,0.578,0.119,0.585,0
Chucky Brown,"1991",2.9,1.1,0.7,8.5,0.555,0.052,0.402,0
Dee Brown,"1991",2.2,4.2,1.2,8.7,0.523,0.087,0.683,0
Willie Burton,"1991",3.4,1.4,1.3,12.0,0.507,0.052,0.293,0
Michael Cage,"1991",6.8,1.1,1.7,6.4,0.528,0.097,0.5,0
Tony Campbell,"1991",4.5,2.8,2.2,21.8,0.494,0.062,0.354,0
Antoine Carr,"1991",5.5,2.5,1.9,20.1,0.554,0.103,0.305,0
Bill Cartwright,"1991",6.2,1.6,0.6,9.6,0.522,0.089,0.744,0
Terry Catledge,"1991",7.0,1.1,0.8,14.6,0.5,0.051,0.378,0
Duane Causwell,"1991",5.1,0.9,2.6,6.9,0.541,0.079,0.305,0
Tom Chambers,"1991",6.4,2.6,1.5,19.9,0.513,0.105,0.671,1
Maurice Cheeks,"1991",2.3,5.7,1.8,7.8,0.548,0.117,0.476,0
Derrick Coleman,"1991",10.3,2.2,2.3,18.4,0.527,0.108,0.317,0
Tyrone Corbin,"1991",7.2,4.2,2.6,18.0,0.499,0.081,0.354,0
Terry Cummings,"1991",7.8,2.3,1.4,17.6,0.514,0.122,0.671,0
Brad Daugherty,"1991",10.9,3.3,1.6,21.6,0.583,0.147,0.402,1
Vlade Divac,"1991",8.1,1.1,2.8,11.2,0.606,0.173,0.707,0
James Donaldson,"1991",8.9,0.8,1.5,10.0,0.572,0.074,0.341,0
Sherman Douglas,"1991",2.9,8.5,1.7,18.5,0.546,0.1,0.293,0
Clyde Drexler,"1991",6.7,6.0,2.5,21.5,0.563,0.209,0.768,1
Kevin Duckworth,"1991",6.6,1.1,0.8,15.8,0.525,0.082,0.768,1
Chris Dudley,"1991",8.4,0.6,3.1,7.1,0.439,0.068,0.317,0
Joe Dumars,"1991",2.3,5.5,1.2,20.4,0.552,0.155,0.61,1
Ledell Eackles,"1991",1.9,2.0,0.9,13.0,0.505,0.035,0.366,0
Mark Eaton,"1991",8.3,0.6,2.8,5.1,0.599,0.103,0.659,0
Blue Edwards,"1991",3.2,1.7,1.4,9.3,0.559,0.065,0.659,0
James Edwards,"1991",3.8,0.9,0.6,13.6,0.533,0.088,0.61,0
Kevin Edwards,"1991",2.6,3.0,2.2,12.1,0.468,0.039,0.293,0
Craig Ehlo,"1991",4.7,4.6,1.9,10.1,0.498,0.058,0.402,0
Sean Elliott,"1991",5.6,2.9,1.2,15.9,0.564,0.138,0.671,0
Pervis Ellison,"1991",7.7,1.3,2.7,10.4,0.542,0.1,0.366,0
A.J. English,"1991",2.1,2.5,0.6,8.8,0.48,0.008,0.366,0
Alex English,"1991",3.2,1.3,0.8,9.7,0.48,0.017,0.341,0
Patrick Ewing,"1991",11.2,3.0,4.2,26.6,0.561,0.155,0.476,1
Danny Ferry,"1991",3.5,1.8,0.8,8.6,0.491,0.028,0.402,0
Vern Fleming,"1991",3.1,5.3,1.3,12.7,0.571,0.109,0.5,0
Sleepy Floyd,"1991",1.9,3.9,1.4,12.3,0.48,0.096,0.634,0
Kevin Gamble,"1991",3.3,3.1,1.6,15.6,0.62,0.147,0.683,0
Winston Garland,"1991",2.9,4.6,1.6,8.2,0.48,0.069,0.378,0
Gary Grant,"1991",3.1,8.6,1.7,8.7,0.476,0.038,0.378,0
Harvey Grant,"1991",7.2,2.6,2.0,18.2,0.527,0.112,0.366,0
Horace Grant,"1991",8.4,2.3,2.1,12.8,0.585,0.188,0.744,0
A.C. Green,"1991",6.3,0.9,1.0,9.1,0.556,0.135,0.707,0
Rickey Green,"1991",1.7,5.2,0.8,10.0,0.506,0.07,0.537,0
Tim Hardaway,"1991",4.0,9.7,2.8,22.9,0.547,0.148,0.537,1
Derek Harper,"1991",3.0,7.1,2.1,19.7,0.543,0.127,0.341,0
Hersey Hawkins,"1991",3.9,3.7,2.7,22.1,0.592,0.151,0.537,1
Rod Higgins,"1991",4.3,1.4,1.1,9.5,0.589,0.127,0.537,0
Jeff Hornacek,"1991",4.0,5.1,1.6,16.9,0.587,0.171,0.671,0
Jay Humphries,"1991",2.8,6.7,1.7,15.2,0.57,0.152,0.585,0
Mark Jackson,"1991",2.7,6.3,1.0,8.8,0.545,0.126,0.476,0
Buck Johnson,"1991",4.5,1.9,1.8,13.6,0.512,0.097,0.634,0
Kevin Johnson,"1991",3.5,10.1,2.3,22.2,0.604,0.22,0.671,1
Magic Johnson,"1991",7.0,12.5,1.5,19.4,0.623,0.251,0.707,1
Vinnie Johnson,"1991",3.4,3.3,1.1,11.7,0.466,0.077,0.61,0
Charles Jones,"1991",5.8,0.8,2.8,2.6,0.558,0.092,0.366,0
Michael Jordan,"1991",6.0,5.5,3.7,31.5,0.605,0.321,0.744,1
Shawn Kemp,"1991",8.4,1.8,2.5,15.0,0.551,0.121,0.5,0
Jerome Kersey,"1991",6.6,3.1,2.4,14.8,0.526,0.136,0.768,0
Bernard King,"1991",5.0,4.6,1.1,28.4,0.527,0.07,0.366,1
Greg Kite,"1991",7.2,0.7,1.3,4.8,0.504,0.043,0.378,0
Jon Koncak,"1991",4.9,1.6,1.9,4.1,0.454,0.062,0.524,0
Bill Laimbeer,"1991",9.0,1.9,1.1,11.0,0.536,0.144,0.61,0
Jerome Lane,"1991",9.3,2.0,1.0,7.5,0.443,0.021,0.244,0
Jim Les,"1991",2.0,5.4,1.1,7.2,0.63,0.125,0.305,0
Reggie Lewis,"1991",5.2,2.5,2.3,18.7,0.54,0.124,0.683,0
Alton Lister,"1991",6.3,1.2,1.4,6.4,0.509,0.058,0.537,0
Grant Long,"1991",7.1,2.2,2.0,9.2,0.554,0.095,0.293,0
Rick Mahorn,"1991",7.8,1.5,1.7,8.9,0.535,0.086,0.537,0
Dan Majerle,"1991",5.4,2.8,1.9,13.6,0.552,0.152,0.671,0
Jeff Malone,"1991",3.0,2.1,0.8,18.6,0.56,0.1,0.659,0
Karl Malone,"1991",11.8,3.3,2.0,29.0,0.596,0.225,0.659,1
Moses Malone,"1991",8.1,0.8,1.3,10.6,0.57,0.14,0.524,0
Danny Manning,"1991",5.8,2.7,2.5,15.9,0.557,0.113,0.378,0
Vernon Maxwell,"1991",2.9,3.7,1.7,17.0,0.507,0.099,0.634,0
Travis Mays,"1991",2.8,4.0,1.4,14.3,0.526,0.047,0.305,0
Rodney McCray,"1991",7.6,3.5,1.6,11.4,0.551,0.1,0.341,0
Kevin McHale,"1991",7.1,1.9,2.5,18.4,0.606,0.182,0.683,1
Derrick McKey,"1991",5.8,2.3,2.0,15.3,0.575,0.123,0.5,0
Reggie Miller,"1991",3.4,4.0,1.5,22.6,0.65,0.202,0.5,0
Sam Mitchell,"1991",6.3,1.6,1.5,14.6,0.505,0.078,0.354,0
Chris Morris,"1991",6.6,2.8,3.0,13.2,0.487,0.085,0.317,0
Chris Mullin,"1991",5.4,4.0,2.9,25.7,0.618,0.176,0.537,1
Tod Murphy,"1991",4.9,1.2,0.9,4.8,0.459,0.062,0.354,0
Larry Nance,"1991",8.6,3.0,3.3,19.2,0.567,0.16,0.402,0
Ken Norman,"1991",7.1,2.3,1.8,17.4,0.526,0.1,0.378,0
Charles Oakley,"1991",12.1,2.7,1.0,11.2,0.585,0.109,0.476,0
Hakeem Olajuwon,"1991",13.8,2.3,6.1,21.2,0.549,0.201,0.634,1
Robert Parish,"1991",10.6,0.8,2.1,14.9,0.637,0.198,0.683,1
John Paxson,"1991",1.1,3.6,0.8,8.7,0.596,0.14,0.744,0
Gary Payton,"1991",3.0,6.4,2.2,7.2,0.476,0.073,0.5,0
Sam Perkins,"1991",7.4,1.5,1.9,13.5,0.567,0.153,0.707,0
Chuck Person,"1991",5.2,3.0,0.9,18.4,0.553,0.073,0.5,0
Scottie Pippen,"1991",7.3,6.2,3.5,17.8,0.561,0.179,0.744,0
Terry Porter,"1991",3.5,8.0,2.1,17.0,0.632,0.235,0.768,1
Paul Pressey,"1991",2.5,3.9,1.4,7.5,0.545,0.09,0.671,0
Blair Rasmussen,"1991",9.7,1.0,2.6,12.5,0.473,0.036,0.244,0
Jerry Reynolds,"1991",3.7,2.5,1.9,12.9,0.529,0.096,0.378,0
Glen Rice,"1991",4.9,2.5,1.6,17.4,0.522,0.08,0.293,0
Pooh Richardson,"1991",3.5,9.0,1.8,17.1,0.492,0.089,0.354,0
Mitch Richmond,"1991",5.9,3.1,2.1,23.9,0.565,0.113,0.537,0
Doc Rivers,"1991",3.2,4.3,2.5,15.2,0.527,0.116,0.524,0
Fred Roberts,"1991",3.4,1.6,1.1,10.8,0.583,0.096,0.585,0
Alvin Robertson,"1991",5.7,5.5,3.2,13.6,0.538,0.142,0.585,1
Clifford Robinson,"1991",4.3,1.8,1.9,11.7,0.507,0.104,0.768,0
David Robinson,"1991",13.0,2.5,5.5,25.6,0.615,0.264,0.671,1
Dennis Rodman,"1991",12.5,1.0,1.5,8.2,0.525,0.151,0.61,0
John Salley,"1991",4.4,0.9,2.2,7.4,0.556,0.139,0.61,0
Danny Schayes,"1991",6.5,1.2,1.4,10.6,0.587,0.147,0.585,0
Detlef Schrempf,"1991",8.0,3.7,1.0,16.1,0.618,0.165,0.5,0
Byron Scott,"1991",3.0,2.2,1.4,14.5,0.534,0.12,0.707,0
Dennis Scott,"1991",2.9,1.6,1.1,15.7,0.504,0.054,0.378,0
Rony Seikaly,"1991",11.1,1.5,2.1,16.4,0.522,0.067,0.293,0
Brian Shaw,"1991",4.7,7.6,1.8,13.8,0.519,0.102,0.683,0
Jack Sikma,"1991",5.7,1.9,1.7,10.4,0.516,0.088,0.585,0
Lionel Simmons,"1991",8.8,4.0,2.5,18.0,0.476,0.044,0.305,0
Scott Skiles,"1991",3.4,8.4,1.2,17.2,0.563,0.124,0.378,0
Charles Smith,"1991",8.2,1.8,3.1,20.0,0.536,0.131,0.378,0
Kenny Smith,"1991",2.1,7.1,1.5,17.7,0.599,0.161,0.634,0
Larry Smith,"1991",8.8,1.1,1.3,3.3,0.47,0.109,0.634,0
Otis Smith,"1991",5.2,2.3,1.6,13.9,0.505,0.09,0.378,0
Rik Smits,"1991",4.7,1.1,1.8,10.9,0.525,0.081,0.5,0
Rory Sparrow,"1991",2.3,4.5,1.2,10.4,0.524,0.057,0.305,0
Felton Spencer,"1991",7.9,0.3,2.1,7.1,0.581,0.128,0.354,0
John Stockton,"1991",2.9,14.2,3.0,17.2,0.604,0.217,0.659,1
Rod Strickland,"1991",3.8,8.0,2.2,13.8,0.538,0.132,0.671,0
Reggie Theus,"1991",2.8,4.7,1.5,18.6,0.54,0.076,0.317,0
Isiah Thomas,"1991",3.3,9.3,1.8,16.2,0.507,0.098,0.61,1
Billy Thompson,"1991",4.3,1.5,1.1,6.8,0.536,0.054,0.293,0
LaSalle Thompson,"1991",6.9,1.8,1.5,7.6,0.512,0.03,0.5,0
Otis Thorpe,"1991",10.3,2.4,1.1,17.5,0.598,0.164,0.634,0
Sedale Threatt,"1991",1.2,3.4,1.5,12.7,0.556,0.106,0.5,0
Tom Tolbert,"1991",4.4,1.2,1.2,8.1,0.491,0.045,0.537,0
Andre Turner,"1991",2.2,4.4,0.9,5.9,0.489,0.064,0.537,0
Jeff Turner,"1991",5.1,1.4,0.5,8.6,0.524,0.034,0.378,0
Darnell Valentine,"1991",2.6,5.4,1.7,9.4,0.533,0.082,0.402,0
Kiki Vandeweghe,"1991",2.4,1.5,0.7,16.3,0.582,0.112,0.476,0
Darrell Walker,"1991",7.0,6.5,1.6,7.8,0.459,0.061,0.366,0
Spud Webb,"1991",2.3,5.6,1.7,13.4,0.545,0.118,0.524,0
Mark West,"1991",6.9,0.5,2.4,7.7,0.665,0.16,0.671,0
Randy White,"1991",6.4,0.8,1.6,8.8,0.455,0.018,0.341,0
Dominique Wilkins,"1991",9.0,3.3,2.3,25.9,0.555,0.177,0.524,1
Gerald Wilkins,"1991",3.0,4.0,1.5,13.8,0.524,0.066,0.476,0
Buck Williams,"1991",9.4,1.2,1.2,11.7,0.639,0.158,0.768,0
Herb Williams,"1991",6.0,1.6,2.0,12.5,0.524,0.045,0.341,0
Micheal Williams,"1991",2.4,4.8,2.3,11.1,0.608,0.161,0.5,0
Kevin Willis,"1991",8.8,1.2,1.3,13.1,0.533,0.089,0.524,0
Joe Wolf,"1991",5.4,1.4,1.2,7.3,0.485,0.021,0.244,0
Orlando Woolridge,"1991",6.8,2.2,1.7,25.1,0.565,0.102,0.244,0
Haywoode Workman,"1991",3.3,4.8,1.3,8.0,0.507,0.058,0.366,0
James Worthy,"1991",4.6,3.5,1.8,21.4,0.531,0.143,0.707,1
Mahmoud Abdul-Rauf,"1992",1.4,2.4,0.6,10.3,0.469,0.018,0.293,0
Michael Adams,"1992",4.0,7.6,2.0,18.1,0.506,0.09,0.305,1
Mark Aguirre,"1992",3.1,1.7,0.8,11.3,0.479,0.066,0.585,0
Danny Ainge,"1992",1.8,2.5,1.1,9.7,0.534,0.155,0.695,0
Greg Anderson,"1992",11.5,1.0,1.9,11.5,0.486,0.052,0.293,0
Nick Anderson,"1992",6.4,2.7,2.2,19.9,0.509,0.078,0.256,0
Ron Anderson,"1992",3.4,1.6,1.2,13.7,0.52,0.07,0.427,0
Willie Anderson,"1992",5.3,5.3,1.8,13.1,0.499,0.083,0.573,0
Greg Anthony,"1992",1.7,3.8,0.8,5.5,0.443,0.07,0.622,0
B.J. Armstrong,"1992",1.8,3.2,0.6,9.9,0.537,0.117,0.817,0
Stacey Augmon,"1992",5.1,2.5,1.8,13.3,0.526,0.071,0.463,0
John Bagley,"1992",2.2,6.6,0.8,7.2,0.478,0.053,0.622,0
Charles Barkley,"1992",11.1,4.1,2.4,23.1,0.612,0.205,0.427,1
John Battle,"1992",1.5,2.1,0.5,10.3,0.53,0.059,0.695,0
Benoit Benjamin,"1992",8.1,1.2,2.5,14.0,0.517,0.054,0.573,0
Larry Bird,"1992",9.6,6.8,1.7,20.2,0.547,0.159,0.622,1
Rolando Blackman,"1992",3.2,2.7,1.0,18.3,0.538,0.072,0.268,0
Mookie Blaylock,"1992",3.7,6.8,2.9,13.8,0.465,0.092,0.488,0
Anthony Bonner,"1992",6.1,1.6,1.5,9.4,0.484,0.035,0.354,0
Anthony Bowie,"1992",4.7,3.1,1.8,14.6,0.547,0.082,0.256,0
Sam Bowie,"1992",8.1,2.6,2.3,15.0,0.496,0.101,0.488,0
Terrell Brandon,"1992",2.0,3.9,1.3,7.4,0.461,0.028,0.695,0
Frank Brickowski,"1992",5.3,1.9,1.3,11.4,0.564,0.105,0.378,0
Mike Brown,"1992",5.8,1.0,0.9,7.7,0.515,0.1,0.671,0
Willie Burton,"1992",3.6,1.8,1.2,11.2,0.522,0.062,0.463,0
Michael Cage,"1992",8.9,1.1,1.9,8.8,0.583,0.148,0.573,0
Elden Campbell,"1992",5.2,0.7,2.6,7.1,0.491,0.085,0.524,0
Tony Campbell,"1992",3.7,2.9,1.5,16.8,0.515,0.048,0.183,0
Antoine Carr,"1992",4.3,0.8,1.6,10.9,0.534,0.102,0.573,0
Bill Cartwright,"1992",5.1,1.4,0.6,8.0,0.497,0.082,0.817,0
Terry Catledge,"1992",7.0,1.4,0.9,14.8,0.537,0.091,0.256,0
Duane Causwell,"1992",7.3,0.7,3.3,8.0,0.575,0.081,0.354,0
Tom Chambers,"1992",5.8,2.1,1.4,16.3,0.501,0.109,0.646,0
Derrick Coleman,"1992",9.5,3.2,2.3,19.8,0.57,0.121,0.488,0
Bimbo Coles,"1992",2.3,4.5,1.1,10.1,0.534,0.073,0.463,0
Terry Cummings,"1992",9.0,1.5,1.3,17.3,0.52,0.145,0.573,0
Brad Daugherty,"1992",10.4,3.6,2.0,21.5,0.629,0.213,0.695,1
Dale Davis,"1992",6.4,0.5,1.6,6.2,0.571,0.126,0.488,0
Terry Davis,"1992",9.9,0.8,0.8,10.2,0.528,0.069,0.268,0
Johnny Dawkins,"1992",2.8,6.9,1.1,12.0,0.502,0.061,0.427,0
Clyde Drexler,"1992",6.6,6.7,2.7,25.0,0.56,0.223,0.695,1
Kevin Duckworth,"1992",6.1,1.2,0.9,10.7,0.497,0.071,0.695,0
Chris Dudley,"1992",9.0,0.7,2.6,5.6,0.42,0.085,0.488,0
Joe Dumars,"1992",2.3,4.6,1.0,19.9,0.538,0.123,0.585,1
Ledell Eackles,"1992",2.7,1.9,0.8,13.2,0.509,0.065,0.305,0
Mark Eaton,"1992",6.1,0.5,3.0,3.3,0.478,0.091,0.671,0
