"Player","Year","RPG","APG","SBPG","PPG","TS","WS48","Perc","allLeague"
Allen Leavell,"1980",2.4,5.4,2.0,10.9,0.56,0.091,0.5,0
John Long,"1980",4.9,3.0,2.2,19.4,0.535,0.072,0.195,0
John Lucas,"1980",2.8,7.5,1.8,12.6,0.528,0.103,0.293,0
Moses Malone,"1980",14.5,1.8,2.3,25.8,0.56,0.183,0.5,1
Cedric Maxwell,"1980",8.8,2.5,1.7,16.9,0.679,0.214,0.744,0
Scott May,"1980",4.0,1.9,0.9,12.4,0.507,0.09,0.366,0
Bob McAdoo,"1980",8.1,3.4,2.4,21.1,0.524,0.047,0.195,0
Tom McMillen,"1980",4.2,1.2,0.9,8.7,0.54,0.128,0.61,0
Joe Meriweather,"1980",5.4,1.0,2.4,9.0,0.549,0.068,0.476,0
Dave Meyers,"1980",5.7,2.8,1.4,12.1,0.509,0.084,0.598,0
Mike Mitchell,"1980",7.2,1.1,1.8,22.2,0.557,0.142,0.451,0
Steve Mix,"1980",3.6,1.8,0.9,11.6,0.577,0.172,0.72,0
Sidney Moncrief,"1980",4.4,1.7,1.1,8.5,0.564,0.15,0.598,0
Calvin Murphy,"1980",2.0,3.9,2.0,20.0,0.543,0.129,0.5,0
Swen Nater,"1980",15.0,2.9,1.0,13.4,0.589,0.115,0.427,0
Mike Newlin,"1980",3.4,4.0,1.5,20.9,0.54,0.124,0.415,0
Norm Nixon,"1980",2.8,7.8,2.0,17.6,0.548,0.1,0.732,0
Mark Olberding,"1980",5.6,4.4,1.2,10.6,0.546,0.071,0.5,0
Tom Owens,"1980",7.5,2.6,1.3,16.4,0.552,0.142,0.463,0
Robert Parish,"1980",10.9,1.7,2.4,17.0,0.541,0.104,0.293,0
Sonny Parker,"1980",5.7,3.1,2.5,14.7,0.537,0.114,0.293,0
Ben Poquette,"1980",6.8,1.6,2.5,8.9,0.572,0.099,0.293,0
Kevin Porter,"1980",1.2,6.5,1.0,7.3,0.514,0.057,0.476,0
Clifford Ray,"1980",5.8,2.3,1.0,6.0,0.546,0.054,0.293,0
Robert Reid,"1980",5.8,3.2,2.5,13.0,0.52,0.101,0.5,0
Kevin Restani,"1980",4.7,2.3,0.8,10.7,0.548,0.085,0.5,0
Micheal Ray Richardson,"1980",6.6,10.1,3.7,15.3,0.517,0.094,0.476,1
Rick Robey,"1980",6.5,1.1,0.8,11.5,0.557,0.139,0.744,0
Cliff Robinson,"1980",7.2,1.4,1.4,13.6,0.506,0.104,0.415,0
Truck Robinson,"1980",9.4,1.7,1.4,17.3,0.553,0.106,0.671,0
Bill Robinzine,"1980",6.5,0.8,1.6,11.4,0.548,0.137,0.573,0
Dave Robisch,"1980",8.0,2.3,1.3,15.3,0.578,0.154,0.451,0
John Roche,"1980",1.4,4.9,1.1,11.4,0.562,0.088,0.366,0
Tree Rollins,"1980",9.4,0.9,3.6,8.9,0.598,0.208,0.61,0
Dan Roundfield,"1980",10.3,2.3,3.0,16.5,0.551,0.169,0.61,1
Charlie Scott,"1980",2.4,3.6,1.0,9.3,0.432,-0.037,0.366,0
Lonnie Shelton,"1980",7.7,1.9,2.3,13.6,0.57,0.161,0.683,0
Purvis Short,"1980",5.1,2.0,1.2,17.0,0.534,0.109,0.293,0
Jack Sikma,"1980",11.1,3.4,1.8,14.3,0.526,0.148,0.683,1
James Silas,"1980",2.2,4.5,1.0,17.7,0.585,0.116,0.5,0
Paul Silas,"1980",5.3,0.8,0.4,3.8,0.439,0.066,0.683,0
Phil Smith,"1980",2.9,3.7,1.5,15.5,0.521,0.067,0.293,0
Randy Smith,"1980",3.1,4.4,1.6,17.6,0.497,0.075,0.451,0
Ricky Sobers,"1980",3.0,5.2,1.9,14.2,0.524,0.044,0.366,0
Brian Taylor,"1980",2.4,4.3,2.2,13.5,0.546,0.098,0.427,0
Reggie Theus,"1980",4.0,6.3,1.6,20.2,0.579,0.11,0.366,0
Rudy Tomjanovich,"1980",5.8,1.8,0.7,14.2,0.522,0.094,0.5,0
Dave Twardzik,"1980",2.3,4.1,1.2,8.5,0.562,0.11,0.463,0
Terry Tyler,"1980",7.6,1.6,4.0,12.3,0.499,0.062,0.195,0
Wes Unseld,"1980",13.3,4.5,1.5,9.7,0.545,0.135,0.476,0
Jan van Breda Kolff,"1980",5.2,3.0,2.1,6.8,0.533,0.078,0.415,0
Foots Walker,"1980",3.8,8.0,2.2,9.4,0.527,0.12,0.451,0
Kermit Washington,"1980",10.5,2.1,2.6,13.4,0.584,0.165,0.463,1
Scott Wedman,"1980",5.7,2.1,1.9,19.0,0.541,0.145,0.573,1
Paul Westphal,"1980",2.3,5.1,1.9,21.9,0.593,0.189,0.671,1
Jo Jo White,"1980",2.3,3.1,1.3,9.9,0.509,0.035,0.293,0
Sidney Wicks,"1980",5.8,3.0,1.8,7.1,0.447,-0.001,0.427,0
Bob Wilkerson,"1980",4.2,3.2,1.6,13.8,0.458,0.004,0.366,0
Jamaal Wilkes,"1980",6.4,3.0,1.9,20.0,0.563,0.154,0.732,0
Duck Williams,"1980",1.4,2.4,1.4,6.6,0.464,-0.009,0.293,0
Freeman Williams,"1980",2.3,2.0,1.0,18.6,0.527,0.092,0.427,0
Gus Williams,"1980",3.4,4.8,2.9,22.1,0.529,0.187,0.683,1
Ray Williams,"1980",5.0,6.2,2.3,20.9,0.546,0.152,0.476,0
Brian Winters,"1980",2.8,4.5,1.6,16.2,0.534,0.113,0.598,0
Kareem Abdul-Jabbar,"1981",10.3,3.4,3.6,26.2,0.616,0.23,0.659,1
