"Player","Year","Age","ORPG","DRPG","RPG","APG","SPG","BPG","TOPG","PPG","PER","TS","3PAr","FTr","OWS","DWS","WS","WS48","OBPM","DBPM","BPM","VORP","allstarFlag","allNBAFlag","Perc"
Scottie Pippen,"1994",28,2,6,8,5,2,0,3,22,23.2,0.544,0.154,0.32,5.2,6.0,11.2,0.194,4.5,3.2,7.7,6.8,1,1,0.671
Mark Price,"1994",29,0,2,3,7,1,0,2,17,22.7,0.586,0.296,0.267,7.6,2.4,10.0,0.201,6.3,0.1,6.4,5.0,1,1,0.573
Mitch Richmond,"1994",28,0,2,3,4,1,0,2,23,17.7,0.551,0.218,0.358,5.2,1.2,6.4,0.106,2.7,-1.1,1.6,2.7,1,1,0.341
David Robinson,"1994",28,3,7,10,4,1,3,3,29,30.7,0.577,0.017,0.558,13.3,6.7,20.0,0.296,8.1,3.8,11.9,11.4,1,1,0.671
Latrell Sprewell,"1994",23,0,3,4,4,2,0,2,20,15.9,0.532,0.276,0.322,4.7,3.2,8.0,0.108,1.6,0.3,1.9,3.5,1,1,0.61
Charles Barkley,"1995",31,2,8,11,4,1,0,2,22,25.2,0.572,0.192,0.444,7.4,3.3,10.6,0.214,5.6,0.7,6.3,5.0,1,1,0.72
Shawn Kemp,"1995",25,3,7,10,1,1,1,3,18,21.7,0.61,0.007,0.587,5.9,4.7,10.6,0.19,1.6,0.1,1.7,2.5,1,1,0.695
Reggie Miller,"1995",29,0,2,2,2,1,0,1,19,20.1,0.62,0.43,0.391,8.5,2.8,11.4,0.204,5.0,0.2,5.2,4.9,1,1,0.634
Shaquille O'Neal,"1995",22,4,7,11,2,0,2,2,29,28.6,0.588,0.003,0.536,9.6,4.4,14.0,0.23,5.6,0.2,5.8,5.7,1,1,0.695
Hakeem Olajuwon,"1995",32,2,8,10,3,1,3,3,27,26.0,0.563,0.01,0.348,5.1,5.6,10.7,0.181,2.8,2.6,5.4,5.4,1,1,0.573
Gary Payton,"1995",26,1,2,3,7,2,0,2,20,21.3,0.564,0.172,0.259,8.2,3.5,11.7,0.187,4.1,0.8,4.9,5.2,1,1,0.695
Scottie Pippen,"1995",29,2,5,8,5,2,1,3,21,22.6,0.559,0.239,0.333,5.1,6.7,11.8,0.188,4.4,3.0,7.5,7.2,1,1,0.573
Mitch Richmond,"1995",29,0,3,4,3,1,0,2,22,17.2,0.551,0.283,0.297,4.9,3.1,8.0,0.12,2.4,-0.3,2.1,3.2,1,1,0.476
David Robinson,"1995",29,2,7,10,2,1,3,2,27,29.1,0.602,0.013,0.57,10.7,6.7,17.5,0.273,6.0,3.2,9.2,8.7,1,1,0.756
Detlef Schrempf,"1995",32,1,4,6,3,1,0,2,19,20.3,0.641,0.182,0.523,9.8,3.1,12.9,0.215,4.3,0.1,4.4,4.7,1,1,0.695
Charles Barkley,"1996",32,3,8,11,3,1,0,3,23,24.8,0.585,0.151,0.488,7.0,3.5,10.5,0.191,5.0,0.6,5.7,5.1,1,1,0.5
Grant Hill,"1996",23,1,8,9,6,1,0,3,20,20.9,0.537,0.021,0.529,6.0,5.7,11.7,0.172,3.1,1.7,4.8,5.6,1,1,0.561
Juwan Howard,"1996",22,2,5,8,4,0,0,3,22,17.0,0.53,0.009,0.284,2.5,3.1,5.6,0.082,0.6,-1.0,-0.4,1.3,1,1,0.476
Michael Jordan,"1996",32,1,4,6,4,2,0,2,30,29.4,0.582,0.141,0.355,14.2,6.2,20.4,0.317,8.3,2.2,10.5,9.8,1,1,0.878
Shawn Kemp,"1996",26,3,7,11,2,1,1,3,19,22.6,0.631,0.013,0.709,5.2,6.1,11.2,0.205,1.5,1.3,2.8,3.2,1,1,0.78
Reggie Miller,"1996",30,0,2,2,3,1,0,2,21,20.1,0.625,0.385,0.467,8.3,2.0,10.3,0.188,5.1,-0.4,4.7,4.5,1,1,0.634
Shaquille O'Neal,"1996",23,3,7,11,2,0,2,2,26,26.4,0.57,0.002,0.495,3.9,3.0,6.9,0.171,3.5,0.2,3.7,2.8,1,1,0.732
Hakeem Olajuwon,"1996",33,2,8,10,3,1,2,3,26,25.5,0.558,0.009,0.367,4.5,5.2,9.7,0.166,2.8,2.0,4.9,4.9,1,1,0.585
Gary Payton,"1996",27,1,2,4,7,2,0,3,19,19.6,0.554,0.234,0.24,5.9,5.6,11.5,0.174,2.8,1.8,4.6,5.2,1,1,0.78
Scottie Pippen,"1996",30,1,4,6,5,1,0,2,19,21.0,0.551,0.33,0.266,7.0,5.3,12.3,0.209,4.6,1.7,6.3,5.9,1,1,0.878
Mitch Richmond,"1996",30,0,2,3,3,1,0,2,23,19.2,0.591,0.376,0.359,7.2,2.1,9.3,0.151,3.9,-0.4,3.5,4.1,1,1,0.476
David Robinson,"1996",30,3,8,12,3,1,3,2,25,29.4,0.589,0.007,0.597,11.1,7.2,18.3,0.29,5.8,3.1,8.9,8.3,1,1,0.72
Vin Baker,"1997",25,3,6,10,2,1,1,3,20,20.1,0.553,0.043,0.416,4.9,3.4,8.3,0.127,2.1,-0.1,2.0,3.2,1,1,0.402
Patrick Ewing,"1997",34,2,8,10,2,0,2,3,22,21.3,0.548,0.007,0.434,2.9,6.9,9.8,0.163,0.9,1.9,2.8,3.5,1,1,0.695
Tim Hardaway,"1997",30,0,2,3,8,1,0,2,20,20.8,0.532,0.426,0.263,7.9,5.0,12.9,0.198,5.2,1.0,6.2,6.5,1,1,0.744
Grant Hill,"1997",24,1,7,9,7,1,0,3,21,25.5,0.556,0.026,0.503,8.7,5.9,14.6,0.223,5.4,2.7,8.2,8.0,1,1,0.659
Michael Jordan,"1997",33,1,4,5,4,1,0,2,29,27.8,0.567,0.157,0.304,13.3,5.0,18.3,0.283,7.8,1.1,8.9,8.6,1,1,0.841
Shaquille O'Neal,"1997",24,3,8,12,3,0,2,2,26,27.1,0.556,0.004,0.483,4.1,3.9,8.0,0.197,4.7,1.8,6.5,4.1,1,1,0.683
Hakeem Olajuwon,"1997",34,2,6,9,3,1,2,3,23,22.7,0.558,0.011,0.313,3.5,5.6,9.1,0.154,1.5,2.0,3.5,4.0,1,1,0.695
Gary Payton,"1997",28,1,3,4,7,2,0,2,21,21.8,0.545,0.256,0.24,8.2,4.7,12.9,0.193,4.4,1.1,5.5,6.1,1,1,0.695
Scottie Pippen,"1997",31,1,4,6,5,1,0,2,20,21.3,0.554,0.31,0.213,7.8,5.2,13.1,0.203,4.3,1.4,5.7,6.1,1,1,0.841
Mitch Richmond,"1997",31,0,3,3,4,1,0,2,25,21.6,0.578,0.302,0.337,8.7,2.1,10.8,0.166,5.2,-0.6,4.6,5.2,1,1,0.415
Vin Baker,"1998",26,3,4,8,1,1,1,2,19,20.4,0.564,0.006,0.452,6.9,3.5,10.4,0.169,1.9,-0.9,1.0,2.2,1,1,0.744
Tim Duncan,"1998",21,3,8,11,2,0,2,3,21,22.6,0.577,0.008,0.375,5.6,7.2,12.8,0.192,2.5,2.1,4.6,5.4,1,1,0.683
Tim Hardaway,"1998",31,0,3,3,8,1,0,2,18,20.6,0.53,0.341,0.254,7.9,3.8,11.7,0.185,4.8,0.4,5.2,5.5,1,1,0.671
Grant Hill,"1998",25,1,6,7,6,1,0,3,21,21.2,0.52,0.015,0.475,5.2,5.1,10.2,0.149,3.3,1.5,4.7,5.6,1,1,0.451
Michael Jordan,"1998",34,1,4,5,3,1,0,2,28,25.2,0.533,0.067,0.381,10.4,5.4,15.8,0.238,5.9,1.0,6.9,7.1,1,1,0.756
Reggie Miller,"1998",32,0,2,2,2,0,0,1,19,19.8,0.619,0.353,0.407,9.2,2.8,12.0,0.206,4.8,0.1,4.8,4.8,1,1,0.707
Dikembe Mutombo,"1998",31,3,8,11,1,0,3,2,13,19.8,0.584,0.0,0.608,5.6,5.2,10.8,0.177,1.2,1.4,2.6,3.4,1,1,0.61
Shaquille O'Neal,"1998",25,3,7,11,2,0,2,2,28,28.8,0.587,0.0,0.594,6.7,3.4,10.2,0.224,5.7,0.2,5.8,4.3,1,1,0.744
Gary Payton,"1998",29,0,3,4,8,2,0,2,19,21.6,0.544,0.311,0.293,8.5,4.0,12.5,0.19,4.4,0.7,5.1,5.7,1,1,0.744
Mitch Richmond,"1998",32,0,2,3,3,1,0,2,23,20.4,0.569,0.274,0.386,6.6,1.3,7.9,0.148,4.4,-0.8,3.6,3.7,1,1,0.329
David Robinson,"1998",32,3,7,10,2,0,2,2,21,27.8,0.581,0.004,0.62,7.8,6.0,13.8,0.269,5.4,2.9,8.3,6.3,1,1,0.683
Kobe Bryant,"2000",21,1,4,6,4,1,0,2,22,21.7,0.546,0.122,0.341,6.1,4.5,10.6,0.202,3.5,1.6,5.1,4.5,1,1,0.817
Vince Carter,"2000",23,1,3,5,3,1,1,2,25,23.4,0.543,0.139,0.325,9.1,2.7,11.8,0.182,5.6,-0.1,5.5,5.9,1,1,0.549
Tim Duncan,"2000",23,3,8,12,3,0,2,3,23,24.8,0.555,0.009,0.471,6.7,6.4,13.0,0.218,3.8,1.8,5.6,5.5,1,1,0.646
Kevin Garnett,"2000",23,2,9,11,4,1,1,3,22,23.6,0.545,0.053,0.265,6.1,5.6,11.6,0.172,4.6,1.7,6.3,6.8,1,1,0.61
Grant Hill,"2000",27,1,5,6,5,1,0,3,25,24.5,0.565,0.069,0.425,8.1,2.6,10.7,0.185,5.4,0.1,5.4,5.2,1,1,0.512
Allen Iverson,"2000",24,1,2,3,4,2,0,3,28,20.0,0.496,0.151,0.358,3.3,3.6,6.9,0.116,3.4,-0.2,3.2,3.8,1,1,0.598
Jason Kidd,"2000",26,1,5,7,10,2,0,3,14,18.4,0.498,0.194,0.287,3.7,4.8,8.5,0.156,2.3,2.0,4.3,4.2,1,1,0.646
Alonzo Mourning,"2000",29,2,6,9,1,0,3,2,21,25.8,0.596,0.003,0.492,7.3,5.6,12.9,0.226,3.1,2.2,5.3,5.0,1,1,0.634
Shaquille O'Neal,"2000",27,4,9,13,3,0,3,2,29,30.6,0.578,0.001,0.495,11.7,7.0,18.6,0.283,7.3,2.0,9.3,9.0,1,1,0.817
Gary Payton,"2000",31,1,5,6,8,1,0,2,24,23.6,0.535,0.312,0.254,10.5,3.5,13.9,0.195,5.8,0.7,6.4,7.3,1,1,0.549
David Robinson,"2000",34,2,7,9,1,1,2,2,17,24.6,0.568,0.002,0.496,6.2,6.4,12.7,0.238,3.1,2.8,5.9,5.1,1,1,0.646
Chris Webber,"2000",26,2,7,10,4,1,1,2,24,23.4,0.53,0.061,0.267,5.7,5.0,10.7,0.179,3.6,2.1,5.7,5.6,1,1,0.537
Ray Allen,"2001",25,1,3,5,4,1,0,2,22,22.9,0.61,0.357,0.299,11.5,2.2,13.7,0.211,5.7,-0.3,5.5,5.9,1,1,0.634
Kobe Bryant,"2001",22,1,4,5,4,1,0,3,28,24.5,0.552,0.132,0.369,9.2,2.2,11.3,0.196,5.1,-0.3,4.8,4.7,1,1,0.683
Vince Carter,"2001",24,2,3,5,3,1,1,2,27,25.0,0.551,0.24,0.303,10.3,2.6,12.9,0.208,7.6,0.1,7.6,7.2,1,1,0.573
Tim Duncan,"2001",24,3,9,12,2,0,2,2,22,23.8,0.536,0.019,0.471,6.2,7.1,13.2,0.2,2.9,1.8,4.7,5.4,1,1,0.707
Kevin Garnett,"2001",24,2,8,11,4,1,1,2,22,23.9,0.531,0.045,0.317,7.0,4.8,11.8,0.176,4.5,1.4,6.0,6.4,1,1,0.573
Allen Iverson,"2001",25,0,3,3,4,2,0,3,31,24.0,0.518,0.169,0.397,7.3,4.5,11.8,0.19,5.0,1.1,6.1,6.1,1,1,0.683
Jason Kidd,"2001",27,1,5,6,9,2,0,3,16,19.4,0.51,0.211,0.367,4.2,5.4,9.6,0.15,2.4,1.7,4.2,4.8,1,1,0.622
Tracy McGrady,"2001",21,2,5,7,4,1,1,2,26,24.9,0.521,0.096,0.34,8.3,3.9,12.2,0.189,6.5,0.5,7.0,7.0,1,1,0.524
Shaquille O'Neal,"2001",28,3,8,12,3,0,2,2,28,30.2,0.574,0.001,0.684,11.1,3.9,14.9,0.245,7.0,0.7,7.7,7.1,1,1,0.683
Gary Payton,"2001",32,0,3,4,8,1,0,2,23,22.1,0.522,0.171,0.223,9.1,1.7,10.8,0.16,4.7,-0.7,4.0,4.9,1,1,0.537
David Robinson,"2001",35,2,6,8,1,1,2,1,14,23.7,0.559,0.001,0.571,6.4,5.7,12.1,0.246,2.5,2.7,5.2,4.3,1,1,0.707
Chris Webber,"2001",27,2,8,11,4,1,1,2,27,24.7,0.516,0.017,0.282,5.8,5.2,11.0,0.186,4.0,1.4,5.5,5.3,1,1,0.671
Kobe Bryant,"2002",23,1,4,5,5,1,0,2,25,23.2,0.544,0.083,0.369,8.9,3.8,12.7,0.199,4.3,0.3,4.6,5.2,1,1,0.707
Tim Duncan,"2002",25,3,9,12,3,0,2,3,25,27.0,0.576,0.007,0.466,10.7,7.1,17.8,0.257,5.4,2.2,7.6,8.0,1,1,0.707
Kevin Garnett,"2002",25,3,9,12,5,1,1,2,21,23.8,0.536,0.083,0.32,7.9,4.9,12.8,0.194,5.1,1.8,6.8,7.1,1,1,0.61
Allen Iverson,"2002",26,0,3,4,5,2,0,3,31,21.9,0.489,0.161,0.351,2.6,4.3,6.9,0.126,3.9,0.8,4.8,4.5,1,1,0.524
Jason Kidd,"2002",28,1,5,7,9,2,0,3,14,19.1,0.484,0.32,0.217,3.1,5.8,8.9,0.14,3.0,1.5,4.5,5.0,1,1,0.634
Tracy McGrady,"2002",22,1,5,7,5,1,0,2,25,25.1,0.532,0.178,0.35,8.1,3.4,11.5,0.189,6.4,0.4,6.8,6.4,1,1,0.537
Dikembe Mutombo,"2002",35,3,7,10,1,0,2,1,11,16.0,0.574,0.0,0.568,4.1,5.5,9.6,0.158,-0.5,1.3,0.7,2.0,1,1,0.524
Steve Nash,"2002",27,0,2,3,7,0,0,2,17,20.7,0.602,0.315,0.269,9.5,0.3,9.9,0.167,5.1,-2.1,3.1,3.6,1,1,0.695
Dirk Nowitzki,"2002",23,1,8,9,2,1,1,1,23,24.1,0.599,0.278,0.41,10.2,3.1,13.4,0.222,5.4,0.1,5.5,5.5,1,1,0.695
Jermaine O'Neal,"2002",23,2,7,10,1,0,2,2,19,18.1,0.521,0.012,0.365,2.3,4.1,6.4,0.113,-0.1,0.2,0.2,1.5,1,1,0.512
Shaquille O'Neal,"2002",29,3,7,10,2,0,2,2,27,29.7,0.59,0.001,0.583,9.2,4.0,13.2,0.262,7.1,0.9,8.0,6.1,1,1,0.707
Gary Payton,"2002",33,0,3,4,8,1,0,2,22,22.9,0.526,0.15,0.212,10.1,2.5,12.6,0.183,5.2,-0.2,5.1,5.9,1,1,0.549
Paul Pierce,"2002",24,0,5,6,3,1,1,2,26,22.3,0.57,0.325,0.402,7.3,5.6,12.9,0.187,4.7,1.3,5.9,6.6,1,1,0.598
Chris Webber,"2002",28,2,7,10,4,1,1,2,24,24.4,0.54,0.018,0.314,4.8,3.9,8.6,0.2,3.8,1.6,5.4,3.9,1,1,0.744
Kobe Bryant,"2003",24,1,5,6,5,2,0,3,30,26.2,0.55,0.168,0.371,11.0,4.0,14.9,0.21,6.3,0.7,7.1,7.7,1,1,0.61
Tim Duncan,"2003",26,3,9,12,3,0,2,3,23,26.9,0.564,0.016,0.455,9.5,6.9,16.5,0.248,5.0,2.5,7.6,7.7,1,1,0.732
Kevin Garnett,"2003",26,2,10,13,6,1,1,2,22,26.4,0.553,0.048,0.339,9.8,5.8,15.6,0.225,6.0,2.4,8.4,8.7,1,1,0.622
Allen Iverson,"2003",27,0,3,4,5,2,0,3,27,21.2,0.5,0.156,0.379,5.0,4.2,9.2,0.127,3.3,0.2,3.5,4.8,1,1,0.585
Jason Kidd,"2003",29,1,4,6,8,2,0,3,18,22.2,0.526,0.297,0.324,5.5,5.8,11.3,0.182,4.8,1.8,6.6,6.5,1,1,0.598
Stephon Marbury,"2003",25,0,2,3,8,1,0,3,22,20.1,0.52,0.193,0.305,7.1,2.5,9.6,0.142,3.7,-0.8,2.9,4.0,1,1,0.537
Jamal Mashburn,"2003",30,0,5,6,5,1,0,2,21,18.0,0.507,0.193,0.233,5.4,3.6,9.0,0.13,2.6,-0.4,2.2,3.5,1,1,0.573
Tracy McGrady,"2003",23,1,4,6,5,1,0,2,32,30.3,0.564,0.247,0.4,13.2,2.9,16.1,0.262,9.8,0.7,10.5,9.3,1,1,0.512
Steve Nash,"2003",28,0,2,2,7,1,0,2,17,22.6,0.576,0.241,0.304,9.7,1.9,11.6,0.206,5.4,-0.8,4.6,4.5,1,1,0.732
Dirk Nowitzki,"2003",24,1,8,9,2,1,1,1,25,25.6,0.581,0.262,0.368,10.8,5.3,16.1,0.249,5.8,1.4,7.2,7.3,1,1,0.732
Jermaine O'Neal,"2003",24,2,7,10,2,0,2,2,20,21.4,0.539,0.017,0.405,5.3,5.2,10.5,0.177,2.0,0.9,2.9,3.5,1,1,0.585
Shaquille O'Neal,"2003",30,3,7,11,3,0,2,2,27,29.5,0.602,0.0,0.599,10.2,3.0,13.2,0.25,6.4,0.1,6.5,5.5,1,1,0.61
Paul Pierce,"2003",25,1,5,7,4,1,0,3,25,22.7,0.532,0.246,0.473,5.3,4.8,10.1,0.157,4.2,0.7,4.9,5.4,1,1,0.537
Ben Wallace,"2003",28,4,11,15,1,1,3,1,6,17.2,0.486,0.014,0.432,2.7,7.9,10.6,0.176,0.4,3.5,3.9,4.3,1,1,0.61
Chris Webber,"2003",29,2,8,10,5,1,1,3,23,20.9,0.485,0.015,0.247,1.7,5.3,6.9,0.127,2.0,1.5,3.5,3.6,1,1,0.72
Kobe Bryant,"2004",25,1,3,5,5,1,0,2,23,23.7,0.551,0.184,0.452,7.8,3.0,10.7,0.21,5.1,0.5,5.6,4.7,1,1,0.683
Sam Cassell,"2004",34,0,2,3,7,1,0,2,19,22.8,0.566,0.146,0.261,8.8,3.3,12.1,0.205,4.1,0.3,4.4,4.6,1,1,0.707
Baron Davis,"2004",24,0,3,4,7,2,0,3,22,20.7,0.492,0.415,0.251,4.3,3.2,7.5,0.133,4.7,0.5,5.2,4.8,1,1,0.5
Tim Duncan,"2004",27,3,9,12,3,0,2,2,22,27.1,0.534,0.01,0.498,5.9,7.2,13.1,0.249,5.2,3.3,8.5,6.7,1,1,0.695
Kevin Garnett,"2004",27,2,10,13,4,1,2,2,24,29.4,0.547,0.027,0.289,10.4,8.0,18.3,0.272,6.8,3.3,10.2,10.0,1,1,0.707
Jason Kidd,"2004",30,1,5,6,9,1,0,3,15,19.7,0.485,0.306,0.26,2.8,4.4,7.2,0.141,3.4,1.3,4.7,4.2,1,1,0.573
Tracy McGrady,"2004",24,1,4,6,5,1,0,2,28,25.3,0.526,0.328,0.319,8.1,0.4,8.4,0.151,7.6,-1.2,6.4,5.7,1,1,0.256
Yao Ming,"2004",23,2,6,8,1,0,1,2,17,21.9,0.586,0.002,0.435,6.5,4.8,11.4,0.202,1.7,1.1,2.8,3.2,1,1,0.549
Dirk Nowitzki,"2004",25,1,7,8,2,1,1,1,21,22.5,0.561,0.221,0.323,9.0,2.5,11.5,0.19,3.8,0.0,3.8,4.3,1,1,0.634
Jermaine O'Neal,"2004",25,2,7,9,2,0,2,2,20,21.1,0.489,0.013,0.329,2.7,6.3,9.0,0.155,1.1,1.3,2.4,3.1,1,1,0.744
Shaquille O'Neal,"2004",31,3,7,11,2,0,2,2,21,24.4,0.578,0.0,0.713,5.9,4.0,9.9,0.192,3.8,1.0,4.8,4.1,1,1,0.683
Michael Redd,"2004",24,1,3,4,2,0,0,1,21,19.9,0.544,0.252,0.306,8.4,1.3,9.7,0.154,3.8,-1.3,2.5,3.5,1,1,0.5
Peja Stojakovic,"2004",26,1,5,6,2,1,0,1,24,21.8,0.624,0.4,0.307,11.4,2.1,13.5,0.198,5.2,-1.3,3.9,4.9,1,1,0.671
Ben Wallace,"2004",29,4,8,12,1,1,3,1,9,17.3,0.441,0.011,0.388,1.1,9.1,10.2,0.16,0.2,3.3,3.5,4.3,1,1,0.659
Metta World Peace,"2004",24,1,3,5,3,2,0,2,18,18.2,0.511,0.218,0.395,2.8,5.2,8.0,0.141,1.6,1.9,3.5,3.8,1,1,0.744
Ray Allen,"2005",29,1,3,4,3,1,0,2,23,20.9,0.555,0.372,0.286,9.7,1.0,10.7,0.168,5.3,-1.2,4.1,4.8,1,1,0.634
Gilbert Arenas,"2005",23,1,3,4,5,1,0,3,25,21.3,0.565,0.369,0.42,9.2,2.3,11.5,0.169,4.7,-0.4,4.2,5.2,1,1,0.549
Kobe Bryant,"2005",26,1,4,5,6,1,0,4,27,23.3,0.563,0.292,0.502,7.1,1.0,8.1,0.145,5.7,-0.8,5.0,4.7,1,1,0.415
Tim Duncan,"2005",28,3,8,11,2,0,2,1,20,27.0,0.54,0.009,0.437,5.5,5.7,11.2,0.245,4.8,2.8,7.6,5.4,1,1,0.72
Kevin Garnett,"2005",28,3,10,13,5,1,1,2,22,28.2,0.567,0.018,0.404,10.1,6.0,16.1,0.248,6.5,3.0,9.5,9.1,1,1,0.537
Allen Iverson,"2005",29,0,3,3,7,2,0,4,30,23.2,0.532,0.186,0.432,5.3,3.7,9.0,0.136,4.2,0.0,4.2,5.0,1,1,0.524
LeBron James,"2005",20,1,5,7,7,2,0,3,27,25.7,0.554,0.183,0.378,9.7,4.6,14.3,0.203,7.0,1.7,8.6,9.1,1,1,0.512
Shawn Marion,"2005",26,2,8,11,1,2,1,1,19,21.7,0.556,0.265,0.213,7.3,5.2,12.5,0.191,3.1,1.3,4.4,5.1,1,1,0.756
Tracy McGrady,"2005",25,0,5,6,5,1,0,2,25,22.9,0.526,0.262,0.336,6.5,5.4,12.0,0.18,5.2,1.5,6.7,6.9,1,1,0.622
Steve Nash,"2005",30,0,2,3,11,0,0,3,15,22.0,0.606,0.254,0.278,9.7,1.2,10.9,0.203,5.5,-0.8,4.7,4.4,1,1,0.756
Dirk Nowitzki,"2005",26,1,8,9,3,1,1,2,26,26.1,0.578,0.158,0.49,10.3,5.2,15.6,0.248,5.8,1.5,7.3,7.1,1,1,0.707
Shaquille O'Neal,"2005",32,3,6,10,2,0,2,2,22,27.0,0.583,0.0,0.699,6.4,4.6,11.0,0.211,4.1,1.2,5.3,4.6,1,1,0.72
Amar'e Stoudemire,"2005",22,2,6,8,1,0,1,2,26,26.6,0.617,0.012,0.595,11.3,3.3,14.6,0.243,4.1,0.3,4.4,4.7,1,1,0.756
Dwyane Wade,"2005",23,1,3,5,6,1,1,4,24,23.1,0.561,0.034,0.578,6.7,4.3,11.0,0.177,3.9,0.7,4.6,4.9,1,1,0.72
Ben Wallace,"2005",30,3,8,12,1,1,2,1,9,17.4,0.459,0.014,0.467,1.8,6.7,8.5,0.153,0.2,2.5,2.8,3.2,1,1,0.659
Gilbert Arenas,"2006",24,0,2,3,6,2,0,3,29,23.8,0.581,0.324,0.479,11.0,2.6,13.6,0.193,5.4,0.0,5.4,6.3,1,1,0.512
Chauncey Billups,"2006",29,0,2,3,8,0,0,2,18,23.4,0.602,0.42,0.514,12.7,2.8,15.5,0.254,6.2,0.1,6.2,6.1,1,1,0.78
Elton Brand,"2006",26,2,7,10,2,1,2,2,24,26.5,0.58,0.002,0.396,9.3,5.5,14.8,0.229,5.1,1.6,6.7,6.8,1,1,0.573
Kobe Bryant,"2006",27,0,4,5,4,1,0,3,35,28.0,0.559,0.238,0.377,11.6,3.7,15.3,0.224,7.4,0.2,7.6,8.0,1,1,0.549
Tim Duncan,"2006",29,2,8,11,3,0,2,2,18,23.1,0.523,0.004,0.45,3.9,6.9,10.8,0.187,2.3,2.6,5.0,4.9,1,1,0.768
Allen Iverson,"2006",30,0,2,3,7,1,0,3,33,25.9,0.543,0.122,0.455,8.8,1.8,10.6,0.165,5.8,-1.0,4.8,5.3,1,1,0.463
LeBron James,"2006",21,0,6,7,6,1,0,3,31,28.1,0.568,0.208,0.447,12.0,4.3,16.3,0.232,7.5,1.6,9.1,9.4,1,1,0.61
Shawn Marion,"2006",27,3,8,11,1,1,1,1,21,23.6,0.591,0.212,0.218,8.6,5.9,14.6,0.214,3.5,1.3,4.8,5.6,1,1,0.659
Yao Ming,"2006",25,2,7,10,1,0,1,2,22,25.6,0.592,0.001,0.439,5.0,3.5,8.6,0.211,3.5,0.9,4.4,3.2,1,1,0.415
Steve Nash,"2006",31,0,3,4,10,0,0,3,18,23.3,0.632,0.324,0.264,10.3,2.1,12.4,0.212,5.7,-0.7,5.0,4.9,1,1,0.659
Dirk Nowitzki,"2006",27,1,7,8,2,0,1,1,26,28.1,0.589,0.173,0.382,13.5,4.3,17.7,0.275,7.8,0.4,8.1,7.9,1,1,0.732
Shaquille O'Neal,"2006",33,2,6,9,1,0,1,2,20,24.4,0.586,0.0,0.589,3.3,2.9,6.2,0.164,2.4,0.3,2.7,2.1,1,1,0.634
Dwyane Wade,"2006",24,1,4,5,6,1,0,3,27,27.6,0.577,0.054,0.568,10.2,4.2,14.4,0.239,5.9,1.8,7.7,7.1,1,1,0.634
Ben Wallace,"2006",31,3,7,11,1,1,2,1,7,17.5,0.501,0.009,0.637,3.3,6.9,10.1,0.168,0.4,3.1,3.5,4.0,1,1,0.78
Carmelo Anthony,"2007",22,2,3,6,3,1,0,3,28,22.1,0.552,0.103,0.391,5.2,2.1,7.3,0.14,3.2,-1.3,1.9,2.5,1,1,0.549
Gilbert Arenas,"2007",25,0,3,4,5,1,0,3,28,24.0,0.565,0.377,0.464,9.3,1.5,10.8,0.177,5.5,-0.8,4.7,5.0,1,1,0.5
Chauncey Billups,"2007",30,0,3,3,7,1,0,2,17,21.3,0.591,0.388,0.536,8.7,2.7,11.4,0.216,4.2,0.5,4.7,4.3,1,1,0.646
Chris Bosh,"2007",22,2,8,10,2,0,1,2,22,22.6,0.577,0.032,0.539,6.1,3.5,9.6,0.174,2.8,-0.1,2.7,3.1,1,1,0.573
Kobe Bryant,"2007",28,0,4,5,5,1,0,3,31,26.1,0.58,0.227,0.437,10.8,2.2,13.0,0.199,6.4,-0.5,5.9,6.1,1,1,0.512
Tim Duncan,"2007",30,2,7,10,3,0,2,2,19,26.1,0.579,0.008,0.502,6.3,6.8,13.0,0.23,3.8,3.2,7.0,6.2,1,1,0.707
Kevin Garnett,"2007",30,2,10,12,4,1,1,2,22,24.1,0.546,0.042,0.371,5.7,4.9,10.7,0.171,3.8,1.7,5.4,5.5,1,1,0.39
Dwight Howard,"2007",21,3,8,12,1,0,1,3,17,21.1,0.619,0.002,0.763,3.9,5.8,9.7,0.154,1.7,1.1,2.8,3.7,1,1,0.488
LeBron James,"2007",22,1,5,6,6,1,0,3,27,24.5,0.552,0.191,0.432,8.0,5.7,13.7,0.206,5.9,2.2,8.1,8.1,1,1,0.61
Tracy McGrady,"2007",27,0,4,5,6,1,0,3,24,23.2,0.515,0.257,0.33,4.1,4.5,8.6,0.163,4.9,1.2,6.1,5.2,1,1,0.634
Yao Ming,"2007",26,2,7,9,1,0,1,3,25,26.5,0.601,0.002,0.504,4.0,3.4,7.4,0.22,3.1,1.9,5.0,2.8,1,1,0.634
Steve Nash,"2007",32,0,3,3,11,0,0,3,18,23.8,0.654,0.353,0.254,10.8,1.7,12.6,0.225,6.7,-0.8,5.9,5.3,1,1,0.744
Dirk Nowitzki,"2007",28,1,7,8,3,0,0,2,24,27.6,0.605,0.129,0.411,11.8,4.5,16.3,0.278,7.2,1.2,8.3,7.4,1,1,0.817
Amar'e Stoudemire,"2007",24,2,6,9,1,0,1,2,20,23.1,0.637,0.003,0.555,7.2,4.0,11.2,0.201,1.5,0.3,1.8,2.6,1,1,0.744
