Player,PlayerID,Year,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Derrick Jones Jr.,jonesde02,2022,SF,24,CHI,16,273,17.8,.673,.212,.439,8.8,14.8,11.8,4.2,1.6,4.3,8.2,13.8,0.8,0.4,1.2,.216,0.4,1.0,1.4,0.2
Herb Jones,joneshe01,2022,C,23,NOP,18,463,9.3,.523,.155,.144,5.0,8.7,6.8,9.5,2.7,2.3,18.2,11.6,0.0,0.4,0.4,.043,-4.2,1.0,-3.2,-0.1
Kai Jones,joneska01,2022,C,21,CHO,6,8,-7.8,1.000,.000,.000,0.0,13.2,6.4,0.0,0.0,0.0,75.0,21.0,-0.1,0.0,-0.1,-0.404,-16.0,-4.2,-20.3,0.0
Tre Jones,jonestr01,2022,PG,22,SAS,16,140,15.4,.609,.061,.163,0.7,10.8,5.6,21.9,1.4,0.0,14.6,18.8,0.2,0.1,0.3,.102,-2.2,-0.4,-2.6,0.0
Tyus Jones,jonesty01,2022,PG,25,MEM,19,298,18.5,.626,.400,.089,1.0,13.6,7.1,27.8,2.0,0.6,10.5,14.8,0.9,0.0,0.8,.134,2.5,-1.0,1.5,0.3
DeAndre Jordan,jordade01,2022,C,33,LAL,18,251,18.8,.696,.000,.136,13.9,32.5,23.4,4.1,0.9,5.4,18.3,13.0,0.5,0.4,0.9,.178,-0.8,-0.3,-1.0,0.1
Cory Joseph,josepco01,2022,PG,30,DET,19,416,12.2,.564,.363,.353,1.7,7.4,4.3,25.6,2.0,0.7,19.2,15.0,0.4,0.2,0.6,.068,-2.7,0.0,-2.7,-0.1
Georgios Kalaitzakis,kalaige01,2022,SF,23,MIL,8,47,6.5,.535,.364,.818,9.1,8.5,8.8,0.0,1.0,2.0,21.1,17.4,0.0,0.0,0.0,.007,-5.3,-3.4,-8.7,-0.1
Frank Kaminsky,kaminfr01,2022,C,28,PHO,9,181,22.1,.635,.227,.303,6.6,16.4,11.7,10.4,2.1,3.4,6.3,19.1,0.6,0.3,0.9,.242,2.4,1.0,3.4,0.2
Enes Kanter,kanteen01,2022,C,29,BOS,9,101,16.7,.504,.063,.406,21.6,27.8,24.6,3.0,0.5,3.8,15.7,19.4,0.1,0.1,0.3,.129,-1.8,-2.8,-4.6,-0.1
Luke Kennard,kennalu01,2022,SG,25,LAC,19,524,11.6,.572,.700,.050,0.8,11.4,6.3,11.1,1.4,0.3,7.4,14.7,0.6,0.7,1.3,.120,-0.6,0.2,-0.4,0.2
Corey Kispert,kispeco01,2022,SF,22,WAS,17,214,8.8,.481,.621,.172,4.2,11.4,7.9,6.7,0.9,1.1,8.8,14.2,0.0,0.2,0.2,.048,-1.9,-0.9,-2.7,0.0
Maxi Kleber,klebima01,2022,PF,30,DAL,8,169,16.1,.629,.756,.195,4.8,24.1,14.0,7.7,1.5,4.7,8.2,12.7,0.3,0.2,0.6,.168,1.4,1.7,3.1,0.2
Nathan Knight,knighna01,2022,PF,24,MIN,8,21,32.3,.931,.000,2.000,4.7,20.5,12.3,22.8,2.3,4.6,21.0,18.7,0.1,0.0,0.2,.383,5.9,6.0,11.9,0.1
Kevin Knox,knoxke01,2022,SF,22,NYK,4,15,-1.4,.307,.500,.500,14.0,0.0,7.0,9.2,0.0,0.0,29.1,20.0,-0.1,0.0,-0.1,-0.208,-8.0,-6.2,-14.2,0.0
John Konchar,konchjo01,2022,SG,25,MEM,17,242,10.8,.514,.367,.163,6.9,18.5,12.5,10.3,2.0,1.5,16.0,10.9,0.1,0.0,0.2,.033,-2.4,-0.8,-3.2,-0.1
Furkan Korkmaz,korkmfu01,2022,SG,24,PHI,18,458,12.5,.504,.613,.127,1.5,11.4,6.5,16.3,1.5,0.6,9.0,19.8,0.2,0.2,0.4,.043,0.0,-2.4,-2.4,0.0
Vit Krejci,krejcvi01,2022,SG,21,OKC,3,9,-0.9,.347,1.000,1.000,0.0,33.9,16.7,0.0,0.0,0.0,25.8,18.5,0.0,0.0,0.0,-0.164,-12.0,-4.3,-16.3,0.0
Jonathan Kuminga,kuminjo01,2022,SF,19,GSW,12,98,6.7,.433,.351,.351,8.1,14.8,11.6,7.1,2.0,2.0,15.8,22.3,-0.2,0.2,0.0,.011,-7.5,-0.8,-8.3,-0.2
Kyle Kuzma,kuzmaky01,2022,PF,26,WAS,19,623,12.2,.518,.520,.181,3.7,25.2,14.9,12.3,0.9,1.7,14.7,19.9,-0.1,0.9,0.8,.058,-1.0,0.2,-0.8,0.2
Jeremy Lamb,lambje01,2022,SF,29,IND,15,209,19.4,.615,.549,.317,1.1,17.7,9.6,12.0,1.6,2.4,7.9,21.1,0.6,0.3,0.9,.198,3.8,1.2,5.0,0.4
Jock Landale,landajo01,2022,C,26,SAS,5,16,33.7,.781,.286,.429,12.9,0.0,6.6,21.8,0.0,5.6,10.7,24.9,0.1,0.0,0.1,.317,8.0,0.7,8.7,0.0
Romeo Langford,langfro01,2022,SG,22,BOS,16,297,8.1,.514,.457,.129,4.5,12.0,8.2,4.3,1.2,0.7,9.8,12.1,0.1,0.3,0.4,.060,-2.9,-0.6,-3.5,-0.1
Zach LaVine,lavinza01,2022,SG,26,CHI,20,692,21.7,.601,.378,.234,1.3,15.2,8.2,19.1,0.7,0.9,11.2,30.7,1.5,0.7,2.2,.154,5.2,-2.1,3.2,0.9
Jake Layman,laymaja01,2022,SF,27,MIN,7,34,2.0,.350,.400,.000,2.9,12.7,7.6,0.0,1.4,2.8,16.7,14.6,-0.1,0.0,-0.1,-0.085,-7.5,-3.0,-10.6,-0.1
Damion Lee,leeda03,2022,SG,29,GSW,15,315,10.9,.553,.482,.188,1.8,12.5,7.4,8.1,0.5,0.6,7.6,18.0,0.3,0.4,0.7,.108,-2.1,-2.0,-4.1,-0.2
Saben Lee,leesa01,2022,PG,22,DET,8,93,10.1,.419,.414,.345,1.1,14.1,7.0,18.7,3.7,1.0,13.0,17.7,-0.1,0.1,0.0,-0.001,-4.8,2.7,-2.1,0.0
Alex Len,lenal01,2022,C,28,SAC,12,215,15.0,.623,.172,.431,6.0,19.6,12.8,9.4,0.4,6.0,15.9,16.2,0.3,0.2,0.5,.120,-2.2,0.7,-1.4,0.0
Caris LeVert,leverca01,2022,SG,27,IND,13,338,13.3,.473,.315,.141,1.3,11.0,6.2,18.6,1.5,1.8,8.9,27.6,-0.1,0.3,0.2,.030,-2.0,-0.9,-2.9,-0.1
Kira Lewis Jr.,lewiski01,2022,PG,20,NOP,18,273,7.8,.438,.398,.059,1.9,11.5,6.6,22.6,1.8,0.0,17.1,22.9,-0.5,0.1,-0.4,-0.068,-4.8,-2.0,-6.8,-0.3
Damian Lillard,lillada01,2022,PG,31,POR,19,683,19.0,.529,.500,.247,1.3,10.5,5.9,34.7,0.9,1.0,11.2,28.3,1.5,0.1,1.6,.112,2.8,-2.8,0.0,0.4
Nassir Little,littlna01,2022,SF,21,POR,20,443,14.9,.602,.468,.230,7.1,19.1,13.1,4.5,1.8,2.7,12.0,15.5,0.7,0.3,1.0,.109,-0.9,-0.7,-1.6,0.0
Kevon Looney,looneke01,2022,C,25,GSW,19,354,16.1,.554,.000,.402,15.1,23.9,19.7,8.0,1.4,4.2,10.2,13.1,0.8,0.8,1.6,.211,-1.6,0.1,-1.5,0.0
Brook Lopez,lopezbr01,2022,C,33,MIL,1,28,12.1,.444,.444,.000,7.6,10.7,9.2,0.0,1.7,9.9,0.0,13.9,0.0,0.0,0.1,.096,-2.9,-1.8,-4.7,0.0
Robin Lopez,lopezro01,2022,C,33,ORL,7,90,17.0,.616,.036,.429,12.7,9.4,11.1,7.6,0.0,3.1,13.1,18.2,0.2,0.0,0.2,.111,0.4,-3.0,-2.6,0.0
Didi Louzada,louzama01,2022,SF,22,NOP,2,7,-1.1,.000,1.000,.000,29.9,0.0,15.2,18.3,0.0,0.0,0.0,18.3,0.0,0.0,0.0,-0.263,-3.7,-9.6,-13.3,0.0
Kevin Love,loveke01,2022,PF,33,CLE,11,227,18.2,.523,.485,.287,7.1,34.2,20.7,15.0,0.4,0.8,8.1,23.7,0.4,0.3,0.7,.151,2.5,-0.2,2.3,0.2
Kyle Lowry,lowryky01,2022,PG,35,MIA,17,574,13.2,.540,.601,.185,1.8,14.2,8.2,31.9,1.7,1.2,22.4,18.5,0.5,0.8,1.3,.106,-0.6,0.6,0.0,0.3
Timothe Luwawu-Cabarrot,luwawti01,2022,SF,26,ATL,13,40,16.8,.535,.588,.353,0.0,15.7,8.1,13.8,2.5,0.0,4.8,22.5,0.1,0.0,0.1,.136,0.3,-0.2,0.1,0.0
Trey Lyles,lylestr01,2022,PF,26,DET,19,310,14.1,.538,.474,.405,8.0,20.7,13.8,7.7,0.9,0.9,12.8,21.6,0.2,0.2,0.4,.061,-0.8,-2.1,-2.8,-0.1
Theo Maledon,maledth01,2022,PG,20,OKC,10,141,0.4,.321,.649,.216,2.8,10.1,6.4,12.0,0.7,0.0,21.4,15.7,-0.4,0.1,-0.4,-0.124,-9.1,-3.4,-12.6,-0.4
Sandro Mamukelashvili,mamuksa01,2022,PF,22,MIL,9,67,7.9,.548,.438,.188,4.8,9.0,6.9,4.1,0.0,1.4,10.4,12.4,0.0,0.0,0.1,.060,-1.7,-3.9,-5.5,-0.1
Terance Mann,mannte01,2022,SF,25,LAC,18,514,12.3,.563,.368,.208,5.0,12.8,9.0,11.9,1.2,0.3,10.8,14.9,0.7,0.7,1.4,.130,-1.6,0.0,-1.7,0.0
Tre Mann,manntr01,2022,PG,20,OKC,11,126,10.8,.487,.351,.140,4.7,7.3,6.0,2.8,1.9,2.3,7.6,22.3,-0.1,0.1,0.0,.017,-3.9,-1.0,-4.9,-0.1
Boban Marjanovic,marjabo01,2022,C,33,DAL,9,45,27.4,.674,.000,.385,11.2,17.1,14.1,11.2,0.0,2.0,14.1,34.9,0.1,0.0,0.1,.144,1.5,-0.8,0.8,0.0
Lauri Markkanen,markkla01,2022,PF,24,CLE,10,312,14.2,.497,.520,.228,4.8,18.0,11.4,6.5,1.7,2.2,6.1,20.7,0.2,0.4,0.6,.097,-0.2,0.2,0.0,0.2
Naji Marshall,marshna01,2022,SF,24,NOP,14,188,8.7,.438,.404,.423,6.1,22.5,14.2,13.0,1.8,1.4,19.6,17.4,-0.2,0.2,0.0,-0.006,-5.9,-0.5,-6.4,-0.2
Caleb Martin,martica02,2022,SF,26,MIA,16,261,12.0,.504,.397,.260,4.8,13.5,9.3,5.0,3.1,3.4,9.0,15.0,0.1,0.5,0.6,.108,-2.0,1.5,-0.5,0.1
Cody Martin,martico01,2022,SF,26,CHO,21,527,15.2,.572,.307,.276,5.3,12.6,8.8,12.2,2.5,2.0,5.9,12.0,1.1,0.5,1.5,.141,0.7,0.8,1.5,0.5
Kelan Martin,martike03,2022,SF,26,IND,14,238,13.0,.495,.420,.070,4.2,8.5,6.4,10.7,1.7,2.1,5.5,19.9,0.2,0.2,0.4,.080,-0.9,-0.8,-1.6,0.0
Kenyon Martin Jr.,martike04,2022,SF,21,HOU,17,259,17.0,.611,.271,.224,3.6,16.2,9.8,9.4,1.4,3.2,7.9,16.4,0.5,0.3,0.7,.133,1.2,0.6,1.9,0.3
Garrison Mathews,mathega01,2022,SG,25,HOU,5,98,10.7,.567,.867,.200,5.3,9.6,7.4,4.8,0.5,1.9,5.8,14.8,0.1,0.0,0.2,.090,-1.4,-0.8,-2.2,0.0
Tyrese Maxey,maxeyty01,2022,PG,21,PHI,19,674,19.2,.593,.231,.265,1.0,9.9,5.5,20.8,1.2,1.5,7.1,21.6,1.9,0.2,2.1,.152,2.2,-1.0,1.2,0.5
Skylar Mays,mayssk01,2022,SG,24,ATL,7,19,25.2,.972,.400,1.000,0.0,11.0,5.7,7.9,0.0,0.0,21.7,21.1,0.1,0.0,0.1,.273,4.1,0.5,4.6,0.0
Miles McBride,mcbrimi01,2022,PG,21,NYK,6,8,-11.4,.111,.667,.000,13.1,0.0,6.6,18.7,6.2,12.0,0.0,49.1,-0.1,0.0,-0.1,-0.661,-18.0,-4.2,-22.2,0.0
CJ McCollum,mccolcj01,2022,SG,30,POR,20,708,16.9,.529,.447,.098,3.5,9.9,6.7,19.8,1.5,1.8,9.2,26.0,0.9,0.2,1.2,.078,2.3,-2.1,0.2,0.4
T.J. McConnell,mccontj01,2022,PG,29,IND,21,527,16.3,.536,.133,.066,3.1,11.7,7.5,30.5,2.1,1.4,13.6,16.3,0.9,0.6,1.6,.142,0.2,1.1,1.3,0.4
Jaden McDaniels,mcdanja02,2022,PF,21,MIN,19,474,7.8,.486,.421,.088,6.4,12.3,9.2,4.7,1.8,2.4,13.8,12.0,0.0,0.5,0.5,.054,-5.0,-0.2,-5.2,-0.4
Jalen McDaniels,mcdanja01,2022,SF,24,CHO,19,260,15.6,.696,.561,.348,4.6,18.6,11.4,9.5,1.1,1.4,12.6,14.0,0.6,0.2,0.8,.146,0.8,-0.5,0.3,0.1
Doug McDermott,mcderdo01,2022,PF,30,SAS,12,307,10.2,.574,.543,.086,1.7,7.7,4.6,6.2,0.3,0.0,6.8,16.3,0.3,0.1,0.3,.051,-0.9,-3.4,-4.3,-0.2
JaVale McGee,mcgeeja01,2022,C,34,PHO,19,311,24.5,.678,.000,.248,14.3,30.0,22.5,6.8,1.1,5.1,17.3,24.1,0.8,0.7,1.4,.219,0.1,0.3,0.3,0.2
Rodney McGruder,mcgruro01,2022,SG,30,DET,8,43,12.1,.504,.538,.154,4.6,11.1,7.5,11.2,0.0,2.1,0.0,13.8,0.1,0.0,0.1,.083,-0.7,-1.5,-2.3,0.0
JaQuori McLaughlin,mclauja01,2022,PG,24,DAL,1,2,16.7,,,,0.0,0.0,0.0,62.8,0.0,0.0,,0.0,0.0,0.0,0.0,.224,7.6,-3.2,4.4,0.0
Jordan McLaughlin,mclaujo01,2022,PG,25,MIN,16,165,8.0,.384,.472,.194,1.2,7.2,4.1,27.5,2.6,0.0,22.0,12.5,-0.1,0.2,0.1,.022,-4.5,-0.6,-5.1,-0.1
Ben McLemore,mclembe01,2022,SG,28,POR,5,33,10.5,.598,.933,.133,3.3,0.0,1.7,4.6,0.0,0.0,15.9,24.8,0.0,0.0,0.0,-0.007,0.9,-5.2,-4.4,0.0
De'Anthony Melton,meltode01,2022,SG,23,MEM,16,412,12.2,.499,.529,.065,2.8,13.3,7.9,12.3,3.1,2.6,13.7,18.6,-0.1,0.1,0.1,.010,-1.4,-0.7,-2.1,0.0
Sam Merrill,merrisa01,2022,SG,25,MEM,6,58,8.2,.485,.958,.167,1.8,11.6,6.5,9.6,0.0,0.0,7.2,20.1,0.0,0.0,0.0,-0.027,-1.8,-5.4,-7.2,-0.1
Chimezie Metu,metuch01,2022,C,24,SAC,9,197,10.4,.474,.569,.125,3.3,26.2,14.8,6.5,1.7,2.6,13.6,19.0,-0.2,0.2,0.0,.010,-2.2,-0.7,-2.9,0.0
Khris Middleton,middlkh01,2022,SF,30,MIL,12,360,16.9,.538,.412,.276,1.2,16.1,8.9,25.6,2.4,0.5,15.9,27.2,0.2,0.5,0.7,.094,0.2,-0.8,-0.6,0.1
Patty Mills,millspa02,2022,PG,33,BRK,19,519,14.7,.648,.680,.062,1.1,5.2,3.2,13.9,0.9,0.5,7.6,16.9,1.1,0.3,1.5,.138,1.8,-1.4,0.4,0.3
Paul Millsap,millspa01,2022,PF,36,BRK,14,155,7.9,.447,.488,.268,6.3,25.3,16.2,8.8,0.9,2.8,13.2,15.1,-0.1,0.3,0.2,.060,-5.6,0.1,-5.5,-0.1
Shake Milton,miltosh01,2022,PG,25,PHI,15,387,15.3,.542,.294,.196,2.9,11.0,7.0,18.4,1.0,1.4,9.8,21.5,0.6,0.1,0.7,.082,0.2,-1.5,-1.4,0.1
Davion Mitchell,mitchda01,2022,PG,23,SAC,20,503,9.6,.442,.405,.121,3.0,8.2,5.6,19.3,1.3,0.7,8.7,18.5,0.0,0.1,0.2,.016,-3.0,-1.4,-4.4,-0.3
Donovan Mitchell,mitchdo01,2022,SG,25,UTA,18,584,19.9,.527,.456,.173,3.7,10.3,7.2,26.7,2.6,0.4,11.7,33.0,0.9,0.8,1.6,.135,2.5,-0.4,2.1,0.6
Evan Mobley,mobleev01,2022,PF,20,CLE,15,506,16.8,.555,.148,.273,5.5,20.0,12.8,11.8,1.5,4.1,12.0,19.3,0.6,0.8,1.3,.127,-0.2,1.2,1.0,0.4
Malik Monk,monkma01,2022,SG,23,LAL,21,503,12.2,.579,.578,.139,1.7,9.5,5.6,13.0,1.4,0.9,13.7,17.3,0.4,0.3,0.7,.068,-1.0,-1.0,-1.9,0.0
Moses Moody,moodymo01,2022,SG,19,GSW,14,85,5.5,.428,.577,.077,1.3,12.1,7.0,4.7,0.0,2.3,3.6,14.2,-0.1,0.1,0.1,.032,-5.0,-1.9,-6.9,-0.1
Ja Morant,moranja01,2022,PG,22,MEM,19,619,24.7,.564,.244,.314,4.2,14.7,9.2,35.9,2.4,0.7,12.9,31.7,1.7,0.0,1.7,.132,5.3,-1.8,3.5,0.9
Marcus Morris,morrima03,2022,PF,32,LAC,4,109,4.3,.446,.568,.135,0.0,10.2,5.3,4.0,1.3,2.3,13.3,18.1,-0.2,0.2,-0.1,-0.022,-6.6,-1.5,-8.0,-0.2
Markieff Morris,morrima02,2022,PF,32,MIA,10,187,11.1,.533,.314,.071,8.0,8.6,8.3,11.6,0.8,0.6,14.3,19.8,0.1,0.2,0.3,.074,-1.9,-0.4,-2.3,0.0
Monte Morris,morrimo01,2022,PG,26,DEN,19,562,12.4,.518,.354,.039,1.2,8.5,4.8,21.8,1.3,0.3,11.0,18.7,0.4,0.4,0.7,.063,-1.9,-0.9,-2.9,-0.1
Mychal Mulder,muldemy01,2022,PG,27,ORL,8,92,4.2,.418,.683,.049,2.3,6.9,4.6,1.7,1.1,0.0,6.7,20.8,-0.2,0.0,-0.2,-0.090,-4.8,-3.3,-8.1,-0.1
Trey Murphy III,murphtr02,2022,SF,21,NOP,20,310,8.8,.509,.730,.112,4.4,12.6,8.4,5.7,1.1,1.2,9.7,14.2,0.1,0.1,0.2,.034,-2.4,-1.9,-4.3,-0.2
Dejounte Murray,murrade01,2022,PG,25,SAS,18,626,20.1,.497,.216,.133,2.3,23.6,12.7,35.4,2.9,1.3,11.1,26.4,0.5,0.9,1.4,.108,1.2,1.7,2.9,0.8
Mike Muscala,muscami01,2022,C,30,OKC,15,216,20.4,.627,.632,.333,2.8,19.8,11.2,7.1,1.4,4.5,6.6,21.2,0.6,0.3,0.9,.194,3.5,0.9,4.5,0.4
Svi Mykhailiuk,mykhasv01,2022,SF,24,TOR,20,358,13.6,.589,.564,.182,3.5,11.2,7.1,8.4,2.1,0.3,11.2,16.0,0.6,0.2,0.8,.101,-0.2,-0.9,-1.1,0.1
Abdel Nader,naderab01,2022,SF,28,PHO,14,145,5.1,.431,.400,.286,3.0,15.7,9.6,6.0,2.6,2.4,21.8,15.1,-0.3,0.3,0.0,-0.005,-7.3,0.4,-6.9,-0.2
Larry Nance Jr.,nancela02,2022,PF,29,POR,20,385,16.7,.616,.320,.237,8.8,20.3,14.5,11.0,2.0,2.2,14.4,14.1,0.8,0.3,1.1,.134,0.6,0.4,1.1,0.3
RJ Nembhard,nembhrj01,2022,SG,22,CLE,2,3,42.0,1.000,.000,.000,0.0,35.9,18.0,72.9,0.0,0.0,0.0,14.5,0.0,0.0,0.0,.579,9.6,5.5,15.0,0.0
Aaron Nesmith,nesmiaa01,2022,SF,22,BOS,17,157,3.3,.405,.745,.039,4.0,13.1,8.4,4.6,1.3,0.0,13.4,16.7,-0.3,0.1,-0.1,-0.044,-6.2,-1.2,-7.3,-0.2
Raul Neto,netora01,2022,PG,29,WAS,18,356,10.1,.518,.231,.222,0.3,8.9,4.8,18.2,2.1,0.2,16.8,19.2,-0.1,0.4,0.3,.035,-4.8,-0.2,-5.0,-0.3
Georges Niang,niangge01,2022,PF,28,PHI,19,487,13.4,.576,.593,.132,1.4,10.8,6.1,10.2,1.3,0.9,7.7,19.3,0.7,0.2,0.9,.086,0.2,-2.0,-1.8,0.0
Zeke Nnaji,nnajize01,2022,PF,21,DEN,7,80,22.3,.638,.441,.294,12.2,25.0,18.5,0.0,0.0,3.5,9.4,23.6,0.2,0.1,0.3,.167,4.4,-3.0,1.4,0.1
Nerlens Noel,noelne01,2022,C,27,NYK,8,198,12.5,.598,.074,.333,10.6,16.5,13.6,4.2,2.5,6.3,24.4,9.0,0.2,0.3,0.5,.120,-3.3,0.9,-2.3,0.0
Jaylen Nowell,nowelja01,2022,SG,22,MIN,9,51,14.5,.361,.258,.065,5.8,12.7,9.1,28.5,2.8,3.8,3.0,26.6,0.0,0.1,0.0,.035,-1.8,-0.7,-2.5,0.0
Frank Ntilikina,ntilila01,2022,PG,23,DAL,15,213,11.8,.498,.520,.160,1.4,13.5,7.2,15.4,2.3,1.3,11.1,18.8,0.0,0.2,0.3,.062,-2.2,0.2,-2.0,0.0
Jusuf Nurkic,nurkiju01,2022,C,27,POR,20,490,23.0,.632,.100,.413,11.1,37.7,24.4,14.3,2.6,2.1,17.1,20.2,1.3,0.7,2.0,.193,1.3,1.1,2.4,0.5
David Nwaba,nwabada01,2022,SF,29,HOU,15,176,12.8,.494,.250,.423,4.7,22.6,13.6,9.0,2.7,2.1,11.5,16.6,0.0,0.3,0.3,.071,-3.3,0.6,-2.7,0.0
Jordan Nwora,nworajo01,2022,SF,23,MIL,18,358,10.2,.512,.519,.096,3.0,15.9,9.7,9.5,0.5,2.3,14.0,19.7,-0.1,0.4,0.2,.031,-1.9,-2.1,-4.0,-0.2
Royce O'Neale,onealro01,2022,SF,28,UTA,19,589,11.6,.592,.687,.130,3.3,12.8,8.3,9.1,2.7,2.1,15.9,10.6,0.6,0.9,1.5,.123,-0.9,2.5,1.6,0.5
Semi Ojeleye,ojelese01,2022,PF,27,MIL,11,218,4.7,.335,.596,.106,10.3,8.7,9.5,2.4,0.9,2.1,9.2,10.7,-0.2,0.2,0.0,.004,-4.8,-2.4,-7.2,-0.3
Chuma Okeke,okekech01,2022,PF,23,ORL,14,293,10.2,.493,.464,.175,3.2,16.6,9.8,8.7,1.7,0.6,10.3,17.0,0.0,0.2,0.1,.023,-2.8,-0.8,-3.6,-0.1
Josh Okogie,okogijo01,2022,SG,23,MIN,12,173,7.9,.426,.353,.471,6.8,11.8,9.2,8.5,2.2,1.7,16.3,11.7,-0.1,0.2,0.1,.038,-4.6,-0.4,-5.0,-0.1
Isaac Okoro,okorois01,2022,SF,21,CLE,12,362,8.1,.440,.413,.283,6.0,10.1,8.0,9.1,1.6,0.7,10.4,13.9,0.0,0.3,0.3,.041,-3.6,-0.2,-3.8,-0.2
KZ Okpala,okpalkz01,2022,PF,22,MIA,8,47,6.8,.346,.533,.133,9.7,15.9,12.9,5.8,1.1,0.0,0.0,14.8,0.0,0.1,0.0,.043,-5.0,-2.3,-7.2,-0.1
Kelly Olynyk,olynyke01,2022,C,30,DET,10,230,19.0,.551,.418,.357,5.6,20.7,12.5,18.4,3.0,2.8,11.7,23.9,0.3,0.3,0.6,.116,0.9,1.6,2.5,0.3
Eugene Omoruyi,omorueu01,2022,SF,24,DAL,2,10,28.9,.608,.500,1.000,10.1,44.1,26.4,16.8,0.0,0.0,0.0,25.5,0.1,0.0,0.1,.313,5.0,3.8,8.8,0.0
Miye Oni,onimi01,2022,SG,24,UTA,8,19,4.8,.410,.500,.500,0.0,16.3,8.6,13.5,0.0,0.0,0.0,5.6,0.0,0.0,0.0,.067,-6.2,0.8,-5.4,0.0
Cedi Osman,osmande01,2022,SF,26,CLE,16,355,17.3,.645,.691,.162,1.8,11.2,6.5,12.1,1.5,0.7,8.8,19.6,0.8,0.3,1.2,.160,3.3,0.6,3.9,0.5
Kelly Oubre Jr.,oubreke01,2022,SF,26,CHO,21,557,14.3,.562,.571,.143,4.5,11.3,7.8,5.3,1.3,0.8,6.9,21.7,0.7,0.2,0.9,.078,0.6,-2.4,-1.9,0.0
Kevin Pangos,pangoke01,2022,PG,29,CLE,5,13,2.3,.515,.667,.667,8.3,0.0,4.1,0.0,0.0,0.0,20.5,16.3,0.0,0.0,0.0,-0.036,-5.3,-3.7,-9.0,0.0
Jabari Parker,parkeja01,2022,PF,26,BOS,7,76,17.4,.694,.375,.250,4.1,19.9,11.8,8.5,2.0,1.3,15.8,18.3,0.2,0.1,0.3,.177,-0.2,1.1,0.9,0.1
Eric Paschall,pascher01,2022,PF,25,UTA,17,220,9.6,.529,.648,.315,6.2,10.8,8.6,8.1,0.4,1.1,12.8,13.9,0.2,0.2,0.4,.084,-1.5,-1.0,-2.5,0.0
Chris Paul,paulch01,2022,PG,36,PHO,19,602,22.2,.587,.282,.390,1.1,11.2,6.4,44.4,3.1,0.9,16.2,19.6,2.0,1.0,3.0,.237,2.9,1.4,4.3,1.0
Cameron Payne,payneca01,2022,PG,27,PHO,14,245,14.5,.504,.413,.298,2.2,12.6,7.6,23.4,1.7,1.4,13.9,28.1,0.0,0.3,0.3,.066,-1.9,-0.6,-2.5,0.0
Elfrid Payton,paytoel01,2022,PG,27,PHO,6,83,16.5,.537,.033,.267,6.5,16.7,11.9,29.4,1.7,0.0,17.3,21.1,0.1,0.1,0.2,.127,-1.7,-0.7,-2.4,0.0
Gary Payton II,paytoga02,2022,PG,29,GSW,18,255,22.2,.764,.328,.422,8.1,14.2,11.3,8.0,4.5,0.8,8.4,14.0,0.9,0.6,1.6,.295,1.4,4.3,5.8,0.5
Jamorko Pickett,pickeja01,2022,PF,24,DET,3,9,8.6,1.500,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,9.5,0.0,0.0,0.0,-0.031,-0.6,-3.2,-3.8,0.0
Mason Plumlee,plumlma01,2022,C,31,CHO,20,523,14.2,.558,.000,.525,9.7,18.9,14.2,13.8,1.5,3.6,16.5,11.7,0.8,0.5,1.2,.115,-1.3,0.7,-0.6,0.2
Jakob Poeltl,poeltja01,2022,C,26,SAS,11,319,19.8,.608,.000,.270,16.2,17.2,16.7,10.5,0.9,3.7,12.5,17.1,0.8,0.3,1.1,.161,0.3,-1.5,-1.2,0.1
Aleksej Pokusevski,pokusal01,2022,PF,20,OKC,19,284,8.2,.408,.435,.074,6.6,21.8,14.1,13.9,1.4,2.4,17.7,20.5,-0.6,0.4,-0.3,-0.044,-5.0,-0.8,-5.8,-0.3
Yves Pons,ponsyv01,2022,F,22,MEM,1,3,0.0,.000,.000,.000,34.6,0.0,18.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,-0.217,-4.3,-5.8,-10.0,0.0
Jordan Poole,poolejo01,2022,SG,22,GSW,19,573,14.9,.579,.547,.174,1.2,9.4,5.5,17.6,1.7,0.7,13.9,26.0,0.6,0.9,1.5,.123,-1.1,-0.9,-2.1,0.0
Kevin Porter Jr.,porteke02,2022,PG,21,HOU,15,467,8.5,.465,.446,.277,3.1,11.2,7.1,27.7,1.9,1.2,23.9,24.3,-1.0,0.4,-0.6,-0.063,-3.9,-2.1,-6.0,-0.5
Michael Porter Jr.,portemi01,2022,SF,23,DEN,9,265,8.5,.416,.466,.087,3.7,20.9,12.2,9.4,1.9,0.7,10.1,20.0,-0.4,0.3,-0.1,-0.019,-4.3,-1.0,-5.3,-0.2
Otto Porter,porteot01,2022,PF,28,GSW,17,301,15.6,.631,.709,.093,4.9,20.9,13.3,7.7,2.4,2.3,10.9,14.4,0.5,0.7,1.2,.186,0.8,1.3,2.1,0.3
Bobby Portis,portibo01,2022,C,26,MIL,15,420,19.7,.588,.371,.129,10.2,21.0,15.7,7.8,1.3,3.1,10.9,22.7,0.8,0.6,1.4,.160,1.5,-0.9,0.6,0.3
