Player,PlayerID,Year,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Bryn Forbes,forbebr01,2022,SG,28,SAS,18,241,8.7,.551,.528,.090,0.4,8.0,4.2,5.7,1.2,0.4,14.0,19.1,-0.1,0.1,0.0,-0.003,-3.3,-2.0,-5.4,-0.2
Trent Forrest,forretr01,2022,PG,23,UTA,13,92,7.2,.680,.100,.400,2.5,10.1,6.5,8.5,1.6,0.0,29.8,7.9,0.1,0.1,0.2,.079,-5.3,1.4,-3.9,0.0
Evan Fournier,fournev01,2022,SG,29,NYK,19,545,12.1,.536,.575,.126,2.1,9.1,5.6,9.9,1.5,0.7,9.6,20.0,0.3,0.3,0.7,.058,-0.9,-1.6,-2.5,-0.1
De'Aaron Fox,foxde01,2022,PG,24,SAC,20,706,15.3,.504,.242,.292,2.0,8.4,5.2,26.4,1.7,1.1,13.1,28.4,0.3,0.3,0.6,.039,-0.8,-1.7,-2.5,-0.1
Daniel Gafford,gaffoda01,2022,C,23,WAS,16,325,20.5,.655,.000,.311,9.9,16.6,13.4,6.4,1.5,8.3,14.2,16.3,0.7,0.6,1.3,.193,-0.1,2.7,2.7,0.4
Danilo Gallinari,gallida01,2022,PF,33,ATL,17,342,14.4,.564,.514,.308,3.6,15.9,9.9,7.8,1.4,1.1,6.2,16.5,0.7,0.2,0.9,.123,0.8,-0.7,0.0,0.2
Darius Garland,garlada01,2022,PG,22,CLE,17,586,15.7,.559,.479,.158,1.3,6.6,4.0,33.4,1.9,0.1,18.3,25.2,0.5,0.5,1.0,.081,1.5,-1.2,0.3,0.3
Marcus Garrett,garrema01,2022,SG,23,MIA,4,10,2.2,.000,.000,.000,0.0,10.7,5.5,24.5,0.0,0.0,0.0,4.4,0.0,0.0,0.0,.022,-6.5,0.8,-5.7,0.0
Usman Garuba,garubus01,2022,PF,19,HOU,7,45,17.5,.429,.571,.000,13.7,27.9,20.8,20.5,2.1,8.3,12.5,14.9,0.0,0.1,0.1,.123,0.6,1.8,2.4,0.0
Luka Garza,garzalu01,2022,C,23,DET,11,128,13.9,.554,.368,.263,8.5,13.9,11.0,9.0,1.9,0.7,6.6,15.2,0.2,0.1,0.3,.120,-1.4,-0.4,-1.8,0.0
