Player,PlayerID,Year,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
Jim Brewer,breweji01,1982,PF,30,LAL,71,966,10.1,.464,.034,.109,12.4,17.2,14.9,4.8,1.9,2.5,16.8,9.1,,0.4,1.4,1.8,.088,,-1.8,1.0,-0.8,0.3
Ron Brewer,brewero01,1982,SG,26,TOT,72,2319,15.9,.519,.026,.218,2.5,5.3,3.9,12.8,1.7,0.7,8.7,25.2,,2.6,0.7,3.3,.068,,0.8,-1.1,-0.2,1.0
Ron Brewer,brewero01,1982,SG,26,SAS,25,595,21.5,.555,.028,.244,2.3,6.7,4.5,17.9,1.8,0.6,7.8,29.0,,1.5,0.4,2.0,.158,,3.8,-0.5,3.3,0.8
Ron Brewer,brewero01,1982,SG,26,CLE,47,1724,14.0,.502,.025,.206,2.6,4.8,3.6,11.1,1.7,0.8,9.1,23.9,,1.0,0.3,1.3,.037,,-0.2,-1.2,-1.4,0.2
Junior Bridgeman,bridgju01,1982,SF,28,MIL,41,924,16.0,.534,.021,.238,4.8,10.5,7.8,17.6,1.5,0.2,11.8,24.1,,1.4,1.2,2.6,.136,,0.7,-0.5,0.3,0.5
Allan Bristow,bristal01,1982,SF,30,DAL,82,2035,12.6,.502,.036,.329,6.5,12.8,9.5,29.3,1.6,0.2,22.4,14.9,,1.3,1.2,2.5,.059,,-0.3,-0.2,-0.5,0.8
Jim Brogan,brogaji01,1982,SG,23,SDC,63,1027,13.0,.499,.088,.231,6.9,7.0,7.0,20.6,2.3,0.7,17.2,19.2,,0.6,0.2,0.8,.035,,-0.2,-0.8,-1.0,0.3
Michael Brooks,brookmi01,1982,SF,23,SDC,82,2750,16.1,.539,.007,.250,8.7,18.6,13.5,12.2,1.9,0.8,14.3,20.4,,3.4,1.2,4.5,.079,,1.0,-0.7,0.2,1.5
Fred Brown,brownfr01,1982,SG,33,SEA,82,1785,15.2,.501,.089,.149,2.6,5.8,4.3,20.1,1.9,0.1,9.5,23.6,,1.7,2.2,3.9,.104,,0.3,-0.2,0.1,0.9
Rickey Brown,brownri01,1982,C,23,GSW,82,1260,11.2,.498,.000,.292,11.6,20.1,15.8,2.0,1.4,1.3,15.1,17.8,,0.4,1.4,1.8,.068,,-3.5,-1.0,-4.6,-0.8
Joe Bryant,bryanjo01,1982,SF,27,SDC,75,1988,12.8,.546,.043,.352,4.6,12.0,8.2,13.1,1.9,0.8,18.4,20.3,,1.0,0.5,1.5,.036,,-1.0,-0.9,-2.0,0.0
Quinn Buckner,bucknqu01,1982,PG,27,MIL,70,2156,14.4,.506,.018,.204,4.3,8.9,6.6,21.4,3.9,0.1,16.7,20.5,,0.7,3.9,4.6,.103,,-1.2,2.1,0.9,1.6
Roger Burkman,burkmro01,1982,SG,23,CHI,6,30,15.5,.377,.250,1.500,7.9,14.5,11.3,19.7,9.7,3.7,31.1,13.5,,0.0,0.1,0.1,.093,,-3.9,2.0,-2.0,0.1
David Burns,burnsda01,1982,PG,23,TOT,9,87,3.6,.509,.000,.938,1.3,5.0,3.1,19.5,1.5,0.0,36.5,15.8,,-0.2,0.0,-0.1,-0.071,,-4.5,-0.5,-5.0,-0.1
David Burns,burnsda01,1982,PG,23,NJN,3,34,0.9,.458,.000,1.200,0.0,6.7,3.3,14.2,1.4,0.0,39.6,14.8,,-0.1,0.0,-0.1,-0.094,,-4.7,-0.2,-4.9,-0.1
David Burns,burnsda01,1982,PG,23,DEN,6,53,5.3,.535,.000,.818,2.1,3.9,3.0,22.8,1.6,0.0,34.8,16.5,,-0.1,0.0,-0.1,-0.056,,-4.4,-0.7,-5.1,-0.1
Don Buse,busedo01,1982,PG,31,IND,82,2529,14.8,.539,.276,.180,1.9,7.8,4.8,22.5,3.2,0.6,11.4,13.7,,3.7,3.4,7.1,.135,,0.3,2.3,2.6,2.9
Kenny Carr,carrke01,1982,PF,26,TOT,74,1926,14.7,.543,.014,.436,9.2,22.4,15.5,6.5,1.6,0.6,15.6,20.6,,1.3,1.6,2.9,.073,,-1.0,-0.8,-1.9,0.1
