Player,PlayerID,Year,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
Alaa Abdelnaby,abdelal01,1993,PF,24,TOT,75,1311,13.2,.551,.002,.245,11.0,18.1,14.6,3.0,1.0,1.2,15.6,20.5,,0.7,1.3,2.0,.074,,-2.4,-1.5,-3.9,-0.6
Alaa Abdelnaby,abdelal01,1993,PF,24,MIL,12,159,11.9,.508,.018,.286,8.6,18.3,13.4,9.5,1.9,1.6,17.1,20.5,,0.0,0.2,0.1,.035,,-3.3,-0.2,-3.5,-0.1
Alaa Abdelnaby,abdelal01,1993,PF,24,BOS,63,1152,13.4,.557,.000,.240,11.3,18.1,14.8,2.2,0.8,1.2,15.4,20.5,,0.7,1.2,1.9,.079,,-2.3,-1.7,-4.0,-0.6
Mahmoud Abdul-Rauf,abdulma02,1993,PG,23,DEN,81,2710,15.6,.515,.140,.165,2.0,6.8,4.4,20.8,1.5,0.2,11.0,25.5,,3.0,2.2,5.1,.091,,0.9,-1.1,-0.1,1.3
Mark Acres,acresma01,1993,C,30,TOT,18,269,8.9,.571,.041,.327,10.8,17.4,14.0,2.5,0.5,1.4,18.8,11.0,,0.1,0.2,0.3,.056,,-3.7,-1.6,-5.3,-0.2
Mark Acres,acresma01,1993,C,30,HOU,6,23,-0.6,.304,.222,.222,10.5,18.6,14.8,0.0,0.0,0.0,16.8,22.8,,-0.1,0.0,-0.1,-0.165,,-9.1,-6.7,-15.7,-0.1
Mark Acres,acresma01,1993,C,30,WSB,12,246,9.8,.628,.000,.350,10.8,17.3,14.0,2.8,0.6,1.5,19.2,9.9,,0.2,0.1,0.4,.077,,-3.2,-1.1,-4.3,-0.1
Michael Adams,adamsmi01,1993,PG,30,WSB,70,2499,15.6,.543,.255,.333,2.3,8.6,5.4,30.6,2.0,0.1,15.5,19.2,,3.3,1.2,4.6,.088,,0.9,-0.9,0.0,1.3
Rafael Addison,addisra01,1993,SF,28,NJN,68,1164,8.4,.484,.083,.170,4.2,8.2,6.2,6.8,1.0,0.6,12.7,18.2,,-0.1,1.0,0.9,.038,,-3.9,-0.9,-4.8,-0.8
Mark Aguirre,aguirma01,1993,SF,33,DET,51,1056,13.7,.525,.197,.306,4.3,12.0,8.0,15.3,0.8,0.4,12.4,22.2,,1.1,0.7,1.8,.082,,0.3,-0.5,-0.2,0.5
Danny Ainge,aingeda01,1993,SG,33,PHO,80,2163,14.3,.596,.510,.199,2.6,8.3,5.5,16.5,1.5,0.2,12.5,17.3,,4.5,1.8,6.2,.139,,1.8,-0.3,1.4,1.9
Victor Alexander,alexavi01,1993,C,23,GSW,72,1753,14.3,.548,.033,.243,8.4,18.4,13.4,7.8,0.9,1.9,14.0,20.0,,1.6,1.4,3.0,.083,,-1.0,-0.6,-1.6,0.2
Eric Anderson,anderer01,1993,PF,22,NYK,16,44,11.3,.443,.000,.722,15.6,19.6,17.7,9.9,3.5,1.5,17.4,28.2,,0.0,0.1,0.1,.091,,-7.6,2.0,-5.6,0.0
Kenny Anderson,anderke01,1993,PG,22,NJN,55,2010,16.6,.487,.029,.273,2.8,9.5,6.1,34.7,2.4,0.3,13.8,23.1,,1.9,2.5,4.4,.106,,1.1,0.5,1.6,1.8
Nick Anderson,anderni01,1993,SG,25,ORL,79,2920,17.3,.524,.188,.304,5.0,13.0,9.2,14.7,2.2,1.2,9.9,24.5,,4.0,3.7,7.7,.126,,2.0,0.8,2.8,3.5
Ron Anderson,anderro01,1993,SF,34,PHI,69,1263,11.8,.481,.221,.164,5.3,10.4,7.9,11.7,1.2,0.2,9.7,21.6,,0.0,0.5,0.5,.019,,-1.4,-2.3,-3.7,-0.5
Willie Anderson,anderwi01,1993,SG,26,SAS,38,560,8.7,.461,.043,.151,1.5,9.8,5.8,20.4,1.3,0.7,18.2,19.0,,-0.6,0.5,-0.1,-0.007,,-3.9,-0.9,-4.7,-0.4
Greg Anthony,anthogr01,1993,PG,25,NYK,70,1699,13.7,.469,.072,.379,2.8,8.1,5.6,33.3,3.4,0.5,17.5,15.1,,1.0,3.6,4.6,.131,,-0.6,3.3,2.7,2.0
B.J. Armstrong,armstbj01,1993,PG,25,CHI,82,2492,14.7,.570,.170,.185,1.2,5.8,3.4,18.6,1.4,0.2,8.6,16.8,,5.7,1.7,7.5,.144,,0.8,-0.6,0.2,1.4
Vincent Askew,askewvi01,1993,SG,26,TOT,73,1129,13.1,.549,.019,.482,6.3,10.4,8.3,14.6,1.8,1.1,15.6,16.5,,1.5,1.2,2.7,.114,,-0.5,0.3,-0.2,0.5
Vincent Askew,askewvi01,1993,SG,26,SAC,9,76,8.9,.572,.000,.882,9.9,6.1,8.0,8.8,1.3,0.8,25.3,16.9,,0.0,0.0,0.0,.027,,-2.9,-1.0,-3.9,0.0
Vincent Askew,askewvi01,1993,SG,26,SEA,64,1053,13.4,.547,.021,.459,6.0,10.7,8.3,15.0,1.8,1.1,14.8,16.5,,1.4,1.2,2.6,.120,,-0.4,0.4,0.0,0.5
Keith Askins,askinke01,1993,SF,25,MIA,69,935,9.3,.492,.305,.188,8.9,15.5,12.1,4.8,1.7,2.1,13.8,12.4,,0.4,1.0,1.4,.072,,-2.6,0.6,-2.0,0.0
Stacey Augmon,augmost01,1993,SG,24,ATL,73,2112,15.2,.551,.005,.388,7.2,8.0,7.6,12.1,2.1,0.5,14.5,21.2,,2.5,1.2,3.7,.084,,0.2,-0.6,-0.4,0.8
Isaac Austin,austiis01,1993,C,23,UTA,46,306,11.4,.491,.009,.393,14.6,14.8,14.7,2.9,1.3,2.9,14.9,21.7,,0.0,0.4,0.3,.052,,-4.6,-1.4,-6.0,-0.3
Anthony Avent,aventan01,1993,PF,23,MIL,82,2285,10.2,.459,.002,.214,9.0,17.0,12.9,5.9,1.2,2.1,13.8,19.1,,-1.5,1.8,0.3,.005,,-3.8,-1.7,-5.5,-2.0
John Bagley,baglejo01,1993,PG,32,BOS,10,97,2.0,.416,.040,.240,1.2,6.9,4.1,26.4,1.0,0.0,38.1,20.0,,-0.4,0.1,-0.3,-0.159,,-7.1,-2.7,-9.8,-0.2
Thurl Bailey,baileth01,1993,PF,31,MIN,70,1276,12.9,.516,.000,.318,5.0,15.2,10.1,7.9,0.8,2.3,10.6,19.8,,0.6,0.6,1.2,.046,,-1.1,-1.4,-2.5,-0.1
