Player,PlayerID,Year,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
Mahmoud Abdul-Rauf,abdulma02,1996,PG,26,DEN,57,2029,18.6,.535,.324,.164,1.5,6.4,3.9,34.7,1.6,0.1,10.1,25.1,,4.4,1.1,5.5,.131,,3.5,-1.6,1.9,1.9
Michael Adams,adamsmi01,1996,PG,33,CHH,21,329,16.1,.579,.494,.422,1.8,6.4,4.1,30.4,3.3,0.9,20.3,17.0,,0.6,0.2,0.8,.117,,1.6,1.2,2.8,0.4
Rafael Addison,addisra01,1996,SF,31,CHH,53,516,9.6,.489,.055,.133,5.8,15.6,10.6,9.2,0.9,1.3,13.4,17.7,,0.0,0.2,0.2,.019,,-3.9,-1.0,-4.9,-0.4
Cory Alexander,alexaco01,1996,PG,22,SAS,60,560,8.7,.506,.426,.161,1.9,6.3,4.2,31.6,2.5,0.3,29.1,18.8,,-0.5,0.7,0.2,.021,,-4.2,-0.1,-4.3,-0.3
Jerome Allen,allenje01,1996,SG,23,MIN,41,362,7.8,.447,.314,.343,1.7,6.6,4.1,20.8,3.0,1.1,22.0,19.0,,-0.5,0.3,-0.3,-0.033,,-4.3,-0.2,-4.6,-0.2
Derrick Alston,alstode01,1996,C,23,PHI,73,1614,11.8,.518,.008,.289,8.8,12.9,10.8,6.5,1.8,2.4,11.9,13.7,,1.0,0.8,1.7,.052,,-2.5,-0.2,-2.8,-0.3
John Amaechi,amaecjo01,1996,PF,25,CLE,28,357,3.1,.456,.000,.471,4.8,14.8,9.7,4.1,1.0,2.7,28.7,16.8,,-0.9,0.4,-0.6,-0.075,,-8.3,-0.9,-9.1,-0.6
Ashraf Amaya,amayaas01,1996,PF,24,VAN,54,1104,11.8,.534,.004,.591,11.7,20.8,16.1,5.1,1.1,0.7,15.2,15.5,,0.7,1.1,1.8,.078,,-3.3,-1.5,-4.8,-0.8
Greg Anderson,andergr01,1996,PF,31,SAS,46,344,7.7,.466,.021,.532,9.8,22.1,16.2,4.0,1.3,5.0,27.5,10.5,,-0.3,0.7,0.4,.056,,-6.2,2.6,-3.5,-0.1
Kenny Anderson,anderke01,1996,PG,25,TOT,69,2344,19.5,.534,.307,.405,3.0,7.1,5.0,40.4,2.5,0.5,12.9,21.4,,6.1,1.6,7.7,.158,,4.1,0.2,4.3,3.7
Kenny Anderson,anderke01,1996,PG,25,NJN,31,1042,19.8,.511,.261,.495,3.8,6.9,5.3,40.4,2.6,0.6,11.1,21.8,,2.7,1.0,3.7,.172,,4.2,1.2,5.4,1.9
Kenny Anderson,anderke01,1996,PG,25,CHH,38,1302,19.2,.555,.346,.330,2.4,7.2,4.8,40.4,2.4,0.3,14.5,21.1,,3.4,0.6,4.0,.148,,4.1,-0.6,3.4,1.8
Nick Anderson,anderni01,1996,SG,28,ORL,77,2717,16.5,.562,.476,.265,4.0,13.5,8.9,15.6,2.3,1.2,12.3,19.1,,4.2,3.3,7.4,.131,,2.3,0.7,2.9,3.4
Willie Anderson,anderwi01,1996,SG,29,TOT,76,2060,11.3,.507,.182,.247,2.8,11.4,7.1,15.1,1.9,2.2,16.3,18.9,,0.0,1.5,1.4,.033,,-2.4,0.2,-2.2,-0.1
Willie Anderson,anderwi01,1996,SG,29,TOR,49,1564,11.9,.518,.180,.250,2.7,11.6,7.1,15.1,1.9,2.5,16.9,19.8,,0.1,0.8,0.9,.027,,-2.0,-0.1,-2.1,0.0
Willie Anderson,anderwi01,1996,SG,29,NYK,27,496,9.2,.464,.188,.233,3.2,10.9,7.2,15.0,1.8,1.2,14.1,16.0,,-0.2,0.7,0.5,.052,,-3.6,1.2,-2.4,-0.1
Greg Anthony,anthogr01,1996,PG,28,VAN,69,2096,18.6,.530,.347,.380,1.6,8.4,4.9,41.9,2.9,0.4,14.9,23.3,,2.9,1.9,4.8,.111,,2.6,0.4,2.9,2.6
B.J. Armstrong,armstbj01,1996,PG,28,GSW,82,2262,17.3,.595,.285,.384,1.1,8.3,4.7,28.4,1.5,0.2,13.1,18.8,,6.2,0.8,7.0,.149,,2.7,-0.8,1.8,2.2
Darrell Armstrong,armstda01,1996,PG,27,ORL,13,41,32.4,.622,.375,.125,0.0,5.6,2.8,29.3,7.7,0.0,15.1,43.8,,0.0,0.1,0.1,.158,,5.7,3.8,9.5,0.1
Vincent Askew,askewvi01,1996,SG,29,SEA,69,1725,11.9,.574,.197,.369,4.7,10.0,7.5,14.6,1.4,0.7,15.9,15.6,,2.2,2.2,4.3,.120,,-0.5,0.4,-0.1,0.8
Keith Askins,askinke01,1996,SF,28,MIA,75,1897,10.0,.550,.606,.146,7.1,12.7,9.9,9.8,1.3,2.5,16.5,11.9,,1.6,2.8,4.4,.111,,-0.8,1.8,1.0,1.4
Stacey Augmon,augmost01,1996,SF,27,ATL,77,2294,15.9,.556,.005,.430,6.8,9.0,7.8,10.0,2.5,1.0,13.6,19.9,,3.5,2.1,5.6,.117,,0.1,0.2,0.3,1.4
Anthony Avent,aventan01,1996,PF,26,VAN,71,1586,6.9,.415,.000,.165,7.7,18.9,13.1,7.4,1.0,2.0,17.6,17.5,,-2.8,1.6,-1.2,-0.037,,-6.5,-0.7,-7.3,-2.1
Vin Baker,bakervi01,1996,PF,24,MIL,82,3319,18.4,.527,.034,.335,9.5,20.5,14.9,11.4,1.1,2.1,11.6,25.6,,3.7,2.4,6.2,.089,,1.2,-1.1,0.1,1.8
Steve Bardo,bardost01,1996,SG,27,DET,9,123,8.4,.429,.174,.261,2.0,18.9,10.8,19.2,1.8,0.6,16.3,11.9,,0.0,0.2,0.2,.069,,-4.4,1.9,-2.6,0.0
Charles Barkley,barklch01,1996,PF,32,PHO,71,2632,24.8,.585,.151,.488,10.9,25.0,18.1,17.4,2.2,1.6,13.4,27.5,,7.0,3.5,10.5,.191,,5.0,0.6,5.7,5.1
Dana Barros,barroda01,1996,PG,28,BOS,80,2328,15.6,.596,.457,.182,1.0,8.4,4.6,20.8,1.2,0.1,12.1,18.3,,4.8,0.8,5.6,.116,,2.3,-1.1,1.1,1.8
Brent Barry,barrybr01,1996,SG,24,LAC,79,1898,15.9,.609,.496,.229,2.4,8.4,5.3,18.8,2.6,0.9,15.4,18.3,,3.7,1.2,4.9,.124,,1.7,0.5,2.2,2.0
Jon Barry,barryjo01,1996,SG,26,GSW,68,712,14.9,.638,.503,.200,2.7,7.5,5.1,18.5,2.4,1.1,17.3,14.9,,1.4,0.4,1.8,.122,,2.0,0.8,2.8,0.9
Corey Beck,beckco01,1996,PG,24,CHH,5,33,0.8,.282,.000,.250,10.8,15.0,12.9,21.0,1.6,0.0,31.1,17.7,,-0.1,0.0,-0.1,-0.140,,-9.0,-0.7,-9.7,-0.1
Benoit Benjamin,benjabe01,1996,C,31,TOT,83,1896,14.4,.539,.005,.329,8.8,26.1,17.3,5.7,1.3,3.4,17.6,19.8,,0.1,2.2,2.3,.057,,-2.3,-0.3,-2.6,-0.3
Benoit Benjamin,benjabe01,1996,C,31,VAN,13,404,13.6,.488,.000,.348,8.7,21.7,15.0,7.6,1.3,2.8,15.5,24.8,,-0.4,0.5,0.1,.010,,-2.6,-1.2,-3.8,-0.2
