Player,PlayerID,Year,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
Alaa Abdelnaby,abdelal01,1995,PF,26,TOT,54,506,12.6,.519,.009,.152,8.7,17.4,13.1,5.0,1.5,1.8,15.4,25.6,,-0.4,0.7,0.3,.027,,-4.4,0.1,-4.3,-0.3
Alaa Abdelnaby,abdelal01,1995,PF,26,SAC,51,476,14.1,.540,.009,.159,8.5,17.3,13.0,5.3,1.6,1.9,14.5,25.7,,-0.1,0.7,0.6,.058,,-3.6,0.5,-3.1,-0.1
Alaa Abdelnaby,abdelal01,1995,PF,26,PHI,3,30,-12.5,.091,.000,.000,11.6,19.6,15.5,0.0,0.0,0.0,31.3,23.8,,-0.3,0.0,-0.3,-0.466,,-17.6,-7.3,-24.9,-0.2
Mahmoud Abdul-Rauf,abdulma02,1995,PG,25,DEN,73,2082,17.8,.543,.214,.155,1.9,5.9,3.9,23.0,1.9,0.3,10.0,25.8,,3.8,1.3,5.0,.115,,2.3,-1.2,1.2,1.7
Michael Adams,adamsmi01,1995,PG,32,CHH,29,443,17.7,.583,.547,.203,1.7,5.9,3.9,34.6,2.7,0.2,13.9,19.6,,1.1,0.5,1.6,.169,,2.5,0.8,3.3,0.6
Rafael Addison,addisra01,1995,SF,30,DET,79,1776,11.3,.521,.142,.169,4.4,11.6,8.0,9.9,1.5,1.0,10.8,17.8,,0.9,0.6,1.5,.040,,-2.2,-1.0,-3.3,-0.6
Danny Ainge,aingeda01,1995,SG,35,PHO,74,1374,14.3,.596,.507,.308,2.1,7.0,4.6,21.7,1.7,0.4,14.2,17.6,,2.8,0.6,3.4,.118,,0.9,-0.4,0.4,0.8
Victor Alexander,alexavi01,1995,C,25,GSW,50,1237,12.8,.530,.056,.134,7.7,18.4,13.0,7.8,1.1,1.6,13.8,18.8,,0.3,0.8,1.1,.044,,-2.2,-0.7,-2.9,-0.3
Derrick Alston,alstode01,1995,C,22,PHI,64,1032,11.6,.481,.016,.465,11.0,13.8,12.4,5.1,2.0,2.5,14.6,15.7,,0.0,1.0,1.0,.045,,-2.5,-0.1,-2.6,-0.2
Greg Anderson,andergr01,1995,PF,30,ATL,51,622,12.6,.547,.000,.683,11.3,24.2,17.6,4.1,2.0,3.9,19.1,12.2,,0.3,1.3,1.5,.118,,-3.9,1.7,-2.2,0.0
