Player,PlayerID,Year,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
Mahmoud Abdul-Rauf,abdulma02,1997,PG,27,SAC,75,2131,13.2,.524,.266,.147,0.9,5.9,3.3,15.8,1.4,0.2,10.8,23.2,,2.0,0.7,2.7,.060,,-0.8,-1.8,-2.6,-0.4
Shareef Abdur-Rahim,abdursh01,1997,PF,20,VAN,80,2802,17.4,.518,.022,.428,8.8,14.2,11.5,12.1,1.5,2.2,13.5,27.6,,1.7,1.2,2.9,.049,,0.3,-2.1,-1.8,0.2
Rafael Addison,addisra01,1997,SF,32,CHH,41,355,10.6,.476,.164,.230,6.7,8.6,7.7,15.5,1.2,0.6,11.2,20.1,,0.2,0.1,0.4,.048,,-2.6,-1.7,-4.4,-0.2
Cory Alexander,alexaco01,1997,PG,23,SAS,80,1454,14.3,.528,.514,.263,2.3,8.0,5.1,30.0,3.1,0.9,21.1,22.2,,0.5,0.6,1.1,.035,,0.3,-0.8,-0.6,0.5
Jerome Allen,allenje01,1997,SG,24,TOT,76,943,8.7,.451,.421,.326,3.1,9.0,6.1,25.3,1.8,0.3,21.4,15.6,,-0.3,0.8,0.4,.021,,-2.5,-0.2,-2.6,-0.1
Jerome Allen,allenje01,1997,SG,24,IND,51,692,8.7,.489,.401,.320,2.3,8.8,5.6,24.9,2.1,0.0,25.0,14.9,,-0.2,0.7,0.5,.035,,-2.7,0.4,-2.3,-0.1
Jerome Allen,allenje01,1997,SG,24,DEN,25,251,8.9,.376,.459,.338,5.5,9.4,7.5,26.3,0.8,1.1,13.3,17.4,,-0.1,0.0,-0.1,-0.019,,-1.7,-1.8,-3.5,-0.1
Ray Allen,allenra02,1997,SG,21,MIL,82,2532,14.6,.541,.328,.274,4.7,11.0,7.9,13.9,1.6,0.3,12.8,21.4,,3.3,1.5,4.9,.092,,0.8,-0.9,-0.1,1.2
Derrick Alston,alstode01,1997,C,24,ATL,2,11,-9.0,.000,.000,.400,33.3,10.6,21.7,0.0,0.0,0.0,0.0,25.2,,-0.1,0.0,-0.1,-0.415,,-9.5,-12.1,-21.6,-0.1
Ashraf Amaya,amayaas01,1997,PF,25,WSB,31,144,8.8,.382,.025,.700,15.7,26.4,21.1,2.9,2.5,1.6,16.0,19.4,,-0.2,0.3,0.1,.019,,-6.2,-0.9,-7.1,-0.2
Greg Anderson,andergr01,1997,C,32,SAS,82,1659,11.4,.531,.004,.355,11.0,21.8,16.2,3.2,2.1,3.2,19.4,10.5,,0.7,1.5,2.2,.064,,-3.6,0.1,-3.5,-0.6
Kenny Anderson,anderke01,1997,PG,26,POR,82,3081,19.5,.540,.322,.383,3.6,10.2,7.0,31.7,2.8,0.4,12.7,22.2,,8.0,4.4,12.4,.193,,3.2,1.2,4.4,5.0
Nick Anderson,anderni01,1997,SG,29,ORL,63,2163,13.8,.494,.559,.130,3.5,13.2,8.2,14.5,3.0,1.1,10.1,18.2,,1.3,2.9,4.2,.093,,0.2,1.6,1.8,2.1
Shandon Anderson,andersh01,1997,SG,23,UTA,65,1066,10.4,.534,.148,.311,6.5,14.0,10.5,7.1,1.4,0.6,16.8,18.9,,0.1,1.2,1.2,.056,,-2.3,-1.4,-3.6,-0.4
Willie Anderson,anderwi01,1997,SG,30,MIA,28,303,12.6,.570,.297,.313,6.0,10.4,8.2,18.2,2.5,1.0,20.7,14.2,,0.4,0.5,0.9,.142,,-1.4,2.2,0.9,0.2
Greg Anthony,anthogr01,1997,PG,29,VAN,65,1863,16.6,.526,.469,.351,1.5,10.0,5.7,36.1,3.8,0.2,18.1,17.8,,2.3,1.2,3.5,.090,,0.9,0.5,1.5,1.6
B.J. Armstrong,armstbj01,1997,PG,29,GSW,49,1020,12.9,.538,.275,.242,0.8,7.8,4.3,20.3,1.3,0.2,12.8,18.1,,1.4,-0.1,1.3,.061,,-0.5,-1.8,-2.3,-0.1
Darrell Armstrong,armstda01,1997,PG,28,ORL,67,1010,14.7,.525,.525,.307,4.0,4.9,4.4,29.7,3.3,0.7,20.2,22.4,,0.7,1.1,1.8,.085,,0.5,0.7,1.1,0.8
Vincent Askew,askewvi01,1997,SG,30,TOT,43,838,9.7,.532,.129,.473,3.6,10.2,7.0,17.3,1.1,0.6,17.0,14.9,,0.7,0.8,1.5,.086,,-2.7,0.8,-1.9,0.0
Vincent Askew,askewvi01,1997,SG,30,NJN,1,7,-2.3,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.022,,-7.5,-1.6,-9.1,0.0
Vincent Askew,askewvi01,1997,SG,30,IND,41,822,9.9,.528,.131,.470,3.7,10.4,7.1,17.7,1.1,0.6,16.0,14.8,,0.8,0.8,1.6,.092,,-2.6,0.9,-1.7,0.1
Vincent Askew,askewvi01,1997,SG,30,DEN,1,9,0.9,.773,.000,.667,0.0,0.0,0.0,0.0,0.0,0.0,50.8,39.1,,-0.1,0.0,-0.1,-0.393,,-8.9,-6.5,-15.3,0.0
Keith Askins,askinke01,1997,SF,29,MIA,78,1773,9.1,.557,.539,.182,5.9,12.2,9.1,6.7,1.6,0.8,14.6,10.7,,1.5,2.8,4.3,.116,,-1.5,1.7,0.2,1.0
Stacey Augmon,augmost01,1997,SG,28,TOT,60,942,11.3,.531,.000,.441,6.2,11.4,8.8,9.4,2.4,1.5,19.6,16.2,,0.2,1.3,1.5,.076,,-2.6,1.5,-1.1,0.2
Stacey Augmon,augmost01,1997,SG,28,DET,20,292,9.6,.473,.000,.532,6.1,14.6,10.4,8.5,1.9,2.8,22.1,20.7,,-0.4,0.4,0.0,.003,,-4.4,1.1,-3.3,-0.1
Stacey Augmon,augmost01,1997,SG,28,POR,40,650,12.1,.564,.000,.392,6.2,9.9,8.1,9.8,2.6,0.8,18.1,14.2,,0.6,0.9,1.5,.109,,-1.8,1.6,-0.2,0.3
