Player,PlayerID,Year,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
Kareem Abdul-Jabbar,abdulka01,1989,C,41,LAL,74,1695,12.9,.511,.005,.250,7.3,14.2,11.0,6.1,1.1,2.9,11.5,20.1,,0.9,2.0,2.9,.082,,-1.9,-0.2,-2.1,0.0
Mark Acres,acresma01,1989,C,26,BOS,62,632,8.2,.507,.009,.421,10.9,15.6,13.3,3.7,1.5,0.6,14.5,10.4,,0.4,0.5,0.9,.066,,-3.0,-0.4,-3.4,-0.2
Michael Adams,adamsmi01,1989,PG,26,DEN,77,2787,17.5,.567,.431,.363,2.5,8.3,5.2,22.2,2.7,0.2,12.5,19.7,,5.4,2.9,8.3,.143,,2.7,0.2,2.9,3.4
Mark Aguirre,aguirma01,1989,SF,29,TOT,80,2597,16.4,.524,.137,.309,6.4,10.0,8.3,17.9,0.9,0.8,12.6,27.4,,2.4,2.1,4.5,.082,,1.4,-1.3,0.1,1.4
Mark Aguirre,aguirma01,1989,SF,29,DAL,44,1529,17.3,.509,.119,.294,6.6,10.3,8.5,21.5,0.9,1.1,13.0,30.5,,0.7,1.0,1.7,.052,,1.5,-1.9,-0.4,0.6
Mark Aguirre,aguirma01,1989,SF,29,DET,36,1068,15.1,.551,.170,.338,6.2,9.6,8.0,12.7,0.8,0.4,11.8,23.0,,1.7,1.1,2.8,.126,,1.2,-0.3,0.9,0.8
Danny Ainge,aingeda01,1989,PG,29,TOT,73,2377,18.0,.554,.290,.228,3.3,8.7,6.0,25.3,1.9,0.2,11.1,22.6,,5.2,1.4,6.7,.135,,2.9,-0.4,2.5,2.7
Danny Ainge,aingeda01,1989,PG,29,BOS,45,1349,17.5,.553,.263,.217,3.2,9.8,6.6,23.1,1.9,0.0,11.3,22.4,,2.9,0.8,3.8,.133,,2.7,-0.4,2.3,1.5
Danny Ainge,aingeda01,1989,PG,29,SAC,28,1028,18.6,.554,.325,.242,3.5,7.1,5.3,28.1,1.9,0.4,11.0,22.9,,2.3,0.6,2.9,.136,,3.1,-0.5,2.7,1.2
Mark Alarie,alarima01,1989,PF,25,WSB,74,1141,13.3,.531,.088,.202,9.5,15.2,12.2,7.8,1.0,1.1,11.7,18.7,,1.2,1.0,2.2,.093,,-1.1,-0.8,-2.0,0.0
Steve Alford,alforst01,1989,PG,24,TOT,66,906,11.9,.522,.170,.188,1.1,6.8,4.0,13.2,2.2,0.2,11.4,16.6,,0.7,0.7,1.4,.072,,-2.1,-0.5,-2.6,-0.1
Steve Alford,alforst01,1989,PG,24,DAL,9,38,7.2,.295,.182,.182,0.0,8.6,4.4,32.0,1.3,0.0,7.8,14.7,,0.0,0.0,0.0,-0.026,,-4.8,0.4,-4.4,0.0
Steve Alford,alforst01,1989,PG,24,GSW,57,868,12.1,.530,.169,.188,1.2,6.8,4.0,12.4,2.3,0.2,11.5,16.7,,0.7,0.6,1.4,.076,,-2.0,-0.5,-2.5,-0.1
Randy Allen,allenra01,1989,SG,24,SAC,7,43,6.9,.428,.053,.105,7.4,10.2,8.7,0.0,1.1,1.3,9.1,20.9,,-0.1,0.0,0.0,-0.035,,-5.5,-1.7,-7.2,-0.1
Greg Anderson,andergr01,1989,PF,24,SAS,82,2401,14.9,.516,.003,.441,11.2,20.2,15.5,3.7,2.0,2.6,14.2,20.6,,0.4,3.1,3.4,.069,,-1.1,-0.8,-2.0,0.0
Michael Anderson,andermi01,1989,PG,22,SAS,36,730,10.5,.483,.040,.469,6.3,7.1,6.7,26.9,2.8,0.2,28.5,15.7,,-0.5,0.6,0.2,.010,,-2.2,-0.2,-2.4,-0.1
Richard Anderson,anderri01,1989,PF,28,POR,72,1082,12.0,.509,.405,.109,6.0,17.5,11.6,11.4,1.9,0.6,12.9,14.9,,0.9,1.2,2.1,.093,,-0.2,0.2,0.1,0.6
