Player,PlayerID,Year,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
Alaa Abdelnaby,abdelal01,1991,PF,22,POR,43,290,13.1,.499,.000,.379,10.4,23.4,17.0,5.8,0.7,2.5,14.0,22.1,,0.0,0.5,0.5,.079,,-3.4,-1.2,-4.6,-0.2
Mahmoud Abdul-Rauf,abdulma02,1991,PG,21,DEN,67,1505,12.2,.448,.099,.097,1.9,6.0,3.8,19.2,1.5,0.1,9.5,27.2,,-0.7,-0.3,-1.0,-0.031,,-2.0,-3.0,-5.0,-1.1
Mark Acres,acresma01,1991,C,28,ORL,68,1313,9.2,.551,.014,.472,11.3,18.7,14.9,2.5,0.9,1.1,14.0,9.3,,1.4,1.1,2.5,.090,,-2.8,-0.2,-3.0,-0.3
Michael Adams,adamsmi01,1991,PG,28,DEN,66,2346,22.3,.530,.397,.372,2.1,8.8,5.2,39.4,2.6,0.1,12.7,28.5,,5.8,0.4,6.3,.128,,6.0,-0.7,5.3,4.3
Mark Aguirre,aguirma01,1991,SF,31,DET,78,2006,16.7,.526,.086,.349,7.6,13.7,10.7,11.6,1.2,0.6,10.9,25.7,,2.8,2.7,5.5,.132,,1.2,0.2,1.4,1.7
Danny Ainge,aingeda01,1991,SG,31,POR,80,1710,17.0,.574,.352,.193,2.9,10.2,6.6,23.8,1.8,0.5,11.4,20.8,,4.1,2.1,6.2,.175,,2.8,0.9,3.7,2.5
Mark Alarie,alarima01,1991,PF,27,WSB,42,587,11.3,.496,.093,.213,7.6,14.2,10.9,11.2,1.3,0.8,14.0,20.3,,0.1,0.6,0.6,.050,,-3.0,-0.9,-3.8,-0.3
Steve Alford,alforst01,1991,PG,26,DAL,34,236,20.5,.578,.197,.265,4.8,6.8,5.8,16.4,1.7,0.3,10.9,27.5,,0.5,0.1,0.6,.121,,3.5,-1.4,2.1,0.2
Greg Anderson,andergr01,1991,PF,26,TOT,68,924,9.1,.455,.004,.426,10.0,25.9,17.3,2.1,1.7,2.7,20.8,16.3,,-1.2,0.9,-0.3,-0.017,,-5.1,-1.0,-6.1,-1.0
Greg Anderson,andergr01,1991,PF,26,MIL,26,247,7.5,.410,.014,.384,12.3,24.1,18.1,1.7,1.6,2.3,20.5,18.6,,-0.5,0.4,-0.1,-0.027,,-5.8,-2.1,-7.9,-0.4
Greg Anderson,andergr01,1991,PF,26,NJN,1,18,26.4,1.000,.000,.000,22.4,12.1,17.5,9.1,5.4,0.0,20.0,11.2,,0.1,0.0,0.1,.300,,5.1,4.5,9.6,0.1
Greg Anderson,andergr01,1991,PF,26,DEN,41,659,9.2,.463,.000,.451,8.7,27.0,17.0,2.1,1.6,2.9,20.9,15.6,,-0.8,0.5,-0.3,-0.022,,-5.2,-0.7,-5.9,-0.7
Nick Anderson,anderni01,1991,SG,23,ORL,70,1971,15.1,.510,.068,.302,4.9,16.7,10.7,8.5,1.8,1.3,10.4,22.4,,1.2,1.9,3.1,.075,,0.0,0.3,0.3,1.1
Ron Anderson,anderro01,1991,SF,32,PHI,82,2340,15.5,.524,.041,.188,5.0,12.4,8.8,8.2,1.4,0.3,8.1,23.2,,2.3,1.8,4.1,.085,,-0.2,-1.4,-1.6,0.2
Willie Anderson,anderwi01,1991,SG,24,SAS,75,2592,13.0,.499,.035,.215,3.1,11.5,7.5,20.2,1.5,1.1,13.3,20.1,,1.3,3.5,4.8,.089,,-0.9,1.0,0.1,1.4
Michael Ansley,anslemi01,1991,SF,23,ORL,67,877,16.9,.594,.000,.483,14.7,16.8,15.7,4.3,1.5,0.5,9.1,16.3,,2.3,0.7,3.1,.168,,0.6,-0.8,-0.2,0.4
B.J. Armstrong,armstbj01,1991,PG,23,CHI,82,1731,14.8,.529,.047,.176,1.7,8.3,5.1,23.4,2.0,0.1,13.6,19.5,,2.3,1.8,4.1,.114,,-0.2,-0.3,-0.5,0.7
Vincent Askew,askewvi01,1991,SG,24,GSW,7,85,10.9,.553,.000,.440,9.1,5.2,7.1,20.1,1.1,0.0,16.7,16.8,,0.1,0.0,0.2,.093,,-2.2,-1.9,-4.1,0.0
Keith Askins,askinke01,1991,SF,23,MIA,39,266,13.5,.467,.309,.309,12.4,16.2,14.3,10.2,2.9,3.0,10.7,15.8,,0.2,0.4,0.6,.103,,-1.1,1.0,-0.2,0.1
Milos Babic,babicmi01,1991,PF,22,CLE,12,52,6.0,.391,.000,.632,13.4,6.7,10.0,10.9,1.0,1.2,17.1,24.6,,-0.1,0.0,-0.1,-0.085,,-6.7,-4.2,-11.0,-0.1
Thurl Bailey,baileth01,1991,PF,29,UTA,82,2486,12.5,.513,.003,.311,5.1,13.6,9.6,7.7,1.1,2.3,11.6,20.0,,0.6,3.1,3.7,.072,,-1.4,0.0,-1.4,0.4
Cedric Ball,ballce01,1991,PF,22,LAC,7,26,10.8,.450,.000,.250,20.4,25.3,22.8,0.0,0.0,4.6,18.4,17.0,,0.0,0.0,0.0,.054,,-5.4,-1.4,-6.8,0.0
Ken Bannister,bannike01,1991,PF,30,LAC,47,339,7.8,.506,.012,.802,10.6,20.0,15.3,3.6,0.7,1.2,18.6,16.1,,-0.2,0.4,0.2,.028,,-6.1,-0.8,-6.9,-0.4
Charles Barkley,barklch01,1991,SF,27,PHI,67,2498,28.9,.635,.133,.564,11.8,18.6,15.3,20.6,2.2,0.8,12.6,29.1,,10.3,3.1,13.4,.258,,8.3,1.0,9.3,7.0
Dana Barros,barroda01,1991,PG,23,SEA,66,750,18.8,.600,.260,.273,2.7,8.7,5.7,21.9,1.5,0.1,13.4,22.5,,2.1,0.4,2.5,.158,,3.7,-1.3,2.4,0.8
John Battle,battljo01,1991,SG,28,ATL,79,1863,16.4,.538,.057,.367,1.9,7.6,4.7,18.4,1.2,0.2,10.1,24.7,,3.4,0.6,4.0,.102,,0.7,-1.6,-0.9,0.5
Kenny Battle,battlke01,1991,SG,26,TOT,56,945,12.4,.525,.085,.330,8.2,10.3,9.2,7.9,2.8,1.0,14.1,14.7,,0.7,0.6,1.3,.068,,-1.3,0.5,-0.8,0.3
Kenny Battle,battlke01,1991,SG,26,PHO,16,263,12.8,.486,.023,.337,9.2,12.7,11.0,7.5,3.4,1.3,14.7,17.9,,0.0,0.4,0.4,.081,,-1.5,1.2,-0.3,0.1
Kenny Battle,battlke01,1991,SG,26,DEN,40,682,12.3,.542,.112,.327,7.8,9.4,8.5,8.1,2.5,0.9,13.8,13.4,,0.7,0.2,0.9,.063,,-1.2,0.3,-0.9,0.2
William Bedford,bedfowi01,1991,C,27,DET,60,562,15.5,.492,.054,.322,11.1,15.5,13.3,9.2,0.2,4.1,10.4,24.1,,0.5,0.8,1.3,.113,,-1.1,0.4,-0.7,0.2
Benoit Benjamin,benjabe01,1991,C,26,TOT,70,2236,15.1,.541,.000,.379,7.8,28.7,18.1,7.7,1.2,4.0,20.6,21.0,,-0.7,3.7,3.0,.064,,-1.9,0.8,-1.1,0.5
Benoit Benjamin,benjabe01,1991,C,26,LAC,39,1337,15.2,.539,.000,.363,7.5,30.7,18.9,8.1,0.9,4.1,20.4,20.6,,-0.5,2.4,1.9,.068,,-2.1,1.1,-1.0,0.3
Benoit Benjamin,benjabe01,1991,C,26,SEA,31,899,15.1,.544,.000,.403,8.1,25.9,16.9,7.1,1.6,3.9,20.8,21.8,,-0.2,1.3,1.1,.059,,-1.6,0.3,-1.2,0.2
