Player,PlayerID,Year,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
Kareem Abdul-Jabbar,abdulka01,1988,C,40,LAL,80,2308,15.8,.570,.001,.298,6.1,16.9,11.7,8.4,1.0,2.2,13.5,21.4,,2.6,2.7,5.3,.111,,-0.1,0.1,0.0,1.2
Mark Acres,acresma01,1988,C,25,BOS,79,1151,9.3,.570,.000,.547,11.6,15.9,13.9,4.5,1.2,1.3,17.7,11.4,,1.1,1.0,2.2,.090,,-2.6,-0.2,-2.8,-0.2
Alvan Adams,adamsal01,1988,C,33,PHO,82,1646,13.1,.543,.004,.253,8.0,17.0,12.5,14.9,2.4,1.4,19.9,17.4,,0.6,1.6,2.2,.064,,-1.5,1.0,-0.5,0.6
Michael Adams,adamsmi01,1988,PG,25,DEN,82,2778,15.6,.560,.409,.215,1.5,7.2,4.2,22.5,2.8,0.3,12.4,16.2,,4.4,3.2,7.5,.130,,1.5,0.9,2.5,3.1
Mark Aguirre,aguirma01,1988,SF,28,DAL,77,2610,21.9,.539,.109,.321,7.7,10.3,9.0,18.4,1.3,1.3,10.2,31.6,,6.5,2.3,8.8,.163,,4.6,-0.8,3.8,3.9
Danny Ainge,aingeda01,1988,SG,28,BOS,81,3018,15.9,.598,.364,.183,2.5,7.0,4.9,22.2,1.9,0.3,12.6,17.3,,6.7,1.9,8.6,.136,,2.7,-0.3,2.4,3.3
Mark Alarie,alarima01,1988,PF,24,WSB,63,769,11.6,.508,.060,.163,10.1,13.2,11.6,7.7,0.6,0.9,13.5,19.9,,0.3,0.6,0.9,.058,,-1.9,-1.3,-3.2,-0.2
Steve Alford,alforst01,1988,PG,23,DAL,28,197,11.6,.472,.145,.309,1.7,10.9,6.3,15.4,4.3,0.9,16.1,15.6,,0.0,0.3,0.3,.082,,-4.1,3.1,-1.1,0.0
Greg Anderson,andergr01,1988,PF,23,SAS,82,1984,14.7,.531,.007,.434,8.7,19.4,14.0,5.3,1.3,3.4,13.7,20.8,,0.8,1.5,2.3,.056,,-1.6,-1.1,-2.7,-0.4
Richard Anderson,anderri01,1988,PF,27,TOT,74,1350,11.1,.474,.342,.175,7.3,17.0,12.1,10.4,1.8,0.7,11.4,15.6,,0.7,1.6,2.3,.082,,-0.7,0.1,-0.6,0.5
Richard Anderson,anderri01,1988,PF,27,HOU,12,53,22.9,.567,.577,.192,17.8,15.7,16.8,11.2,0.9,0.0,3.4,22.1,,0.2,0.1,0.3,.253,,10.0,-1.3,8.8,0.1
Richard Anderson,anderri01,1988,PF,27,POR,62,1297,10.7,.468,.327,.174,6.8,17.0,11.9,10.4,1.8,0.7,11.9,15.4,,0.4,1.6,2.0,.075,,-1.1,0.2,-1.0,0.3
Ron Anderson,anderro01,1988,SF,29,IND,74,1097,16.2,.544,.005,.323,8.9,12.6,10.8,10.5,1.8,0.3,12.8,22.0,,1.3,1.2,2.5,.108,,0.9,-0.3,0.6,0.7
Joe Arlauckas,arlaujo01,1988,SF,22,SAC,9,85,7.9,.365,.000,.186,7.6,9.0,8.3,13.3,1.7,2.6,7.9,24.0,,-0.1,0.1,-0.1,-0.045,,-5.1,-1.7,-6.8,-0.1
Vincent Askew,askewvi01,1988,SG,21,PHI,14,234,7.1,.330,.000,.149,3.0,8.0,5.5,19.8,2.1,1.5,13.2,16.4,,-0.4,0.2,-0.2,-0.043,,-3.3,0.5,-2.8,0.0
John Bagley,baglejo01,1988,PG,27,NJN,82,2774,12.4,.503,.180,.201,2.5,8.5,5.4,25.8,1.9,0.2,17.1,17.9,,0.8,1.7,2.6,.044,,-0.7,-0.7,-1.4,0.4
James Bailey,baileja01,1988,PF,30,PHO,65,869,8.3,.514,.017,.369,9.4,17.9,13.6,6.2,0.9,1.9,20.0,16.4,,-0.2,0.6,0.4,.023,,-5.1,-0.7,-5.7,-0.8
Thurl Bailey,baileth01,1988,SF,26,UTA,82,2804,16.3,.547,.002,.317,5.4,14.6,10.2,8.6,0.8,2.6,11.5,24.2,,2.7,4.1,6.8,.116,,0.3,-0.1,0.2,1.6
Charles Barkley,barklch01,1988,PF,24,PHI,80,3170,27.6,.665,.122,.741,14.0,20.8,17.4,14.1,1.6,1.9,15.2,26.7,,13.4,3.3,16.7,.253,,7.3,0.1,7.4,7.5
John Battle,battljo01,1988,SG,25,ATL,67,1227,16.3,.512,.067,.307,2.3,7.9,5.1,20.0,1.3,0.2,9.7,26.4,,1.5,0.8,2.3,.092,,1.4,-1.0,0.4,0.7
William Bedford,bedfowi01,1988,C,24,DET,38,298,9.0,.454,.000,.228,10.4,13.9,12.2,1.8,1.3,3.3,14.6,18.2,,-0.2,0.5,0.2,.039,,-4.4,0.6,-3.8,-0.1
Benoit Benjamin,benjabe01,1988,C,23,LAC,66,2171,14.1,.534,.012,.368,5.3,21.2,13.0,12.2,1.1,5.9,21.7,19.3,,-1.4,3.5,2.0,.045,,-2.8,2.8,-0.1,1.0
Kent Benson,bensoke01,1988,C,33,CLE,2,12,11.8,.868,.000,1.000,0.0,9.6,4.9,0.0,4.1,4.9,41.0,17.4,,0.0,0.0,0.0,.015,,-6.3,2.4,-3.9,0.0
Walter Berry,berrywa01,1988,SF,23,SAS,73,1922,18.8,.578,.000,.333,9.8,12.4,11.1,8.7,1.3,1.8,12.8,25.9,,2.7,0.7,3.4,.086,,1.6,-2.0,-0.4,0.8
Larry Bird,birdla01,1988,SF,31,BOS,76,2965,27.8,.608,.142,.271,4.6,22.3,14.0,25.7,2.1,1.1,10.2,30.2,,11.2,3.8,15.0,.243,,7.8,1.0,8.8,8.1
Otis Birdsong,birdsot01,1988,SG,32,NJN,67,1882,10.4,.470,.034,.125,4.3,6.0,5.1,18.7,1.4,0.4,14.2,20.3,,-0.9,0.8,-0.1,-0.003,,-2.0,-1.4,-3.4,-0.7
Uwe Blab,blabuw01,1988,C,25,DAL,73,658,7.4,.504,.000,.492,8.7,13.3,11.1,6.9,0.6,2.5,23.4,13.2,,-0.1,0.6,0.5,.036,,-4.7,0.3,-4.5,-0.4
