Player,PlayerID,Year,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
Kareem Abdul-Jabbar,abdulka01,1984,C,36,LAL,80,2622,21.3,.608,.001,.318,7.8,16.8,12.7,11.5,1.0,2.9,13.5,25.1,,5.9,3.1,8.9,.163,,2.8,0.2,3.0,3.3
Alvan Adams,adamsal01,1984,C,29,PHO,70,1452,16.6,.513,.007,.275,9.5,16.3,12.9,20.3,2.4,1.2,15.2,21.7,,1.5,1.8,3.3,.109,,0.7,0.9,1.6,1.3
Mark Aguirre,aguirma01,1984,SF,24,DAL,79,2900,23.5,.572,.032,.352,6.4,12.3,9.4,21.0,1.3,0.4,12.3,33.4,,7.0,2.0,9.0,.149,,5.0,-1.2,3.7,4.1
Danny Ainge,aingeda01,1984,SG,24,BOS,71,1154,10.4,.498,.061,.155,3.0,8.3,5.7,18.4,1.7,0.2,15.4,16.2,,0.5,1.3,1.8,.076,,-2.2,0.4,-1.8,0.0
J.J. Anderson,anderjj01,1984,SF,23,UTA,48,311,11.6,.427,.023,.223,13.6,8.0,10.6,9.6,2.2,1.5,12.3,20.8,,-0.2,0.3,0.1,.013,,-2.1,-1.0,-3.1,-0.1
Richard Anderson,anderri01,1984,PF,23,DEN,78,1380,14.6,.471,.030,.235,10.1,21.1,15.5,17.6,1.4,1.1,13.4,22.2,,0.3,1.0,1.3,.044,,-0.9,-0.9,-1.9,0.0
Tiny Archibald,architi01,1984,PG,35,MIL,46,1038,10.6,.526,.065,.362,1.8,6.3,4.2,21.1,1.6,0.0,19.4,16.3,,0.3,1.1,1.4,.065,,-1.7,-0.3,-2.0,0.0
Ken Austin,austike01,1984,SF,22,DET,7,28,5.6,.462,.000,.000,7.3,4.0,5.7,4.8,1.7,2.0,18.8,22.0,,0.0,0.0,0.0,-0.046,,-4.7,-0.2,-4.9,0.0
John Bagley,baglejo01,1984,PG,23,CLE,76,1712,12.8,.485,.028,.326,3.1,7.4,5.2,27.9,2.2,0.1,19.7,21.0,,-0.4,1.3,0.9,.025,,-0.9,-0.9,-1.8,0.1
James Bailey,baileja01,1984,PF,26,HOU,73,1174,15.5,.537,.002,.371,9.6,17.4,13.5,9.3,1.3,1.9,14.4,23.6,,1.0,1.3,2.3,.093,,-1.1,-0.2,-1.3,0.2
Thurl Bailey,baileth01,1984,PF,22,UTA,81,2009,12.9,.539,.000,.198,6.4,17.3,12.1,8.4,0.9,3.1,14.1,14.8,,1.3,2.3,3.6,.086,,-1.2,0.7,-0.5,0.8
Greg Ballard,ballagr01,1984,SF,29,WSB,82,2701,15.3,.515,.014,.196,6.1,15.0,10.5,16.5,1.7,0.7,11.0,20.5,,2.4,3.2,5.6,.099,,0.6,0.5,1.1,2.1
Gene Banks,banksge01,1984,PF,24,SAS,80,2600,15.4,.606,.008,.361,8.5,15.2,11.9,12.0,1.8,0.5,16.1,15.4,,4.5,1.7,6.2,.115,,1.1,0.0,1.2,2.1
Dave Batton,battoda01,1984,C,27,SAS,4,31,6.4,.500,.000,.000,3.5,10.1,6.9,11.8,0.0,5.0,28.6,17.5,,-0.1,0.0,0.0,-0.068,,-4.4,0.2,-4.2,0.0
Kent Benson,bensoke01,1984,C,29,DET,82,1734,14.0,.584,.002,.224,6.9,18.6,12.6,9.2,1.9,1.7,13.8,12.8,,2.5,2.2,4.7,.131,,-0.1,1.6,1.5,1.5
Larry Bird,birdla01,1984,PF,27,BOS,79,3028,24.2,.552,.047,.273,7.0,22.3,14.9,26.2,2.3,1.3,12.1,26.7,,7.9,5.6,13.6,.215,,5.6,2.0,7.6,7.3
Otis Birdsong,birdsot01,1984,SG,28,NJN,69,2168,16.8,.530,.017,.278,3.8,5.1,4.5,19.1,1.8,0.5,11.7,26.7,,2.4,2.1,4.5,.100,,1.3,-0.7,0.6,1.4
Rolando Blackman,blackro01,1984,SG,24,DAL,81,3025,19.8,.596,.008,.347,4.8,9.5,7.2,14.2,0.9,0.7,10.0,23.3,,8.3,1.5,9.8,.155,,3.6,-1.2,2.4,3.3
Tom Boswell,bosweto01,1984,PF,30,UTA,38,261,10.2,.596,.019,.404,11.9,13.7,12.9,7.6,1.6,0.0,17.5,11.3,,0.4,0.3,0.6,.115,,-3.0,-0.1,-3.1,-0.1
